indicator,year,value
Student,2015,43.7
Student,2016,45.4
Student,2017,51.7
Student,2018,59.9
Student,2019,98.8
Student,2020,75.1
Student,2021,37.4
Student,2022,16.0
Student,2023,25.4
Student,2024,42.7
Temporary visa categories | Working holiday,2015,28.0
Temporary visa categories | Working holiday,2016,27.5
Temporary visa categories | Working holiday,2017,23.3
Temporary visa categories | Working holiday,2018,23.5
Temporary visa categories | Working holiday,2019,26.9
Temporary visa categories | Working holiday,2020,16.3
Temporary visa categories | Working holiday,2021,6.1
Temporary visa categories | Working holiday,2022,2.6
Temporary visa categories | Working holiday,2023,5.6
Temporary visa categories | Working holiday,2024,18.8
Temporary visa categories | Visitor,2015,15.5
Temporary visa categories | Visitor,2016,15.4
Temporary visa categories | Visitor,2017,22.9
Temporary visa categories | Visitor,2018,14.5
Temporary visa categories | Visitor,2019,32.1
Temporary visa categories | Visitor,2020,12.7
Temporary visa categories | Visitor,2021,17.5
Temporary visa categories | Visitor,2022,15.8
Temporary visa categories | Visitor,2023,18.1
Temporary visa categories | Visitor,2024,19.5
Temporary visa categories | Temporary Resident (Skilled Employment),2015,20.3
Temporary visa categories | Temporary Resident (Skilled Employment),2016,17.0
Temporary visa categories | Temporary Resident (Skilled Employment),2017,15.4
Temporary visa categories | Temporary Resident (Skilled Employment),2018,15.2
Temporary visa categories | Temporary Resident (Skilled Employment),2019,16.2
Temporary visa categories | Temporary Resident (Skilled Employment),2020,11.8
Temporary visa categories | Temporary Resident (Skilled Employment),2021,9.8
Temporary visa categories | Temporary Resident (Skilled Employment),2022,6.8
Temporary visa categories | Temporary Resident (Skilled Employment),2023,5.9
Temporary visa categories | Temporary Resident (Skilled Employment),2024,8.8
Temporary visa categories | Other temporary visas,2015,21.4
Temporary visa categories | Other temporary visas,2016,22.2
Temporary visa categories | Other temporary visas,2017,26.8
Temporary visa categories | Other temporary visas,2018,31.5
Temporary visa categories | Other temporary visas,2019,38.2
Temporary visa categories | Other temporary visas,2020,42.7
Temporary visa categories | Other temporary visas,2021,45.6
Temporary visa categories | Other temporary visas,2022,40.7
Temporary visa categories | Other temporary visas,2023,31.8
Temporary visa categories | Other temporary visas,2024,46.0
Temporary visa categories | Total,2015,128.9
Temporary visa categories | Total,2016,127.5
Temporary visa categories | Total,2017,140.1
Temporary visa categories | Total,2018,144.7
Temporary visa categories | Total,2019,212.2
Temporary visa categories | Total,2020,158.6
Temporary visa categories | Total,2021,116.3
Temporary visa categories | Total,2022,81.9
Temporary visa categories | Total,2023,86.9
Temporary visa categories | Total,2024,135.7
Temporary visa categories | Skill,2015,8.9
Temporary visa categories | Skill,2016,8.1
Temporary visa categories | Skill,2017,8.1
Temporary visa categories | Skill,2018,7.4
Temporary visa categories | Skill,2019,9.1
Temporary visa categories | Skill,2020,6.7
Temporary visa categories | Skill,2021,6.7
Temporary visa categories | Skill,2022,5.8
Temporary visa categories | Skill,2023,4.8
Temporary visa categories | Skill,2024,5.3
Permanent visa categories | Family,2015,6.1
Permanent visa categories | Family,2016,5.6
Permanent visa categories | Family,2017,5.6
Permanent visa categories | Family,2018,5.6
Permanent visa categories | Family,2019,7.0
Permanent visa categories | Family,2020,4.4
Permanent visa categories | Family,2021,5.2
Permanent visa categories | Family,2022,5.9
Permanent visa categories | Family,2023,5.7
Permanent visa categories | Family,2024,5.0
Permanent visa categories | Special Eligibility and humanitarian,2015,0.2
Permanent visa categories | Special Eligibility and humanitarian,2016,0.1
Permanent visa categories | Special Eligibility and humanitarian,2017,0.1
Permanent visa categories | Special Eligibility and humanitarian,2018,0.2
Permanent visa categories | Special Eligibility and humanitarian,2019,0.1
Permanent visa categories | Special Eligibility and humanitarian,2020,0.1
Permanent visa categories | Special Eligibility and humanitarian,2021,0.1
Permanent visa categories | Special Eligibility and humanitarian,2022,0.1
Permanent visa categories | Special Eligibility and humanitarian,2023,0.2
Permanent visa categories | Special Eligibility and humanitarian,2024,0.2
Permanent visa categories | Other permanent visas,2015,6.4
Permanent visa categories | Other permanent visas,2016,6.7
Permanent visa categories | Other permanent visas,2017,6.8
Permanent visa categories | Other permanent visas,2018,7.3
Permanent visa categories | Other permanent visas,2019,10.7
Permanent visa categories | Other permanent visas,2020,6.7
Permanent visa categories | Other permanent visas,2021,8.3
Permanent visa categories | Other permanent visas,2022,9.9
Permanent visa categories | Other permanent visas,2023,9.4
Permanent visa categories | Other permanent visas,2024,8.5
Permanent visa categories | Total,2015,21.5
Permanent visa categories | Total,2016,20.5
Permanent visa categories | Total,2017,20.6
Permanent visa categories | Total,2018,20.4
Permanent visa categories | Total,2019,27.0
Permanent visa categories | Total,2020,17.9
Permanent visa categories | Total,2021,20.3
Permanent visa categories | Total,2022,21.7
Permanent visa categories | Total,2023,20.0
Permanent visa categories | Total,2024,18.9
Permanent visa categories | New Zealand citizen,2015,27.7
Permanent visa categories | New Zealand citizen,2016,26.7
Permanent visa categories | New Zealand citizen,2017,24.2
