indicator,year,value
Permanent visa categories | New Zealand citizen,2018,21.4
Permanent visa categories | New Zealand citizen,2019,24.1
Permanent visa categories | New Zealand citizen,2020,17.4
Permanent visa categories | New Zealand citizen,2021,14.2
Permanent visa categories | New Zealand citizen,2022,19.8
Permanent visa categories | New Zealand citizen,2023,14.5
Permanent visa categories | New Zealand citizen,2024,14.6
Other | Australian citizen,2015,99.5
Other | Australian citizen,2016,95.0
Other | Australian citizen,2017,92.5
Other | Australian citizen,2018,85.5
Other | Australian citizen,2019,83.6
Other | Australian citizen,2020,42.5
Other | Australian citizen,2021,53.3
Other | Australian citizen,2022,90.2
Other | Australian citizen,2023,87.1
Other | Australian citizen,2024,85.0
Other | All other visas2,2015,8.9
Other | All other visas2,2016,6.2
Other | All other visas2,2017,12.4
Other | All other visas2,2018,10.2
Other | All other visas2,2019,13.5
Other | All other visas2,2020,4.0
Other | All other visas2,2021,1.1
Other | All other visas2,2022,0.0
Other | All other visas2,2023,0.0
Other | All other visas2,2024,0.0
Other | Total other,2015,136.1
Other | Total other,2016,127.9
Other | Total other,2017,129.0
Other | Total other,2018,117.1
Other | Total other,2019,121.1
Other | Total other,2020,63.9
Other | Total other,2021,68.6
Other | Total other,2022,109.9
Other | Total other,2023,101.6
Other | Total other,2024,99.5
Other | Total NOM departures,2015,286.5
Other | Total NOM departures,2016,275.8
Other | Total NOM departures,2017,289.7
Other | Total NOM departures,2018,282.2
Other | Total NOM departures,2019,360.3
Other | Total NOM departures,2020,240.3
Other | Total NOM departures,2021,205.1
Other | Total NOM departures,2022,213.5
Other | Total NOM departures,2023,208.4
Other | Total NOM departures,2024,254.2
