indicator,year,value
Software and Applications Programmers,2015,1436
Software and Applications Programmers,2016,1412
Software and Applications Programmers,2017,1712
Software and Applications Programmers,2018,1431
Software and Applications Programmers,2019,956
Software and Applications Programmers,2020,1141
Software and Applications Programmers,2021,1277
Software and Applications Programmers,2022,1247
Software and Applications Programmers,2023,1507
Software and Applications Programmers,2024,1561
Accountants,2015,1542
Accountants,2016,1308
Accountants,2017,1342
Accountants,2018,1414
Accountants,2019,1726
Accountants,2020,863
Accountants,2021,673
Accountants,2022,941
Accountants,2023,863
Accountants,2024,1274
ICT Business and Systems Analysts2,2015,559
ICT Business and Systems Analysts2,2016,616
ICT Business and Systems Analysts2,2017,520
ICT Business and Systems Analysts2,2018,510
ICT Business and Systems Analysts2,2019,433
ICT Business and Systems Analysts2,2020,416
ICT Business and Systems Analysts2,2021,551
ICT Business and Systems Analysts2,2022,576
ICT Business and Systems Analysts2,2023,688
ICT Business and Systems Analysts2,2024,1132
Civil Engineering Professionals,2015,378
Civil Engineering Professionals,2016,320
Civil Engineering Professionals,2017,385
Civil Engineering Professionals,2018,432
Civil Engineering Professionals,2019,438
Civil Engineering Professionals,2020,372
Civil Engineering Professionals,2021,601
Civil Engineering Professionals,2022,797
Civil Engineering Professionals,2023,821
Civil Engineering Professionals,2024,1128
"Industrial, Mechanical and Production Engineers",2015,172
"Industrial, Mechanical and Production Engineers",2016,108
"Industrial, Mechanical and Production Engineers",2017,273
"Industrial, Mechanical and Production Engineers",2018,246
"Industrial, Mechanical and Production Engineers",2019,193
"Industrial, Mechanical and Production Engineers",2020,313
"Industrial, Mechanical and Production Engineers",2021,458
"Industrial, Mechanical and Production Engineers",2022,686
"Industrial, Mechanical and Production Engineers",2023,550
"Industrial, Mechanical and Production Engineers",2024,884
Registered Nurses,2015,731
Registered Nurses,2016,548
Registered Nurses,2017,932
Registered Nurses,2018,1476
Registered Nurses,2019,2468
Registered Nurses,2020,1537
Registered Nurses,2021,2859
Registered Nurses,2022,2855
Registered Nurses,2023,2021
Registered Nurses,2024,846
Chefs,2015,89
Chefs,2016,96
Chefs,2017,170
Chefs,2018,298
Chefs,2019,166
Chefs,2020,172
Chefs,2021,425
Chefs,2022,668
Chefs,2023,510
Chefs,2024,636
Electrical Engineers,2015,130
Electrical Engineers,2016,95
Electrical Engineers,2017,138
Electrical Engineers,2018,246
Electrical Engineers,2019,111
Electrical Engineers,2020,123
Electrical Engineers,2021,147
Electrical Engineers,2022,305
Electrical Engineers,2023,346
Electrical Engineers,2024,540
Other Engineering Professionals,2015,125
Other Engineering Professionals,2016,211
Other Engineering Professionals,2017,362
Other Engineering Professionals,2018,326
Other Engineering Professionals,2019,546
Other Engineering Professionals,2020,344
Other Engineering Professionals,2021,273
Other Engineering Professionals,2022,525
Other Engineering Professionals,2023,500
Other Engineering Professionals,2024,516
Early Childhood (Pre-primary School) Teachers,2015,29
Early Childhood (Pre-primary School) Teachers,2016,24
Early Childhood (Pre-primary School) Teachers,2017,61
Early Childhood (Pre-primary School) Teachers,2018,77
Early Childhood (Pre-primary School) Teachers,2019,115
Early Childhood (Pre-primary School) Teachers,2020,58
Early Childhood (Pre-primary School) Teachers,2021,212
Early Childhood (Pre-primary School) Teachers,2022,749
Early Childhood (Pre-primary School) Teachers,2023,598
Early Childhood (Pre-primary School) Teachers,2024,441
Other3,2015,5766
Other3,2016,5489
Other3,2017,6207
Other3,2018,4941
Other3,2019,3826
Other3,2020,2947
Other3,2021,4026
Other3,2022,9006
Other3,2023,8506
Other3,2024,8497
Total,2015,10957
Total,2016,10227
Total,2017,12102
Total,2018,11397
Total,2019,10978
Total,2020,8286
Total,2021,11502
Total,2022,18355
Total,2023,16910
Total,2024,17455
