indicator,year,value
Student,2015,126.0
Student,2016,137.9
Student,2017,151.9
Student,2018,166.6
Student,2019,150.7
Student,2020,42.6
Student,2021,29.2
Student,2022,237.7
Student,2023,267.1
Student,2024,163.4
Temporary visa categories | Working holiday,2015,50.9
Temporary visa categories | Working holiday,2016,49.6
Temporary visa categories | Working holiday,2017,50.6
Temporary visa categories | Working holiday,2018,50.4
Temporary visa categories | Working holiday,2019,52.1
Temporary visa categories | Working holiday,2020,15.5
Temporary visa categories | Working holiday,2021,1.7
Temporary visa categories | Working holiday,2022,56.9
Temporary visa categories | Working holiday,2023,78.7
Temporary visa categories | Working holiday,2024,77.8
Temporary visa categories | Visitor,2015,54.2
Temporary visa categories | Visitor,2016,68.0
Temporary visa categories | Visitor,2017,77.2
Temporary visa categories | Visitor,2018,78.3
Temporary visa categories | Visitor,2019,132.4
Temporary visa categories | Visitor,2020,40.3
Temporary visa categories | Visitor,2021,11.5
Temporary visa categories | Visitor,2022,97.2
Temporary visa categories | Visitor,2023,99.7
Temporary visa categories | Visitor,2024,68.4
Temporary visa categories | Temporary Resident (Skilled Employment),2015,31.6
Temporary visa categories | Temporary Resident (Skilled Employment),2016,31.2
Temporary visa categories | Temporary Resident (Skilled Employment),2017,30.3
Temporary visa categories | Temporary Resident (Skilled Employment),2018,29.4
Temporary visa categories | Temporary Resident (Skilled Employment),2019,31.9
Temporary visa categories | Temporary Resident (Skilled Employment),2020,11.1
Temporary visa categories | Temporary Resident (Skilled Employment),2021,12.9
Temporary visa categories | Temporary Resident (Skilled Employment),2022,40.5
Temporary visa categories | Temporary Resident (Skilled Employment),2023,50.5
Temporary visa categories | Temporary Resident (Skilled Employment),2024,46.9
Temporary visa categories | Other temporary visas,2015,8.0
Temporary visa categories | Other temporary visas,2016,9.1
Temporary visa categories | Other temporary visas,2017,11.1
Temporary visa categories | Other temporary visas,2018,13.2
Temporary visa categories | Other temporary visas,2019,18.9
Temporary visa categories | Other temporary visas,2020,8.9
Temporary visa categories | Other temporary visas,2021,22.0
Temporary visa categories | Other temporary visas,2022,40.2
Temporary visa categories | Other temporary visas,2023,48.3
Temporary visa categories | Other temporary visas,2024,30.1
Temporary visa categories | Total,2015,270.7
Temporary visa categories | Total,2016,295.8
Temporary visa categories | Total,2017,321.1
Temporary visa categories | Total,2018,337.9
