indicator,year,value,category
15–19,0,-0.2088886103756154,Australian-born | Male
15–19,0,-0.2269822415474499,Australian-born | Female
15–19,0,-0.4358708519230653,Australian-born | Total
15–19,0,0.0144828564843938,Overseas-born | Male
15–19,0,-0.0055933534552517,Overseas-born | Female
15–19,0,0.008889503029142,Overseas-born | Total
15–19,0,-0.4269813488939232,Total all birth groups
20–24,0,0.008818988680307,Australian-born | Male
20–24,0,-0.1099204296667633,Australian-born | Female
20–24,0,-0.1011014409864562,Australian-born | Total
20–24,0,0.06011983600222,Overseas-born | Male
20–24,0,0.1089447966344326,Overseas-born | Female
20–24,0,0.1690646326366526,Overseas-born | Total
20–24,0,0.0679631916501963,Total all birth groups
Change in demographic composition by age group (years) | 25–34,0,-0.6463375875249556,Australian-born | Male
Change in demographic composition by age group (years) | 25–34,0,-0.5884231754977577,Australian-born | Female
Change in demographic composition by age group (years) | 25–34,0,-1.234760763022713,Australian-born | Total
Change in demographic composition by age group (years) | 25–34,0,0.8548645235552487,Overseas-born | Male
Change in demographic composition by age group (years) | 25–34,0,0.5474307588035341,Overseas-born | Female
Change in demographic composition by age group (years) | 25–34,0,1.4022952823587826,Overseas-born | Total
Change in demographic composition by age group (years) | 25–34,0,0.1675345193360693,Total all birth groups
Change in demographic composition by age group (years) | 35–44,0,-0.5596622732472587,Australian-born | Male
Change in demographic composition by age group (years) | 35–44,0,-0.4551388182481045,Australian-born | Female
Change in demographic composition by age group (years) | 35–44,0,-1.0148010914953631,Australian-born | Total
Change in demographic composition by age group (years) | 35–44,0,-0.0427866967287121,Overseas-born | Male
Change in demographic composition by age group (years) | 35–44,0,-0.0684019593431675,Overseas-born | Female
Change in demographic composition by age group (years) | 35–44,0,-0.1111886560718797,Overseas-born | Total
Change in demographic composition by age group (years) | 35–44,0,-1.125989747567243,Total all birth groups
Change in demographic composition by age group (years) | 45–54,0,-0.2789508463205591,Australian-born | Male
Change in demographic composition by age group (years) | 45–54,0,-0.2516309940449467,Australian-born | Female
Change in demographic composition by age group (years) | 45–54,0,-0.5305818403655058,Australian-born | Total
Change in demographic composition by age group (years) | 45–54,0,-0.0426517758130481,Overseas-born | Male
Change in demographic composition by age group (years) | 45–54,0,0.0110437689868676,Overseas-born | Female
Change in demographic composition by age group (years) | 45–54,0,-0.0316080068261805,Overseas-born | Total
Change in demographic composition by age group (years) | 45–54,0,-0.5621898471916863,Total all birth groups
Change in demographic composition by age group (years) | 55–64,0,0.2681656645179158,Australian-born | Male
Change in demographic composition by age group (years) | 55–64,0,0.2051618816151857,Australian-born | Female
Change in demographic composition by age group (years) | 55–64,0,0.4733275461331016,Australian-born | Total
Change in demographic composition by age group (years) | 55–64,0,-0.0913780969562829,Overseas-born | Male
Change in demographic composition by age group (years) | 55–64,0,0.0265432414330124,Overseas-born | Female
Change in demographic composition by age group (years) | 55–64,0,-0.0648348555232704,Overseas-born | Total
Change in demographic composition by age group (years) | 55–64,0,0.4084926906098312,Total all birth groups
Change in demographic composition by age group (years) | 65+,0,0.066358014495535,Australian-born | Male
Change in demographic composition by age group (years) | 65+,0,0.010788590468534,Australian-born | Female
Change in demographic composition by age group (years) | 65+,0,0.0771466049640691,Australian-born | Total
Change in demographic composition by age group (years) | 65+,0,0.035663024537082,Overseas-born | Male
Change in demographic composition by age group (years) | 65+,0,0.0140354391920202,Overseas-born | Female
Change in demographic composition by age group (years) | 65+,0,0.0496984637291022,Overseas-born | Total
