indicator,year,value
Accommodation and Food Services,2007,484.0
Accommodation and Food Services,2008,839.0
Accommodation and Food Services,2009,1277.0
Accommodation and Food Services,2010,1978.0
Accommodation and Food Services,2011,3122.0
Accommodation and Food Services,2012,3797.0
Accommodation and Food Services,2013,3247.0
Accommodation and Food Services,2014,3560.0
Accommodation and Food Services,2015,4528.0
Accommodation and Food Services,2016,4473.0
Accommodation and Food Services,2017,2381.0
Accommodation and Food Services,2018,3824.0
Accommodation and Food Services,2019,2455.0
Accommodation and Food Services,2020,1041.0
Accommodation and Food Services,2021,1749.0
Accommodation and Food Services,2022,1752.0
Accommodation and Food Services,2023,1734.0
Accommodation and Food Services,2024,2242.0
Administrative and Support Services,2007,70.0
Administrative and Support Services,2008,134.0
Administrative and Support Services,2009,105.0
Administrative and Support Services,2010,108.0
Administrative and Support Services,2011,87.0
Administrative and Support Services,2012,118.0
Administrative and Support Services,2013,131.0
Administrative and Support Services,2014,142.0
Administrative and Support Services,2015,135.0
Administrative and Support Services,2016,128.0
Administrative and Support Services,2017,130.0
Administrative and Support Services,2018,184.0
Administrative and Support Services,2019,84.0
Administrative and Support Services,2020,39.0
Administrative and Support Services,2021,26.0
Administrative and Support Services,2022,63.0
Administrative and Support Services,2023,37.0
Administrative and Support Services,2024,47.0
"Agriculture, Forestry and Fishing",2007,171.0
"Agriculture, Forestry and Fishing",2008,330.0
"Agriculture, Forestry and Fishing",2009,553.0
"Agriculture, Forestry and Fishing",2010,652.0
"Agriculture, Forestry and Fishing",2011,601.0
"Agriculture, Forestry and Fishing",2012,638.0
"Agriculture, Forestry and Fishing",2013,511.0
"Agriculture, Forestry and Fishing",2014,411.0
"Agriculture, Forestry and Fishing",2015,419.0
"Agriculture, Forestry and Fishing",2016,537.0
"Agriculture, Forestry and Fishing",2017,442.0
"Agriculture, Forestry and Fishing",2018,678.0
"Agriculture, Forestry and Fishing",2019,280.0
"Agriculture, Forestry and Fishing",2020,292.0
"Agriculture, Forestry and Fishing",2021,324.0
"Agriculture, Forestry and Fishing",2022,253.0
"Agriculture, Forestry and Fishing",2023,498.0
"Agriculture, Forestry and Fishing",2024,438.0
Arts and Recreation Services,2007,505.0
Arts and Recreation Services,2008,418.0
Arts and Recreation Services,2009,234.0
Arts and Recreation Services,2010,203.0
Arts and Recreation Services,2011,184.0
Arts and Recreation Services,2012,304.0
Arts and Recreation Services,2013,344.0
Arts and Recreation Services,2014,281.0
Arts and Recreation Services,2015,221.0
Arts and Recreation Services,2016,212.0
Arts and Recreation Services,2017,169.0
Arts and Recreation Services,2018,204.0
Arts and Recreation Services,2019,100.0
Arts and Recreation Services,2020,57.0
Arts and Recreation Services,2021,60.0
Arts and Recreation Services,2022,58.0
Arts and Recreation Services,2023,51.0
Arts and Recreation Services,2024,83.0
Construction,2007,497.0
Construction,2008,1002.0
Construction,2009,1225.0
Construction,2010,1535.0
Construction,2011,1717.0
Construction,2012,1760.0
Construction,2013,1784.0
Construction,2014,2138.0
Construction,2015,1696.0
Construction,2016,1683.0
Construction,2017,1112.0
Construction,2018,1135.0
Construction,2019,1092.0
Construction,2020,1119.0
Construction,2021,864.0
Construction,2022,1460.0
Construction,2023,1269.0
Construction,2024,1396.0
Education and Training,2007,573.0
Education and Training,2008,791.0
Education and Training,2009,838.0
Education and Training,2010,1021.0
Education and Training,2011,1016.0
Education and Training,2012,928.0
Education and Training,2013,1286.0
Education and Training,2014,1282.0
Education and Training,2015,1245.0
Education and Training,2016,1296.0
Education and Training,2017,1114.0
Education and Training,2018,1706.0
Education and Training,2019,902.0
Education and Training,2020,607.0
Education and Training,2021,486.0
Education and Training,2022,719.0
Education and Training,2023,579.0
Education and Training,2024,713.0
"Electricity, Gas, Water and Waste Services",2007,268.0
"Electricity, Gas, Water and Waste Services",2008,363.0
"Electricity, Gas, Water and Waste Services",2009,355.0
"Electricity, Gas, Water and Waste Services",2010,378.0
"Electricity, Gas, Water and Waste Services",2011,331.0
"Electricity, Gas, Water and Waste Services",2012,332.0
"Electricity, Gas, Water and Waste Services",2013,323.0
"Electricity, Gas, Water and Waste Services",2014,399.0
"Electricity, Gas, Water and Waste Services",2015,417.0
"Electricity, Gas, Water and Waste Services",2016,297.0
"Electricity, Gas, Water and Waste Services",2017,206.0
"Electricity, Gas, Water and Waste Services",2018,213.0
"Electricity, Gas, Water and Waste Services",2019,123.0
"Electricity, Gas, Water and Waste Services",2020,143.0
"Electricity, Gas, Water and Waste Services",2021,110.0
"Electricity, Gas, Water and Waste Services",2022,193.0
"Electricity, Gas, Water and Waste Services",2023,180.0
"Electricity, Gas, Water and Waste Services",2024,238.0
Financial and Insurance Services,2007,415.0
Financial and Insurance Services,2008,562.0
Financial and Insurance Services,2009,514.0
Financial and Insurance Services,2010,699.0
Financial and Insurance Services,2011,515.0
Financial and Insurance Services,2012,605.0
Financial and Insurance Services,2013,647.0
Financial and Insurance Services,2014,612.0
Financial and Insurance Services,2015,635.0
Financial and Insurance Services,2016,717.0
Financial and Insurance Services,2017,667.0
Financial and Insurance Services,2018,933.0
Financial and Insurance Services,2019,460.0
Financial and Insurance Services,2020,378.0
Financial and Insurance Services,2021,480.0
Financial and Insurance Services,2022,569.0
Financial and Insurance Services,2023,311.0
Financial and Insurance Services,2024,508.0
Health Care and Social Assistance,2007,1948.0
Health Care and Social Assistance,2008,3207.0
Health Care and Social Assistance,2009,3402.0
Health Care and Social Assistance,2010,3213.0
Health Care and Social Assistance,2011,3301.0
Health Care and Social Assistance,2012,2772.0
Health Care and Social Assistance,2013,2688.0
Health Care and Social Assistance,2014,1986.0
Health Care and Social Assistance,2015,1671.0
Health Care and Social Assistance,2016,1610.0
Health Care and Social Assistance,2017,1318.0
Health Care and Social Assistance,2018,1486.0
Health Care and Social Assistance,2019,1260.0
Health Care and Social Assistance,2020,1383.0
Health Care and Social Assistance,2021,1377.0
Health Care and Social Assistance,2022,2662.0
Health Care and Social Assistance,2023,3241.0
Health Care and Social Assistance,2024,4127.0
Information Media and Telecommunications,2007,573.0
Information Media and Telecommunications,2008,725.0
Information Media and Telecommunications,2009,806.0
Information Media and Telecommunications,2010,1074.0
Information Media and Telecommunications,2011,962.0
Information Media and Telecommunications,2012,1034.0
Information Media and Telecommunications,2013,1193.0
Information Media and Telecommunications,2014,1281.0
Information Media and Telecommunications,2015,1214.0
Information Media and Telecommunications,2016,1244.0
Information Media and Telecommunications,2017,1294.0
Information Media and Telecommunications,2018,1614.0
Information Media and Telecommunications,2019,1135.0
Information Media and Telecommunications,2020,1253.0
Information Media and Telecommunications,2021,1220.0
Information Media and Telecommunications,2022,1313.0
Information Media and Telecommunications,2023,879.0
Information Media and Telecommunications,2024,1124.0
Manufacturing,2007,712.0
Manufacturing,2008,1390.0
Manufacturing,2009,1733.0
Manufacturing,2010,1802.0
Manufacturing,2011,1774.0
Manufacturing,2012,1690.0
Manufacturing,2013,1350.0
Manufacturing,2014,1414.0
Manufacturing,2015,1327.0
Manufacturing,2016,1456.0
Manufacturing,2017,947.0
Manufacturing,2018,956.0
Manufacturing,2019,798.0
Manufacturing,2020,511.0
Manufacturing,2021,583.0
Manufacturing,2022,835.0
Manufacturing,2023,1226.0
Manufacturing,2024,966.0
Mining,2007,405.0
Mining,2008,786.0
Mining,2009,876.0
Mining,2010,939.0
Mining,2011,852.0
Mining,2012,755.0
Mining,2013,817.0
Mining,2014,868.0
Mining,2015,439.0
Mining,2016,328.0
Mining,2017,239.0
Mining,2018,201.0
Mining,2019,107.0
Mining,2020,112.0
Mining,2021,191.0
Mining,2022,267.0
Mining,2023,255.0
Mining,2024,507.0
Other Services,2007,896.0
Other Services,2008,1429.0
Other Services,2009,1767.0
Other Services,2010,2158.0
Other Services,2011,2648.0
Other Services,2012,3077.0
Other Services,2013,2847.0
Other Services,2014,3154.0
Other Services,2015,3430.0
Other Services,2016,3509.0
Other Services,2017,2241.0
Other Services,2018,2501.0
Other Services,2019,1558.0
Other Services,2020,841.0
Other Services,2021,886.0
Other Services,2022,1591.0
Other Services,2023,1301.0
Other Services,2024,1271.0
"Professional, Scientific and Technical Services",2007,534.0
"Professional, Scientific and Technical Services",2008,895.0
"Professional, Scientific and Technical Services",2009,933.0
"Professional, Scientific and Technical Services",2010,1237.0
"Professional, Scientific and Technical Services",2011,1202.0
"Professional, Scientific and Technical Services",2012,1462.0
"Professional, Scientific and Technical Services",2013,1993.0
"Professional, Scientific and Technical Services",2014,2098.0
"Professional, Scientific and Technical Services",2015,1963.0
"Professional, Scientific and Technical Services",2016,2013.0
"Professional, Scientific and Technical Services",2017,2141.0
"Professional, Scientific and Technical Services",2018,2687.0
"Professional, Scientific and Technical Services",2019,1847.0
"Professional, Scientific and Technical Services",2020,2106.0
"Professional, Scientific and Technical Services",2021,2616.0
"Professional, Scientific and Technical Services",2022,2544.0
"Professional, Scientific and Technical Services",2023,2008.0
"Professional, Scientific and Technical Services",2024,3013.0
Public Administration and Safety,2007,453.0
Public Administration and Safety,2008,407.0
Public Administration and Safety,2009,292.0
Public Administration and Safety,2010,140.0
Public Administration and Safety,2011,295.0
Public Administration and Safety,2012,179.0
Public Administration and Safety,2013,194.0
Public Administration and Safety,2014,94.0
Public Administration and Safety,2015,41.0
Public Administration and Safety,2016,32.0
Public Administration and Safety,2017,45.0
Public Administration and Safety,2018,32.0
Public Administration and Safety,2019,18.0
Public Administration and Safety,2020,15.0
Public Administration and Safety,2021,36.0
Public Administration and Safety,2022,51.0
Public Administration and Safety,2023,297.0
Public Administration and Safety,2024,300.0
"Rental, Hiring and Real Estate Services",2007,284.0
"Rental, Hiring and Real Estate Services",2008,385.0
"Rental, Hiring and Real Estate Services",2009,300.0
"Rental, Hiring and Real Estate Services",2010,312.0
"Rental, Hiring and Real Estate Services",2011,234.0
"Rental, Hiring and Real Estate Services",2012,177.0
"Rental, Hiring and Real Estate Services",2013,132.0
"Rental, Hiring and Real Estate Services",2014,172.0
"Rental, Hiring and Real Estate Services",2015,193.0
"Rental, Hiring and Real Estate Services",2016,217.0
"Rental, Hiring and Real Estate Services",2017,143.0
"Rental, Hiring and Real Estate Services",2018,146.0
"Rental, Hiring and Real Estate Services",2019,130.0
"Rental, Hiring and Real Estate Services",2020,37.0
"Rental, Hiring and Real Estate Services",2021,51.0
"Rental, Hiring and Real Estate Services",2022,47.0
"Rental, Hiring and Real Estate Services",2023,42.0
"Rental, Hiring and Real Estate Services",2024,55.0
Retail Trade,2007,296.0
Retail Trade,2008,485.0
Retail Trade,2009,525.0
Retail Trade,2010,754.0
Retail Trade,2011,989.0
Retail Trade,2012,1144.0
Retail Trade,2013,1084.0
Retail Trade,2014,1240.0
Retail Trade,2015,1541.0
Retail Trade,2016,1503.0
Retail Trade,2017,856.0
Retail Trade,2018,971.0
Retail Trade,2019,535.0
Retail Trade,2020,339.0
Retail Trade,2021,406.0
Retail Trade,2022,450.0
Retail Trade,2023,382.0
Retail Trade,2024,408.0
Transport Postal and Warehousing,2007,113.0
Transport Postal and Warehousing,2008,242.0
Transport Postal and Warehousing,2009,255.0
Transport Postal and Warehousing,2010,288.0
Transport Postal and Warehousing,2011,286.0
Transport Postal and Warehousing,2012,253.0
Transport Postal and Warehousing,2013,303.0
Transport Postal and Warehousing,2014,348.0
Transport Postal and Warehousing,2015,426.0
Transport Postal and Warehousing,2016,391.0
