indicator,year,value
Refugee,2015,8284.0
Refugee,2016,9653.0
Refugee,2017,7909.0
Refugee,2018,9451.0
Refugee,2019,6422.0
Refugee,2020,2053.0
Refugee,2021,7233.0
Refugee,2022,9760.0
Refugee,2023,9762.0
Refugee,2024,9511.0
Special Humanitarian Program,2015,7268.0
Special Humanitarian Program,2016,10604.0
Special Humanitarian Program,2017,6916.0
Special Humanitarian Program,2018,7661.0
Special Humanitarian Program,2019,5099.0
Special Humanitarian Program,2020,2505.0
Special Humanitarian Program,2021,4312.0
Special Humanitarian Program,2022,6115.0
Special Humanitarian Program,2023,6988.0
Special Humanitarian Program,2024,6488.0
Total,2015,15552.0
Total,2016,20257.0
Total,2017,14825.0
Total,2018,17112.0
Total,2019,11521.0
Total,2020,4558.0
Total,2021,11545.0
Total,2022,15875.0
Total,2023,16750.0
Total,2024,15999.0
% of total Program,2015,88.59014525776132
% of total Program,2016,92.21139839766934
% of total Program,2017,91.23076923076924
% of total Program,2018,91.2056283978254
% of total Program,2019,87.47247741249716
% of total Program,2020,76.6436858920464
% of total Program,2021,86.75884872623432
% of total Program,2022,88.81118881118881
% of total Program,2023,83.75
% of total Program,2024,79.995
Total_1,2015,2003.0
Total_1,2016,1711.0
Total_1,2017,1425.0
Total_1,2018,1650.0
Total_1,2019,1650.0
Total_1,2020,1389.0
Total_1,2021,1762.0
Total_1,2022,2000.0
Total_1,2023,3250.0
Total_1,2024,4001.0
% of total Program_1,2015,11.40985474223868
% of total Program_1,2016,7.788601602330663
% of total Program_1,2017,8.76923076923077
% of total Program_1,2018,8.794371602174609
% of total Program_1,2019,12.527522587502848
% of total Program_1,2020,23.35631410795359
% of total Program_1,2021,13.241151273765686
% of total Program_1,2022,11.188811188811188
% of total Program_1,2023,16.25
% of total Program_1,2024,20.005
Total Humanitarian Program grants,2015,17555.0
Total Humanitarian Program grants,2016,21968.0
Total Humanitarian Program grants,2017,16250.0
Total Humanitarian Program grants,2018,18762.0
Total Humanitarian Program grants,2019,13171.0
Total Humanitarian Program grants,2020,5947.0
Total Humanitarian Program grants,2021,13307.0
Total Humanitarian Program grants,2022,17875.0
Total Humanitarian Program grants,2023,20000.0
Total Humanitarian Program grants,2024,20000.0
