indicator,year,value
India,2015,10495
India,2016,9873
India,2017,5148
India,2018,7224
India,2019,4718
India,2020,4347
India,2021,5845
India,2022,8187
India,2023,10966
India,2024,12762
United Kingdom,2015,8420
United Kingdom,2016,7955
United Kingdom,2017,6335
United Kingdom,2018,7256
United Kingdom,2019,4275
United Kingdom,2020,3419
United Kingdom,2021,2967
United Kingdom,2022,4324
United Kingdom,2023,4500
United Kingdom,2024,4650
Philippines,2015,4181
Philippines,2016,4558
Philippines,2017,3474
Philippines,2018,3484
Philippines,2019,2583
Philippines,2020,1832
Philippines,2021,2151
Philippines,2022,3123
Philippines,2023,3368
Philippines,2024,3834
South Africa,2015,1528
South Africa,2016,1346
South Africa,2017,1346
South Africa,2018,1518
South Africa,2019,1145
South Africa,2020,1305
South Africa,2021,1487
South Africa,2022,1796
South Africa,2023,1417
South Africa,2024,2240
Sri Lanka,2015,508
Sri Lanka,2016,556
Sri Lanka,2017,381
Sri Lanka,2018,487
Sri Lanka,2019,429
Sri Lanka,2020,431
Sri Lanka,2021,629
Sri Lanka,2022,1078
Sri Lanka,2023,1016
Sri Lanka,2024,1984
People's Republic of China1,2015,4024
People's Republic of China1,2016,4197
People's Republic of China1,2017,2713
People's Republic of China1,2018,2945
People's Republic of China1,2019,2524
People's Republic of China1,2020,1369
People's Republic of China1,2021,1407
People's Republic of China1,2022,1676
People's Republic of China1,2023,2367
People's Republic of China1,2024,1509
Nepal,2015,1682
Nepal,2016,1577
Nepal,2017,748
Nepal,2018,1296
Nepal,2019,884
Nepal,2020,597
Nepal,2021,696
Nepal,2022,761
Nepal,2023,710
Nepal,2024,1412
Ireland,2015,2862
Ireland,2016,2436
Ireland,2017,1511
Ireland,2018,1546
Ireland,2019,996
Ireland,2020,823
Ireland,2021,791
Ireland,2022,1402
Ireland,2023,1154
Ireland,2024,1343
Brazil,2015,609
Brazil,2016,805
Brazil,2017,677
Brazil,2018,1216
Brazil,2019,888
Brazil,2020,741
Brazil,2021,774
Brazil,2022,1081
Brazil,2023,933
Brazil,2024,1266
Pakistan,2015,692
Pakistan,2016,713
Pakistan,2017,449
Pakistan,2018,489
Pakistan,2019,403
Pakistan,2020,326
Pakistan,2021,360
Pakistan,2022,420
Pakistan,2023,453
Pakistan,2024,823
Republic of Korea,2015,1500
Republic of Korea,2016,1487
Republic of Korea,2017,956
Republic of Korea,2018,961
Republic of Korea,2019,741
Republic of Korea,2020,585
Republic of Korea,2021,604
Republic of Korea,2022,894
Republic of Korea,2023,844
Republic of Korea,2024,767
Italy,2015,819
Italy,2016,1023
Italy,2017,1028
Italy,2018,1248
Italy,2019,915
Italy,2020,571
Italy,2021,577
Italy,2022,715
Italy,2023,655
Italy,2024,671
Zimbabwe,2015,217
Zimbabwe,2016,158
Zimbabwe,2017,111
Zimbabwe,2018,93
Zimbabwe,2019,79
Zimbabwe,2020,124
Zimbabwe,2021,282
Zimbabwe,2022,385
Zimbabwe,2023,328
Zimbabwe,2024,634
Colombia,2015,342
Colombia,2016,350
Colombia,2017,238
Colombia,2018,317
Colombia,2019,216
Colombia,2020,260
Colombia,2021,253
Colombia,2022,370
Colombia,2023,365
Colombia,2024,598
Vietnam,2015,462
Vietnam,2016,637
Vietnam,2017,462
Vietnam,2018,736
Vietnam,2019,569
Vietnam,2020,410
Vietnam,2021,821
Vietnam,2022,723
Vietnam,2023,1024
Vietnam,2024,508
Other2,2015,9909
Other2,2016,10579
Other2,2017,9951
Other2,2018,11196
Other2,2019,7896
Other2,2020,6363
Other2,2021,6459
Other2,2022,8065
Other2,2023,6725
Other2,2024,8999
Total,2015,48250
Total,2016,48250
Total,2017,35528
Total,2018,42012
Total,2019,29261
Total,2020,23503
Total,2021,26103
Total,2022,35000
Total,2023,36825
Total,2024,44000
