indicator,year,value,category
15–19,0,-0.1887058421233662,Australian-born | Male
15–19,0,-0.1970343221076617,Australian-born | Female
15–19,0,-0.3857401642310279,Australian-born | Total
15–19,0,0.0094629750941535,Overseas-born | Male
15–19,0,-0.0018136350420922,Overseas-born | Female
15–19,0,0.0076493400520612,Overseas-born | Total
15–19,0,-0.3780908241789666,Total all birth groups
20–24,0,-0.3844940508900386,Australian-born | Male
20–24,0,-0.4141995260140587,Australian-born | Female
20–24,0,-0.7986935769040973,Australian-born | Total
20–24,0,-0.0641560908527797,Overseas-born | Male
20–24,0,-0.0723416914994199,Overseas-born | Female
20–24,0,-0.1364977823521997,Overseas-born | Total
20–24,0,-0.935191359256297,Total all birth groups
Change in demographic composition by age group (years) | 25–34,0,-0.2137569517310073,Australian-born | Male
Change in demographic composition by age group (years) | 25–34,0,-0.2854154429389883,Australian-born | Female
Change in demographic composition by age group (years) | 25–34,0,-0.4991723946699956,Australian-born | Total
Change in demographic composition by age group (years) | 25–34,0,-0.1667012791627708,Overseas-born | Male
Change in demographic composition by age group (years) | 25–34,0,0.0385312237830416,Overseas-born | Female
Change in demographic composition by age group (years) | 25–34,0,-0.1281700553797291,Overseas-born | Total
Change in demographic composition by age group (years) | 25–34,0,-0.6273424500497248,Total all birth groups
Change in demographic composition by age group (years) | 35–44,0,-0.7653774731205577,Australian-born | Male
Change in demographic composition by age group (years) | 35–44,0,-0.7185815651697085,Australian-born | Female
Change in demographic composition by age group (years) | 35–44,0,-1.483959038290266,Australian-born | Total
Change in demographic composition by age group (years) | 35–44,0,0.563282341081795,Overseas-born | Male
Change in demographic composition by age group (years) | 35–44,0,0.5489187131653953,Overseas-born | Female
Change in demographic composition by age group (years) | 35–44,0,1.1122010542471903,Overseas-born | Total
Change in demographic composition by age group (years) | 35–44,0,-0.3717579840430758,Total all birth groups
Change in demographic composition by age group (years) | 45–54,0,-0.3529396709142752,Australian-born | Male
Change in demographic composition by age group (years) | 45–54,0,-0.3672998542497803,Australian-born | Female
Change in demographic composition by age group (years) | 45–54,0,-0.7202395251640556,Australian-born | Total
Change in demographic composition by age group (years) | 45–54,0,-0.1163903775781215,Overseas-born | Male
Change in demographic composition by age group (years) | 45–54,0,-0.0551540865528196,Overseas-born | Female
Change in demographic composition by age group (years) | 45–54,0,-0.1715444641309411,Overseas-born | Total
Change in demographic composition by age group (years) | 45–54,0,-0.8917839892949968,Total all birth groups
Change in demographic composition by age group (years) | 55–64,0,-0.0275700093081289,Australian-born | Male
Change in demographic composition by age group (years) | 55–64,0,-0.0192353384224362,Australian-born | Female
Change in demographic composition by age group (years) | 55–64,0,-0.0468053477305652,Australian-born | Total
Change in demographic composition by age group (years) | 55–64,0,0.0341375038935327,Overseas-born | Male
Change in demographic composition by age group (years) | 55–64,0,0.0857350342320485,Overseas-born | Female
Change in demographic composition by age group (years) | 55–64,0,0.1198725381255812,Overseas-born | Total
Change in demographic composition by age group (years) | 55–64,0,0.073067190395016,Total all birth groups
Change in demographic composition by age group (years) | 65+,0,0.2329476284589499,Australian-born | Male
Change in demographic composition by age group (years) | 65+,0,0.1382462964087334,Australian-born | Female
Change in demographic composition by age group (years) | 65+,0,0.3711939248676834,Australian-born | Total
Change in demographic composition by age group (years) | 65+,0,0.0738798486722269,Overseas-born | Male
Change in demographic composition by age group (years) | 65+,0,0.0569012730585102,Overseas-born | Female
Change in demographic composition by age group (years) | 65+,0,0.1307811217307371,Overseas-born | Total
Change in demographic composition by age group (years) | 65+,0,0.5019750465984206,Total all birth groups
Change in demographic composition by age group (years) | All age groups,0,-1.6998963696284244,Australian-born | Male
Change in demographic composition by age group (years) | All age groups,0,-1.8635197524939004,Australian-born | Female
Change in demographic composition by age group (years) | All age groups,0,-3.563416122122325,Australian-born | Total
Change in demographic composition by age group (years) | All age groups,0,0.333514921148036,Overseas-born | Male
Change in demographic composition by age group (years) | All age groups,0,0.600776831144664,Overseas-born | Female
Change in demographic composition by age group (years) | All age groups,0,0.9342917522927,Overseas-born | Total
Change in demographic composition by age group (years) | All age groups,0,-2.6291243698296247,Total all birth groups
Change in demographic composition by age group (years) | 15–19,0,0.0248305952462452,Australian-born | Male
