indicator,year,value
Primary applicant,2015,8086
Primary applicant,2016,7599
Primary applicant,2017,4692
Primary applicant,2018,2839
Primary applicant,2019,1840
Primary applicant,2020,1521
Primary applicant,2021,1841
Primary applicant,2022,2968
Primary applicant,2023,3376
Primary applicant,2024,3405
Secondary applicant,2015,4687
Secondary applicant,2016,4835
Secondary applicant,2017,3390
Secondary applicant,2018,2960
Secondary applicant,2019,1946
Secondary applicant,2020,1866
Secondary applicant,2021,2190
Secondary applicant,2022,3255
Secondary applicant,2023,3085
Secondary applicant,2024,3228
Total,2015,12773
Total,2016,12434
Total,2017,8082
Total,2018,5799
Total,2019,3786
Total,2020,3387
Total,2021,4031
Total,2022,6223
Total,2023,6461
Total,2024,6633
