indicator,year,value
People's Republic of China1,2022,2049
People's Republic of China1,2023,5062
People's Republic of China1,2024,8207
India,2022,1700
India,2023,3145
India,2024,4113
Vietnam,2022,531
Vietnam,2023,1173
Vietnam,2024,1654
United Kingdom,2022,1025
United Kingdom,2023,1069
United Kingdom,2024,1410
United States of America,2022,525
United States of America,2023,2055
United States of America,2024,1308
Philippines,2022,321
Philippines,2023,746
Philippines,2024,1258
Thailand,2022,266
Thailand,2023,778
Thailand,2024,1104
Indonesia,2022,848
Indonesia,2023,873
Indonesia,2024,982
Fiji,2022,114
Fiji,2023,329
Fiji,2024,908
Malaysia,2022,682
Malaysia,2023,838
Malaysia,2024,870
All other countries2,2022,7652
All other countries2,2023,12803
All other countries2,2024,16167
Total3,2022,15713
Total3,2023,28871
Total3,2024,37981
