indicator,year,value
"Industrial, Mechanical and Production Engineers",2009,113.0
"Industrial, Mechanical and Production Engineers",2010,121.0
"Industrial, Mechanical and Production Engineers",2011,188.0
"Industrial, Mechanical and Production Engineers",2012,96.0
"Industrial, Mechanical and Production Engineers",2013,54.0
"Industrial, Mechanical and Production Engineers",2014,39.0
"Industrial, Mechanical and Production Engineers",2015,40.0
"Industrial, Mechanical and Production Engineers",2016,79.0
"Industrial, Mechanical and Production Engineers",2017,78.0
"Industrial, Mechanical and Production Engineers",2018,13.0
Civil Engineering Professionals,2009,92.0
Civil Engineering Professionals,2010,96.0
Civil Engineering Professionals,2011,149.0
Civil Engineering Professionals,2012,57.0
Civil Engineering Professionals,2013,48.0
Civil Engineering Professionals,2014,28.0
Civil Engineering Professionals,2015,32.0
Civil Engineering Professionals,2016,44.0
Civil Engineering Professionals,2017,48.0
Civil Engineering Professionals,2018,11.0
Electronics Engineers,2009,118.0
Electronics Engineers,2010,92.0
Electronics Engineers,2011,121.0
Electronics Engineers,2012,46.0
Electronics Engineers,2013,24.0
Electronics Engineers,2014,24.0
Electronics Engineers,2015,21.0
Electronics Engineers,2016,39.0
Electronics Engineers,2017,39.0
Electronics Engineers,2018,9.0
Registered Nurses,2009,157.0
Registered Nurses,2010,184.0
Registered Nurses,2011,154.0
Registered Nurses,2012,42.0
Registered Nurses,2013,50.0
Registered Nurses,2014,35.0
Registered Nurses,2015,32.0
Registered Nurses,2016,43.0
Registered Nurses,2017,49.0
Registered Nurses,2018,9.0
Electrical Engineers,2009,73.0
Electrical Engineers,2010,51.0
Electrical Engineers,2011,59.0
Electrical Engineers,2012,43.0
Electrical Engineers,2013,16.0
Electrical Engineers,2014,11.0
Electrical Engineers,2015,21.0
Electrical Engineers,2016,23.0
Electrical Engineers,2017,26.0
Electrical Engineers,2018,5.0
"Tele-
communications Engineering Professionals",2009,0.0
"Tele-
communications Engineering Professionals",2010,8.0
"Tele-
communications Engineering Professionals",2011,39.0
"Tele-
communications Engineering Professionals",2012,39.0
"Tele-
communications Engineering Professionals",2013,25.0
"Tele-
communications Engineering Professionals",2014,25.0
"Tele-
communications Engineering Professionals",2015,11.0
"Tele-
communications Engineering Professionals",2016,20.0
"Tele-
communications Engineering Professionals",2017,17.0
"Tele-
communications Engineering Professionals",2018,5.0
Motor Mechanics,2009,10.0
Motor Mechanics,2010,208.0
Motor Mechanics,2011,99.0
Motor Mechanics,2012,27.0
Motor Mechanics,2013,22.0
Motor Mechanics,2014,13.0
Motor Mechanics,2015,15.0
Motor Mechanics,2016,11.0
Motor Mechanics,2017,20.0
Motor Mechanics,2018,5.0
Chemical and Materials Engineers,2009,25.0
Chemical and Materials Engineers,2010,27.0
Chemical and Materials Engineers,2011,53.0
Chemical and Materials Engineers,2012,23.0
Chemical and Materials Engineers,2013,12.0
Chemical and Materials Engineers,2014,9.0
Chemical and Materials Engineers,2015,12.0
Chemical and Materials Engineers,2016,13.0
Chemical and Materials Engineers,2017,18.0
Software and Applications Programmers,2009,173.0
Software and Applications Programmers,2010,488.0
Software and Applications Programmers,2011,979.0
Software and Applications Programmers,2012,439.0
Software and Applications Programmers,2013,144.0
Software and Applications Programmers,2014,133.0
Software and Applications Programmers,2015,177.0
Software and Applications Programmers,2016,51.0
Software and Applications Programmers,2017,24.0
"Database and Systems Administrators, and ICT Security Specialists2",2011,8.0
"Database and Systems Administrators, and ICT Security Specialists2",2016,0.0
"Database and Systems Administrators, and ICT Security Specialists2",2017,5.0
Other,2009,840.0
Other,2010,3966.0
Other,2011,3723.0
Other,2012,3465.0
Other,2013,2092.0
Other,2014,885.0
Other,2015,1911.0
Other,2016,282.0
Other,2017,174.0
Other,2018,39.0
Total,2009,1605.0
Total,2010,5243.0
Total,2011,5572.0
Total,2012,4279.0
Total,2013,2491.0
Total,2014,1203.0
Total,2015,2275.0
Total,2016,605.0
Total,2017,498.0
Total,2018,108.0
