indicator,year,value
India,2015,13343
India,2016,13781
India,2017,12161
India,2018,11741
India,2019,3225
India,2020,1140
India,2021,699
India,2022,5074
India,2023,9631
India,2024,5058
People's Republic of China1,2015,5509
People's Republic of China1,2016,5991
People's Republic of China1,2017,5067
People's Republic of China1,2018,4160
People's Republic of China1,2019,1367
People's Republic of China1,2020,941
People's Republic of China1,2021,381
People's Republic of China1,2022,2351
People's Republic of China1,2023,2769
People's Republic of China1,2024,2488
United Kingdom,2015,3947
United Kingdom,2016,3074
United Kingdom,2017,2320
United Kingdom,2018,1811
United Kingdom,2019,425
United Kingdom,2020,212
United Kingdom,2021,134
United Kingdom,2022,1076
United Kingdom,2023,1257
United Kingdom,2024,1084
Nepal,2015,1272
Nepal,2016,1032
Nepal,2017,843
Nepal,2018,1089
Nepal,2019,427
Nepal,2020,270
Nepal,2021,55
Nepal,2022,2763
Nepal,2023,4090
Nepal,2024,999
Pakistan,2015,2991
Pakistan,2016,2844
Pakistan,2017,2422
Pakistan,2018,1353
Pakistan,2019,451
Pakistan,2020,231
Pakistan,2021,117
Pakistan,2022,583
Pakistan,2023,1025
Pakistan,2024,757
Philippines,2015,2402
Philippines,2016,2596
Philippines,2017,1910
Philippines,2018,1515
Philippines,2019,439
Philippines,2020,160
Philippines,2021,80
Philippines,2022,1738
Philippines,2023,1695
Philippines,2024,673
Sri Lanka,2015,833
Sri Lanka,2016,658
Sri Lanka,2017,517
Sri Lanka,2018,510
Sri Lanka,2019,189
Sri Lanka,2020,110
Sri Lanka,2021,25
Sri Lanka,2022,616
Sri Lanka,2023,806
Sri Lanka,2024,501
Hong Kong (SAR of the PRC)2,2015,403
Hong Kong (SAR of the PRC)2,2016,373
Hong Kong (SAR of the PRC)2,2017,337
Hong Kong (SAR of the PRC)2,2018,137
Hong Kong (SAR of the PRC)2,2019,31
Hong Kong (SAR of the PRC)2,2020,41
Hong Kong (SAR of the PRC)2,2021,52
Hong Kong (SAR of the PRC)2,2022,699
Hong Kong (SAR of the PRC)2,2023,788
Hong Kong (SAR of the PRC)2,2024,478
Ireland,2015,918
Ireland,2016,553
Ireland,2017,381
Ireland,2018,241
Ireland,2019,84
Ireland,2020,46
Ireland,2021,34
Ireland,2022,273
Ireland,2023,413
Ireland,2024,412
Malaysia,2015,1371
Malaysia,2016,1121
Malaysia,2017,785
Malaysia,2018,473
Malaysia,2019,156
Malaysia,2020,123
Malaysia,2021,62
Malaysia,2022,500
Malaysia,2023,663
Malaysia,2024,386
Iran,2015,970
Iran,2016,1019
Iran,2017,743
Iran,2018,678
Iran,2019,204
Iran,2020,82
Iran,2021,54
Iran,2022,847
Iran,2023,840
Iran,2024,352
Vietnam,2015,568
Vietnam,2016,375
Vietnam,2017,514
Vietnam,2018,425
Vietnam,2019,156
Vietnam,2020,82
Vietnam,2021,27
Vietnam,2022,473
Vietnam,2023,471
Vietnam,2024,330
South Africa,2015,1511
South Africa,2016,1828
South Africa,2017,1312
South Africa,2018,852
South Africa,2019,236
South Africa,2020,44
South Africa,2021,60
South Africa,2022,718
South Africa,2023,899
South Africa,2024,326
Brazil,2015,207
Brazil,2016,218
Brazil,2017,162
Brazil,2018,158
Brazil,2019,36
Brazil,2020,27
Brazil,2021,23
Brazil,2022,115
Brazil,2023,192
Brazil,2024,280
Singapore,2015,661
Singapore,2016,553
Singapore,2017,437
Singapore,2018,256
Singapore,2019,90
Singapore,2020,54
Singapore,2021,42
Singapore,2022,388
Singapore,2023,421
Singapore,2024,266
Other3,2015,7088
Other3,2016,6406
Other3,2017,9226
Other3,2018,8848
Other3,2019,5470
Other3,2020,3650
Other3,2021,4019
Other3,2022,13886
Other3,2023,4415
Other3,2024,2510
Total,2015,43994
Total,2016,42422
Total,2017,39137
Total,2018,34247
Total,2019,12986
Total,2020,7213
Total,2021,5864
Total,2022,32100
Total,2023,30375
Total,2024,16900
