indicator,year,value
India,2009,750
India,2010,1989
India,2011,2575
India,2012,2783
India,2013,1853
India,2014,923
India,2015,1523
India,2016,639
India,2017,637
India,2018,234
Pakistan,2009,64
Pakistan,2010,88
Pakistan,2011,366
Pakistan,2012,344
Pakistan,2013,321
Pakistan,2014,214
Pakistan,2015,241
Pakistan,2016,103
Pakistan,2017,176
Pakistan,2018,93
Philippines,2009,304
Philippines,2010,588
Philippines,2011,836
Philippines,2012,384
Philippines,2013,315
Philippines,2014,258
Philippines,2015,223
Philippines,2016,116
Philippines,2017,76
Philippines,2018,36
Sri Lanka,2009,295
Sri Lanka,2010,813
Sri Lanka,2011,1049
Sri Lanka,2012,616
Sri Lanka,2013,342
Sri Lanka,2014,229
Sri Lanka,2015,296
Sri Lanka,2016,101
Sri Lanka,2017,78
Sri Lanka,2018,34
Nepal,2009,48
Nepal,2010,386
Nepal,2011,249
Nepal,2012,316
Nepal,2013,181
Nepal,2014,66
Nepal,2015,129
Nepal,2016,59
Nepal,2017,67
Nepal,2018,32
People's Republic of China2,2009,285
People's Republic of China2,2010,1411
People's Republic of China2,2011,806
People's Republic of China2,2012,786
People's Republic of China2,2013,370
People's Republic of China2,2014,218
People's Republic of China2,2015,300
People's Republic of China2,2016,95
People's Republic of China2,2017,69
People's Republic of China2,2018,24
United Kingdom,2009,414
United Kingdom,2010,745
United Kingdom,2011,1465
United Kingdom,2012,310
United Kingdom,2013,189
United Kingdom,2014,86
United Kingdom,2015,75
United Kingdom,2016,69
United Kingdom,2017,61
United Kingdom,2018,22
Iran,2009,21
Iran,2010,35
Iran,2011,130
Iran,2012,162
Iran,2013,102
Iran,2014,64
Iran,2015,51
Iran,2016,52
Iran,2017,60
Iran,2018,19
Bangladesh,2009,58
Bangladesh,2010,189
Bangladesh,2011,340
Bangladesh,2012,190
Bangladesh,2013,145
Bangladesh,2014,175
Bangladesh,2015,440
Bangladesh,2016,50
Bangladesh,2017,39
Bangladesh,2018,17
Zimbabwe,2009,25
Zimbabwe,2010,30
Zimbabwe,2011,34
Zimbabwe,2012,19
Zimbabwe,2013,21
Zimbabwe,2014,8
Zimbabwe,2015,19
Zimbabwe,2016,16
Zimbabwe,2017,32
Zimbabwe,2018,17
South Africa,2009,165
South Africa,2010,294
South Africa,2011,430
South Africa,2012,120
South Africa,2013,44
South Africa,2014,13
South Africa,2015,22
South Africa,2016,40
South Africa,2017,36
South Africa,2018,11
Nigeria,2009,21
Nigeria,2010,15
Nigeria,2011,27
Nigeria,2012,12
Nigeria,2013,11
Nigeria,2014,9
Nigeria,2015,15
Nigeria,2016,15
Nigeria,2017,12
Nigeria,2018,11
Kenya,2009,6
Kenya,2010,5
Kenya,2011,42
Kenya,2012,25
Kenya,2013,30
Kenya,2014,30
Kenya,2015,39
Kenya,2016,13
Kenya,2017,6
Kenya,2018,11
Vietnam,2009,72
Vietnam,2010,302
Vietnam,2011,194
Vietnam,2012,130
Vietnam,2013,134
Vietnam,2014,96
Vietnam,2015,128
Vietnam,2016,49
Vietnam,2017,28
Vietnam,2018,11
Egypt,2009,33
Egypt,2010,77
Egypt,2011,199
Egypt,2012,79
Egypt,2013,62
Egypt,2014,45
Egypt,2015,38
Egypt,2016,19
Egypt,2017,13
Egypt,2018,7
Other3,2009,1127
Other3,2010,2150
Other3,2011,3058
Other3,2012,1856
Other3,2013,980
Other3,2014,366
Other3,2015,657
Other3,2016,234
Other3,2017,184
Other3,2018,68
Total,2009,3688
Total,2010,9117
Total,2011,11800
Total,2012,8132
Total,2013,5100
Total,2014,2800
Total,2015,4196
Total,2016,1670
Total,2017,1574
Total,2018,647
