indicator,year,value,category
Skill stream,0,72.35054347826086,< 2
Skill stream,0,81.65540156764739,1.6684931506849314
Skill stream,0,84.48847997393311,3.6684931506849314
Skill stream,0,85.37153012863912,5.671232876712328
Skill stream,0,85.51583125357067,7.671232876712328
Skill stream,0,85.07080184171662,9.673972602739726
Skill stream,0,85.37776421297966,11.673972602739726
Skill stream,0,85.62370453689887,14
Skill stream,0,86.32904713911755,15.999999999999998
Skill stream,0,86.33632763450207,18
Skill stream,0,85.42959051392663,20+
Participation rates | Family stream,0,49.82018901062139,< 2
Participation rates | Family stream,0,59.47671469912586,1.6684931506849314
Participation rates | Family stream,0,65.76801240142885,3.6684931506849314
Participation rates | Family stream,0,66.3811387645112,5.671232876712328
Participation rates | Family stream,0,66.54756992320776,7.671232876712328
Participation rates | Family stream,0,66.91750540871038,9.673972602739726
Participation rates | Family stream,0,69.80052383844519,11.673972602739726
Participation rates | Family stream,0,69.36161992636698,14
Participation rates | Family stream,0,68.1451830287347,15.999999999999998
Participation rates | Family stream,0,71.0493290858191,18
Participation rates | Family stream,0,68.87065852244861,20+
Participation rates | Australian-born,0,66.34739752997277,< 2
Participation rates | Australian-born,0,66.34739752997277,1.6684931506849314
Participation rates | Australian-born,0,66.34739752997277,3.6684931506849314
Participation rates | Australian-born,0,66.34739752997277,5.671232876712328
Participation rates | Australian-born,0,66.34739752997277,7.671232876712328
Participation rates | Australian-born,0,66.34739752997277,9.673972602739726
Participation rates | Australian-born,0,66.34739752997277,11.673972602739726
Participation rates | Australian-born,0,66.34739752997277,14
Participation rates | Australian-born,0,66.34739752997277,15.999999999999998
Participation rates | Australian-born,0,66.34739752997277,18
Participation rates | Australian-born,0,66.34739752997277,20+
Participation rates | Skill stream,0,13.71674491392801,< 2
Participation rates | Skill stream,0,6.288148856621163,1.6684931506849314
Participation rates | Skill stream,0,5.289598408654968,3.6684931506849314
Participation rates | Skill stream,0,4.644361833952912,5.671232876712328
Participation rates | Skill stream,0,4.229254571026723,7.671232876712328
Participation rates | Skill stream,0,4.362668222765236,9.673972602739726
Participation rates | Skill stream,0,4.149082856307191,11.673972602739726
Participation rates | Skill stream,0,4.244003729129587,14
Participation rates | Skill stream,0,4.001473030996333,15.999999999999998
Participation rates | Skill stream,0,3.7993376890718698,18
Participation rates | Skill stream,0,3.5295731419802303,20+
Unemployment rates | Family stream,0,23.96340439818701,< 2
Unemployment rates | Family stream,0,10.31550963081862,1.6684931506849314
Unemployment rates | Family stream,0,8.019061283049805,3.6684931506849314
Unemployment rates | Family stream,0,7.018491649430432,5.671232876712328
Unemployment rates | Family stream,0,6.538013641656962,7.671232876712328
Unemployment rates | Family stream,0,6.072533033455159,9.673972602739726
Unemployment rates | Family stream,0,5.847484127092029,11.673972602739726
Unemployment rates | Family stream,0,5.6208122409528025,14
Unemployment rates | Family stream,0,5.6051106584126105,15.999999999999998
Unemployment rates | Family stream,0,5.199275362318841,18
Unemployment rates | Family stream,0,5.055997928400337,20+
Unemployment rates | Australian-born,0,4.8095953251950725,< 2
Unemployment rates | Australian-born,0,4.8095953251950725,1.6684931506849314
Unemployment rates | Australian-born,0,4.8095953251950725,3.6684931506849314
Unemployment rates | Australian-born,0,4.8095953251950725,5.671232876712328
Unemployment rates | Australian-born,0,4.8095953251950725,7.671232876712328
Unemployment rates | Australian-born,0,4.8095953251950725,9.673972602739726
Unemployment rates | Australian-born,0,4.8095953251950725,11.673972602739726
Unemployment rates | Australian-born,0,4.8095953251950725,14
Unemployment rates | Australian-born,0,4.8095953251950725,15.999999999999998
Unemployment rates | Australian-born,0,4.8095953251950725,18
Unemployment rates | Australian-born,0,4.8095953251950725,20+
