indicator,year,value
India,2015,8115
India,2016,8541
India,2017,10652
India,2018,9465
India,2019,6149
India,2020,4052
India,2021,5386
India,2022,9740
India,2023,11064
India,2024,11355
People's Republic of China1,2015,2556
People's Republic of China1,2016,2189
People's Republic of China1,2017,2923
People's Republic of China1,2018,2611
People's Republic of China1,2019,3616
People's Republic of China1,2020,2207
People's Republic of China1,2021,2443
People's Republic of China1,2022,4324
People's Republic of China1,2023,3179
People's Republic of China1,2024,3158
Nepal,2015,1382
Nepal,2016,934
Nepal,2017,917
Nepal,2018,1122
Nepal,2019,1679
Nepal,2020,1669
Nepal,2021,2737
Nepal,2022,3367
Nepal,2023,2773
Nepal,2024,2523
Pakistan,2015,1642
Pakistan,2016,1632
Pakistan,2017,1633
Pakistan,2018,1387
Pakistan,2019,674
Pakistan,2020,573
Pakistan,2021,688
Pakistan,2022,908
Pakistan,2023,1162
Pakistan,2024,2404
Sri Lanka,2015,1026
Sri Lanka,2016,918
Sri Lanka,2017,917
Sri Lanka,2018,818
Sri Lanka,2019,414
Sri Lanka,2020,268
Sri Lanka,2021,444
Sri Lanka,2022,834
Sri Lanka,2023,1406
Sri Lanka,2024,2010
United Kingdom,2015,1611
United Kingdom,2016,1176
United Kingdom,2017,1192
United Kingdom,2018,1390
United Kingdom,2019,1204
United Kingdom,2020,592
United Kingdom,2021,740
United Kingdom,2022,1703
United Kingdom,2023,1163
United Kingdom,2024,1602
Philippines,2015,1181
Philippines,2016,1040
Philippines,2017,1397
Philippines,2018,1326
Philippines,2019,1330
Philippines,2020,789
Philippines,2021,995
Philippines,2022,1135
Philippines,2023,1262
Philippines,2024,1308
Malaysia,2015,729
Malaysia,2016,774
Malaysia,2017,695
Malaysia,2018,472
Malaysia,2019,428
Malaysia,2020,451
Malaysia,2021,514
Malaysia,2022,716
Malaysia,2023,628
Malaysia,2024,815
South Africa,2015,660
South Africa,2016,757
South Africa,2017,903
South Africa,2018,925
South Africa,2019,758
South Africa,2020,158
South Africa,2021,224
South Africa,2022,965
South Africa,2023,770
South Africa,2024,707
Bhutan,2015,16
Bhutan,2016,56
Bhutan,2017,63
Bhutan,2018,61
Bhutan,2019,96
Bhutan,2020,141
Bhutan,2021,207
Bhutan,2022,244
Bhutan,2023,315
Bhutan,2024,672
Iran,2015,466
Iran,2016,488
Iran,2017,634
Iran,2018,567
Iran,2019,589
Iran,2020,202
Iran,2021,265
Iran,2022,828
Iran,2023,576
Iran,2024,665
Vietnam,2015,388
Vietnam,2016,449
Vietnam,2017,482
Vietnam,2018,538
Vietnam,2019,702
Vietnam,2020,433
Vietnam,2021,612
Vietnam,2022,708
Vietnam,2023,527
Vietnam,2024,569
Bangladesh,2015,710
Bangladesh,2016,729
Bangladesh,2017,535
Bangladesh,2018,377
Bangladesh,2019,364
Bangladesh,2020,183
Bangladesh,2021,258
Bangladesh,2022,384
Bangladesh,2023,390
Bangladesh,2024,401
Ireland,2015,413
Ireland,2016,222
Ireland,2017,189
Ireland,2018,160
Ireland,2019,133
Ireland,2020,117
Ireland,2021,221
Ireland,2022,277
Ireland,2023,416
Ireland,2024,382
Brazil,2015,98
Brazil,2016,117
Brazil,2017,149
Brazil,2018,164
Brazil,2019,127
Brazil,2020,135
Brazil,2021,197
Brazil,2022,398
Brazil,2023,289
Brazil,2024,348
Other2,2015,3657
Other2,2016,3743
Other2,2017,4119
Other2,2018,3963
Other2,2019,3232
Other2,2020,2298
Other2,2021,3445
Other2,2022,4469
Other2,2023,4480
Other2,2024,4081
Total,2015,24650
Total,2016,23765
Total,2017,27400
Total,2018,25346
Total,2019,21495
Total,2020,14268
Total,2021,19376
Total,2022,31000
Total,2023,30400
Total,2024,33000
