indicator,year,value,category
New Zealand,0,17080,Females
New Zealand,0,33103,Total4
India,0,11658,Females
India,0,23015,Total4
United Kingdom,0,6069,Females
United Kingdom,0,12674,Total4
Philippines,0,5260,Females
Philippines,0,8517,Total4
Vietnam,0,3359,Females
Vietnam,0,5430,Total4
Nepal,0,3040,Females
Nepal,0,5398,Total4
Iraq,0,2617,Females
Iraq,0,5272,Total4
People's Republic of China2,0,2794,Females
People's Republic of China2,0,5194,Total4
Pakistan,0,2147,Females
Pakistan,0,4690,Total4
South Africa,0,2221,Females
South Africa,0,4428,Total4
Afghanistan,0,2154,Females
Afghanistan,0,4136,Total4
Sri Lanka,0,1792,Females
Sri Lanka,0,3648,Total4
Iran,0,1595,Females
Iran,0,3394,Total4
Myanmar,0,1300,Females
Myanmar,0,2479,Total4
Brazil,0,1158,Females
Brazil,0,2102,Total4
Other countries3,0,23048,Females
Other countries3,0,41713,Total4
Total,0,87292,Females
Total,0,165193,Total4
