indicator,year,value,category
15–19,0,0.0600481851067867,Australian-born | Male
15–19,0,0.0440252884297148,Australian-born | Female
15–19,0,0.1040734735365015,Australian-born | Total
15–19,0,0.0211017233203252,Overseas-born | Male
15–19,0,0.0384105835119153,Overseas-born | Female
15–19,0,0.0595123068322405,Overseas-born | Total
15–19,0,0.1635857803687421,Total all birth groups
20–24,0,-0.0695593964336936,Australian-born | Male
20–24,0,-0.0996786731142323,Australian-born | Female
20–24,0,-0.1692380695479259,Australian-born | Total
20–24,0,0.2090119177965392,Overseas-born | Male
20–24,0,0.1830206347436325,Overseas-born | Female
20–24,0,0.3920325525401716,Overseas-born | Total
20–24,0,0.2227944829922457,Total all birth groups
Change in demographic composition by age group (years) | 25–34,0,-0.2021993928119481,Australian-born | Male
Change in demographic composition by age group (years) | 25–34,0,-0.1164229240446797,Australian-born | Female
Change in demographic composition by age group (years) | 25–34,0,-0.3186223168566279,Australian-born | Total
Change in demographic composition by age group (years) | 25–34,0,0.4134933058724316,Overseas-born | Male
Change in demographic composition by age group (years) | 25–34,0,0.2072045535382888,Overseas-born | Female
Change in demographic composition by age group (years) | 25–34,0,0.6206978594107204,Overseas-born | Total
Change in demographic composition by age group (years) | 25–34,0,0.3020755425540925,Total all birth groups
Change in demographic composition by age group (years) | 35–44,0,-0.0740643478997951,Australian-born | Male
Change in demographic composition by age group (years) | 35–44,0,-0.1281950969133169,Australian-born | Female
Change in demographic composition by age group (years) | 35–44,0,-0.2022594448131121,Australian-born | Total
Change in demographic composition by age group (years) | 35–44,0,0.2303664405071861,Overseas-born | Male
Change in demographic composition by age group (years) | 35–44,0,0.2176514412216443,Overseas-born | Female
Change in demographic composition by age group (years) | 35–44,0,0.4480178817288305,Overseas-born | Total
Change in demographic composition by age group (years) | 35–44,0,0.2457584369157184,Total all birth groups
Change in demographic composition by age group (years) | 45–54,0,-0.500337188944967,Australian-born | Male
Change in demographic composition by age group (years) | 45–54,0,-0.3670848592293342,Australian-born | Female
Change in demographic composition by age group (years) | 45–54,0,-0.8674220481743014,Australian-born | Total
Change in demographic composition by age group (years) | 45–54,0,0.1312734191203277,Overseas-born | Male
Change in demographic composition by age group (years) | 45–54,0,0.0387557232031237,Overseas-born | Female
Change in demographic composition by age group (years) | 45–54,0,0.1700291423234514,Overseas-born | Total
Change in demographic composition by age group (years) | 45–54,0,-0.6973929058508499,Total all birth groups
Change in demographic composition by age group (years) | 55–64,0,-0.200292542037528,Australian-born | Male
Change in demographic composition by age group (years) | 55–64,0,-0.1416036629172096,Australian-born | Female
Change in demographic composition by age group (years) | 55–64,0,-0.3418962049547376,Australian-born | Total
Change in demographic composition by age group (years) | 55–64,0,-0.0780028069517974,Overseas-born | Male
Change in demographic composition by age group (years) | 55–64,0,-0.0924458930611445,Overseas-born | Female
Change in demographic composition by age group (years) | 55–64,0,-0.170448700012942,Overseas-born | Total
Change in demographic composition by age group (years) | 55–64,0,-0.5123449049676796,Total all birth groups
Change in demographic composition by age group (years) | 65+,0,0.0317730703051876,Australian-born | Male
Change in demographic composition by age group (years) | 65+,0,0.0188437742112311,Australian-born | Female
Change in demographic composition by age group (years) | 65+,0,0.0506168445164188,Australian-born | Total
Change in demographic composition by age group (years) | 65+,0,-0.0062853522314046,Overseas-born | Male
Change in demographic composition by age group (years) | 65+,0,0.0021874269730509,Overseas-born | Female
Change in demographic composition by age group (years) | 65+,0,-0.0040979252583536,Overseas-born | Total
Change in demographic composition by age group (years) | 65+,0,0.0465189192580651,Total all birth groups
Change in demographic composition by age group (years) | All age groups,0,-0.9546316127159576,Australian-born | Male
Change in demographic composition by age group (years) | All age groups,0,-0.7901161535778269,Australian-born | Female
Change in demographic composition by age group (years) | All age groups,0,-1.7447477662937845,Australian-born | Total
Change in demographic composition by age group (years) | All age groups,0,0.9209586474336076,Overseas-born | Male
Change in demographic composition by age group (years) | All age groups,0,0.5947844701305113,Overseas-born | Female
Change in demographic composition by age group (years) | All age groups,0,1.515743117564119,Overseas-born | Total
Change in demographic composition by age group (years) | All age groups,0,-0.2290046487296655,Total all birth groups
Change in demographic composition by age group (years) | 15–19,0,0.1465122639732709,Australian-born | Male
Change in demographic composition by age group (years) | 15–19,0,0.021465869718639,Australian-born | Female
Change in demographic composition by age group (years) | 15–19,0,0.1679781336919099,Australian-born | Total
Change in demographic composition by age group (years) | 15–19,0,0.0019909988509683,Overseas-born | Male
Change in demographic composition by age group (years) | 15–19,0,-0.0045520206678886,Overseas-born | Female
Change in demographic composition by age group (years) | 15–19,0,-0.0025610218169203,Overseas-born | Total
Change in demographic composition by age group (years) | 15–19,0,0.1654171118749896,Total all birth groups
Change in demographic composition by age group (years) | 20–24,0,0.0523323856054957,Australian-born | Male
Change in demographic composition by age group (years) | 20–24,0,0.0626452311729163,Australian-born | Female
Change in demographic composition by age group (years) | 20–24,0,0.114977616778412,Australian-born | Total
Change in demographic composition by age group (years) | 20–24,0,-0.0211989618889743,Overseas-born | Male
Change in demographic composition by age group (years) | 20–24,0,-0.0235393051112961,Overseas-born | Female
Change in demographic composition by age group (years) | 20–24,0,-0.0447382670002704,Overseas-born | Total
Change in demographic composition by age group (years) | 20–24,0,0.0702393497781416,Total all birth groups
Change in propensity to participate by age group (years) | 25–34,0,0.1065222858360853,Australian-born | Male
Change in propensity to participate by age group (years) | 25–34,0,0.1403233921212454,Australian-born | Female
Change in propensity to participate by age group (years) | 25–34,0,0.2468456779573307,Australian-born | Total
Change in propensity to participate by age group (years) | 25–34,0,0.0509219025559001,Overseas-born | Male
Change in propensity to participate by age group (years) | 25–34,0,0.1064426065337236,Overseas-born | Female
Change in propensity to participate by age group (years) | 25–34,0,0.1573645090896238,Overseas-born | Total
Change in propensity to participate by age group (years) | 25–34,0,0.4042101870469545,Total all birth groups
Change in propensity to participate by age group (years) | 35–44,0,0.0271733946496532,Australian-born | Male
Change in propensity to participate by age group (years) | 35–44,0,0.1159268504036248,Australian-born | Female
Change in propensity to participate by age group (years) | 35–44,0,0.1431002450532781,Australian-born | Total
Change in propensity to participate by age group (years) | 35–44,0,0.0482850239985484,Overseas-born | Male
Change in propensity to participate by age group (years) | 35–44,0,0.1581255270758859,Overseas-born | Female
Change in propensity to participate by age group (years) | 35–44,0,0.2064105510744343,Overseas-born | Total
Change in propensity to participate by age group (years) | 35–44,0,0.3495107961277125,Total all birth groups
Change in propensity to participate by age group (years) | 45–54,0,-0.0122842938778779,Australian-born | Male
Change in propensity to participate by age group (years) | 45–54,0,0.0290150953241059,Australian-born | Female
Change in propensity to participate by age group (years) | 45–54,0,0.0167308014462279,Australian-born | Total
Change in propensity to participate by age group (years) | 45–54,0,0.0558326038046124,Overseas-born | Male
Change in propensity to participate by age group (years) | 45–54,0,0.0650300225381229,Overseas-born | Female
Change in propensity to participate by age group (years) | 45–54,0,0.1208626263427353,Overseas-born | Total
Change in propensity to participate by age group (years) | 45–54,0,0.1375934277889633,Total all birth groups
Change in propensity to participate by age group (years) | 55–64,0,0.0129446551255287,Australian-born | Male
