Year,variable,value,sheet
1984–85,Skill stream,10100,1.0
1985–86,Skill stream,16200,1.0
1986–87,Skill stream,28500,1.0
1987–88,Skill stream,42000,1.0
1988–89,Skill stream,51200,1.0
1989–90,Skill stream,52700,1.0
1990–91,Skill stream,49800,1.0
1991–92,Skill stream,41400,1.0
1992–93,Skill stream,21300,1.0
1993–94,Skill stream,18300,1.0
1994–95,Skill stream,30400,1.0
1995–96,Skill stream,24100,1.0
1996–97,Skill stream,34676,1.0
1997–98,Skill stream,34446,1.0
1998–99,Skill stream,34895,1.0
1999–00,Skill stream,35352,1.0
2000–01,Skill stream,44721,1.0
2001–02,Skill stream,53507,1.0
2002–03,Skill stream,66053,1.0
2003–04,Skill stream,71243,1.0
2004–05,Skill stream,77878,1.0
2005–06,Skill stream,97336,1.0
2006–07,Skill stream,97922,1.0
2007–08,Skill stream,108540,1.0
2008–09,Skill stream,114777,1.0
2009–10,Skill stream,107868,1.0
2010–11,Skill stream,113725,1.0
2011–12,Skill stream,125755,1.0
2012–13,Skill stream,128973,1.0
2013–14,Skill stream,128550,1.0
2014–15,Skill stream,127774,1.0
2015–16,Skill stream,128550,1.0
2016–17,Skill stream,123567,1.0
2017–18,Skill stream,111099,1.0
2018–19,Skill stream,109713,1.0
2019–20,Skill stream,95843,1.0
2020–21,Skill stream,79620,1.0
2021–22,Skill stream,89063,1.0
2022–23,Skill stream,142344,1.0
2023–24,Skill stream,137100,1.0
2024–25,Skill stream,132148,1.0
1984–85,Family stream1,43000,1.0
1985–86,Family stream1,62100,1.0
1986–87,Family stream1,70700,1.0
1987–88,Family stream1,77500,1.0
1988–89,Family stream1,70400,1.0
1989–90,Family stream1,64500,1.0
1990–91,Family stream1,59300,1.0
1991–92,Family stream1,53700,1.0
1992–93,Family stream1,42600,1.0
1993–94,Family stream1,40700,1.0
1994–95,Family stream1,42000,1.0
1995–96,Family stream1,53870,1.0
1996–97,Family stream1,34993,1.0
1997–98,Family stream1,29093,1.0
1998–99,Family stream1,29967,1.0
1999–00,Family stream1,29855,1.0
2000–01,Family stream1,31337,1.0
2001–02,Family stream1,35920,1.0
2002–03,Family stream1,38113,1.0
2003–04,Family stream1,39567,1.0
2004–05,Family stream1,39245,1.0
2005–06,Family stream1,42744,1.0
2006–07,Family stream1,47071,1.0
2007–08,Family stream1,46808,1.0
2008–09,Family stream1,53128,1.0
2009–10,Family stream1,56710,1.0
2010–11,Family stream1,51243,1.0
2011–12,Family stream1,54904,1.0
2012–13,Family stream1,56335,1.0
2013–14,Family stream1,57262,1.0
2014–15,Family stream1,56950,1.0
2015–16,Family stream1,57400,1.0
2016–17,Family stream1,56220,1.0
2017–18,Family stream1,47732,1.0
2018–19,Family stream1,47247,1.0
2019–20,Family stream1,41961,1.0
2020–21,Family stream1,77372,1.0
2021–22,Family stream1,51288,1.0
2022–23,Family stream1,49500,1.0
2023–24,Family stream1,49720,1.0
2024–25,Family stream1,49500,1.0
1984–85,Child stream2,1200,1.0
1985–86,Child stream2,1300,1.0
1986–87,Child stream2,1900,1.0
1987–88,Child stream2,2000,1.0
1988–89,Child stream2,2300,1.0
1989–90,Child stream2,2100,1.0
1990–91,Child stream2,2000,1.0
1991–92,Child stream2,2200,1.0
1992–93,Child stream2,2700,1.0
1993–94,Child stream2,2500,1.0
1994–95,Child stream2,2500,1.0
1995–96,Child stream2,2830,1.0
1996–97,Child stream2,2183,1.0
1997–98,Child stream2,2188,1.0
1998–99,Child stream2,2071,1.0
1999–00,Child stream2,2162,1.0
2000–01,Child stream2,2124,1.0
2001–02,Child stream2,2162,1.0
2002–03,Child stream2,2681,1.0
2003–04,Child stream2,2662,1.0
2004–05,Child stream2,2491,1.0
2005–06,Child stream2,2547,1.0
2006–07,Child stream2,3008,1.0
2007–08,Child stream2,3062,1.0
2008–09,Child stream2,3238,1.0
2009–10,Child stream2,3544,1.0
2010–11,Child stream2,3300,1.0
2011–12,Child stream2,3700,1.0
2012–13,Child stream2,3850,1.0
2013–14,Child stream2,3850,1.0
2014–15,Child stream2,4135,1.0
2015–16,Child stream2,3512,1.0
2016–17,Child stream2,3400,1.0
2017–18,Child stream2,3350,1.0
2018–19,Child stream2,3248,1.0
2019–20,Child stream2,2481,1.0
2020–21,Child stream2,3006,1.0
2021–22,Child stream2,3006,1.0
2022–23,Child stream2,3000,1.0
2023–24,Child stream2,3000,1.0
2024–25,Child stream2,3000,1.0
1984–85,Special Eligibility,200,1.0
1985–86,Special Eligibility,400,1.0
1986–87,Special Eligibility,600,1.0
1987–88,Special Eligibility,600,1.0
1988–89,Special Eligibility,800,1.0
1989–90,Special Eligibility,900,1.0
1990–91,Special Eligibility,1200,1.0
1991–92,Special Eligibility,1700,1.0
1992–93,Special Eligibility,1400,1.0
1993–94,Special Eligibility,1300,1.0
1994–95,Special Eligibility,1600,1.0
1995–96,Special Eligibility,1700,1.0
1996–97,Special Eligibility,1735,1.0
1997–98,Special Eligibility,1113,1.0
1998–99,Special Eligibility,888,1.0
1999–00,Special Eligibility,2868,1.0
2000–01,Special Eligibility,2415,1.0
2001–02,Special Eligibility,1465,1.0
2002–03,Special Eligibility,1225,1.0
2003–04,Special Eligibility,890,1.0
2004–05,Special Eligibility,450,1.0
2005–06,Special Eligibility,306,1.0
2006–07,Special Eligibility,199,1.0
2007–08,Special Eligibility,220,1.0
2008–09,Special Eligibility,175,1.0
2009–10,Special Eligibility,501,1.0
2010–11,Special Eligibility,417,1.0
2011–12,Special Eligibility,639,1.0
2012–13,Special Eligibility,842,1.0
2013–14,Special Eligibility,338,1.0
2014–15,Special Eligibility,238,1.0
2015–16,Special Eligibility,308,1.0
2016–17,Special Eligibility,421,1.0
2017–18,Special Eligibility,236,1.0
2018–19,Special Eligibility,115,1.0
2019–20,Special Eligibility,81,1.0
2020–21,Special Eligibility,54,1.0
2021–22,Special Eligibility,199,1.0
2022–23,Special Eligibility,160,1.0
2023–24,Special Eligibility,180,1.0
2024–25,Special Eligibility,353,1.0
1984–85,Total3,54500,1.0
1985–86,Total3,80000,1.0
1986–87,Total3,101700,1.0
1987–88,Total3,122100,1.0
1988–89,Total3,124700,1.0
1989–90,Total3,120200,1.0
1990–91,Total3,112200,1.0
1991–92,Total3,98900,1.0
1992–93,Total3,67900,1.0
1993–94,Total3,62800,1.0
1994–95,Total3,76500,1.0
1995–96,Total3,82500,1.0
1996–97,Total3,73587,1.0
1997–98,Total3,66840,1.0
1998–99,Total3,67821,1.0
1999–00,Total3,70237,1.0
2000–01,Total3,80597,1.0
2001–02,Total3,93054,1.0
2002–03,Total3,108072,1.0
2003–04,Total3,114362,1.0
2004–05,Total3,120064,1.0
2005–06,Total3,142933,1.0
2006–07,Total3,148200,1.0
2007–08,Total3,158630,1.0
2008–09,Total3,171318,1.0
2009–10,Total3,168623,1.0
2010–11,Total3,168685,1.0
2011–12,Total3,184998,1.0
2012–13,Total3,190000,1.0
2013–14,Total3,190000,1.0
2014–15,Total3,189097,1.0
2015–16,Total3,189770,1.0
2016–17,Total3,183608,1.0
2017–18,Total3,162417,1.0
2018–19,Total3,160323,1.0
2019–20,Total3,140366,1.0
2020–21,Total3,160052,1.0
2021–22,Total3,143556,1.0
2022–23,Total3,195004,1.0
2023–24,Total3,190000,1.0
2024–25,Total3,185001,1.0
