Year,variable,value,sheet
2022–23,Family stream | Parent,8500.0,1.1
2023–24,Family stream | Parent,8500.0,1.1
2024–25,Family stream | Parent,8500.0,1.1
2015–16,Family stream | Child8,,1.1
2016–17,Family stream | Child8,,1.1
2017–18,Family stream | Child8,,1.1
2018–19,Family stream | Child8,,1.1
2019–20,Family stream | Child8,,1.1
2020–21,Family stream | Child8,,1.1
2021–22,Family stream | Child8,,1.1
2022–23,Family stream | Child8,3000.0,1.1
2023–24,Family stream | Child8,3000.0,1.1
2024–25,Family stream | Child8,3000.0,1.1
2015–16,Family stream | Other Family9,900.0,1.1
2016–17,Family stream | Other Family9,832.0,1.1
2017–18,Family stream | Other Family9,562.0,1.1
2018–19,Family stream | Other Family9,524.0,1.1
2019–20,Family stream | Other Family9,444.0,1.1
2020–21,Family stream | Other Family9,496.0,1.1
2021–22,Family stream | Other Family9,500.0,1.1
2022–23,Family stream | Other Family9,500.0,1.1
2023–24,Family stream | Other Family9,500.0,1.1
2024–25,Family stream | Other Family9,500.0,1.1
2015–16,Family stream | Family stream total10,57400.0,1.1
2016–17,Family stream | Family stream total10,56220.0,1.1
2017–18,Family stream | Family stream total10,47732.0,1.1
2018–19,Family stream | Family stream total10,47247.0,1.1
2019–20,Family stream | Family stream total10,41961.0,1.1
2020–21,Family stream | Family stream total10,77372.0,1.1
2021–22,Family stream | Family stream total10,51288.0,1.1
2022–23,Family stream | Family stream total10,52500.0,1.1
2023–24,Family stream | Family stream total10,52720.0,1.1
2024–25,Family stream | Family stream total10,52500.0,1.1
2015–16,Child stream | Child stream total,3512.0,1.1
2016–17,Child stream | Child stream total,3400.0,1.1
2017–18,Child stream | Child stream total,3350.0,1.1
2018–19,Child stream | Child stream total,3248.0,1.1
2019–20,Child stream | Child stream total,2481.0,1.1
2020–21,Child stream | Child stream total,3006.0,1.1
2021–22,Child stream | Child stream total,3006.0,1.1
2022–23,Child stream | Child stream total,,1.1
2023–24,Child stream | Child stream total,,1.1
2024–25,Child stream | Child stream total,,1.1
2015–16,Special Eligibility | Special Eligibility total,308.0,1.1
2016–17,Special Eligibility | Special Eligibility total,421.0,1.1
2017–18,Special Eligibility | Special Eligibility total,236.0,1.1
2018–19,Special Eligibility | Special Eligibility total,115.0,1.1
2019–20,Special Eligibility | Special Eligibility total,81.0,1.1
2020–21,Special Eligibility | Special Eligibility total,54.0,1.1
2021–22,Special Eligibility | Special Eligibility total,199.0,1.1
2022–23,Special Eligibility | Special Eligibility total,160.0,1.1
2023–24,Special Eligibility | Special Eligibility total,180.0,1.1
2024–25,Special Eligibility | Special Eligibility total,353.0,1.1
2015–16,Special Eligibility | Total10,189770.0,1.1
2016–17,Special Eligibility | Total10,183608.0,1.1
2017–18,Special Eligibility | Total10,162417.0,1.1
2018–19,Special Eligibility | Total10,160323.0,1.1
2019–20,Special Eligibility | Total10,140366.0,1.1
2020–21,Special Eligibility | Total10,160052.0,1.1
2021–22,Special Eligibility | Total10,143556.0,1.1
2022–23,Special Eligibility | Total10,195004.0,1.1
2023–24,Special Eligibility | Total10,190000.0,1.1
2024–25,Special Eligibility | Total10,185001.0,1.1
