Category,variable,value,sheet
Australian-born | Male,15–19,-0.4295076368098625,7.2
Australian-born | Female,15–19,-0.4623341928322338,7.2
Australian-born | Total,15–19,-0.8918418296420962,7.2
Overseas-born | Male,15–19,0.06636833925911259,7.2
Overseas-born | Female,15–19,0.05134606311766539,7.2
Overseas-born | Total,15–19,0.11771440237677798,7.2
Total all birth groups,15–19,-0.7741274272653182,7.2
Australian-born | Male,20–24,-0.5343332082061544,7.2
Australian-born | Female,20–24,-0.6439408729444457,7.2
Australian-born | Total,20–24,-1.1782740811506,7.2
Overseas-born | Male,20–24,0.21370370069576983,7.2
Overseas-born | Female,20–24,0.18331846107470665,7.2
Overseas-born | Total,20–24,0.39702216177047644,7.2
Total all birth groups,20–24,-0.7812519193801236,7.2
Australian-born | Male,Change in demographic composition by age group (years) | 25–34,-1.1120587963945254,7.2
Australian-born | Female,Change in demographic composition by age group (years) | 25–34,-1.012649580151885,7.2
Australian-born | Total,Change in demographic composition by age group (years) | 25–34,-2.1247083765464105,7.2
Overseas-born | Male,Change in demographic composition by age group (years) | 25–34,1.1833367041785552,7.2
Overseas-born | Female,Change in demographic composition by age group (years) | 25–34,0.8731173544663186,7.2
Overseas-born | Total,Change in demographic composition by age group (years) | 25–34,2.056454058644874,7.2
Total all birth groups,Change in demographic composition by age group (years) | 25–34,-0.06825431790153669,7.2
Australian-born | Male,Change in demographic composition by age group (years) | 35–44,-1.6344448382676073,7.2
Australian-born | Female,Change in demographic composition by age group (years) | 35–44,-1.407859346928216,7.2
Australian-born | Total,Change in demographic composition by age group (years) | 35–44,-3.0423041851958232,7.2
Overseas-born | Male,Change in demographic composition by age group (years) | 35–44,0.8787106031998816,7.2
Overseas-born | Female,Change in demographic composition by age group (years) | 35–44,0.7130734953775675,7.2
Overseas-born | Total,Change in demographic composition by age group (years) | 35–44,1.591784098577449,7.2
Total all birth groups,Change in demographic composition by age group (years) | 35–44,-1.4505200866183743,7.2
Australian-born | Male,Change in demographic composition by age group (years) | 45–54,-1.2596763440606475,7.2
Australian-born | Female,Change in demographic composition by age group (years) | 45–54,-1.0227960349739216,7.2
Australian-born | Total,Change in demographic composition by age group (years) | 45–54,-2.2824723790345693,7.2
Overseas-born | Male,Change in demographic composition by age group (years) | 45–54,0.00617787547996007,7.2
Overseas-born | Female,Change in demographic composition by age group (years) | 45–54,0.020384320816387507,7.2
Overseas-born | Total,Change in demographic composition by age group (years) | 45–54,0.026562196296347578,7.2
Total all birth groups,Change in demographic composition by age group (years) | 45–54,-2.255910182738222,7.2
Australian-born | Male,Change in demographic composition by age group (years) | 55–64,0.0511869678301498,7.2
Australian-born | Female,Change in demographic composition by age group (years) | 55–64,0.1313433316943874,7.2
Australian-born | Total,Change in demographic composition by age group (years) | 55–64,0.1825302995245372,7.2
Overseas-born | Male,Change in demographic composition by age group (years) | 55–64,-0.1124976521761129,7.2
