Year,variable,value,sheet
2019–20,India,7585,1.6
2020–21,India,4638,1.6
2021–22,India,5931,1.6
2022–23,India,12192,1.6
2023–24,India,12953,1.6
2024–25,India,13193,1.6
2019–20,Sri Lanka,883,1.6
2020–21,Sri Lanka,451,1.6
2021–22,Sri Lanka,699,1.6
2022–23,Sri Lanka,1068,1.6
2023–24,Sri Lanka,1357,1.6
2024–25,Sri Lanka,3611,1.6
2019–20,Pakistan,1223,1.6
2020–21,Pakistan,762,1.6
2021–22,Pakistan,1358,1.6
2022–23,Pakistan,1754,1.6
2023–24,Pakistan,2245,1.6
2024–25,Pakistan,2881,1.6
2019–20,Nepal,1638,1.6
2020–21,Nepal,1198,1.6
2021–22,Nepal,2472,1.6
2022–23,Nepal,4380,1.6
2023–24,Nepal,3301,1.6
2024–25,Nepal,2574,1.6
2019–20,Philippines,1842,1.6
2020–21,Philippines,1289,1.6
2021–22,Philippines,1458,1.6
2022–23,Philippines,3098,1.6
2023–24,Philippines,1830,1.6
2024–25,Philippines,1542,1.6
2019–20,People's Republic of China2,1925,1.6
2020–21,People's Republic of China2,764,1.6
2021–22,People's Republic of China2,950,1.6
2022–23,People's Republic of China2,2106,1.6
2023–24,People's Republic of China2,1380,1.6
2024–25,People's Republic of China2,1101,1.6
2019–20,Bangladesh,380,1.6
2020–21,Bangladesh,201,1.6
2021–22,Bangladesh,315,1.6
2022–23,Bangladesh,457,1.6
2023–24,Bangladesh,495,1.6
2024–25,Bangladesh,588,1.6
2019–20,Iran,340,1.6
2020–21,Iran,283,1.6
2021–22,Iran,170,1.6
2022–23,Iran,402,1.6
2023–24,Iran,495,1.6
2024–25,Iran,582,1.6
2019–20,United Kingdom,1050,1.6
2020–21,United Kingdom,489,1.6
2021–22,United Kingdom,583,1.6
2022–23,United Kingdom,1141,1.6
2023–24,United Kingdom,729,1.6
2024–25,United Kingdom,521,1.6
2019–20,Bhutan,48,1.6
2020–21,Bhutan,71,1.6
2021–22,Bhutan,186,1.6
2022–23,Bhutan,266,1.6
2023–24,Bhutan,409,1.6
2024–25,Bhutan,490,1.6
2019–20,South Africa,945,1.6
2020–21,South Africa,356,1.6
2021–22,South Africa,464,1.6
2022–23,South Africa,1262,1.6
2023–24,South Africa,1050,1.6
2024–25,South Africa,441,1.6
2019–20,Vietnam,669,1.6
2020–21,Vietnam,343,1.6
2021–22,Vietnam,481,1.6
2022–23,Vietnam,529,1.6
2023–24,Vietnam,489,1.6
2024–25,Vietnam,424,1.6
2019–20,Nigeria,266,1.6
2020–21,Nigeria,153,1.6
2021–22,Nigeria,183,1.6
2022–23,Nigeria,560,1.6
2023–24,Nigeria,362,1.6
2024–25,Nigeria,413,1.6
2019–20,Egypt,321,1.6
2020–21,Egypt,175,1.6
2021–22,Egypt,118,1.6
2022–23,Egypt,268,1.6
2023–24,Egypt,412,1.6
2024–25,Egypt,399,1.6
2019–20,Zimbabwe,114,1.6
2020–21,Zimbabwe,102,1.6
2021–22,Zimbabwe,108,1.6
2022–23,Zimbabwe,229,1.6
2023–24,Zimbabwe,269,1.6
2024–25,Zimbabwe,375,1.6
2019–20,Other3,4143,1.6
2020–21,Other3,2310,1.6
2021–22,Other3,2747,1.6
2022–23,Other3,4232,1.6
2023–24,Other3,4524,1.6
2024–25,Other3,3813,1.6
2019–20,Total,23372,1.6
2020–21,Total,13585,1.6
2021–22,Total,18223,1.6
2022–23,Total,33944,1.6
2023–24,Total,32300,1.6
2024–25,Total,32948,1.6
