Year,variable,value,sheet
2022–23,People's Republic of China1,2049,4.1
2023–24,People's Republic of China1,5062,4.1
2024–25,People's Republic of China1,8207,4.1
2022–23,India,1700,4.1
2023–24,India,3145,4.1
2024–25,India,4113,4.1
2022–23,Vietnam,531,4.1
2023–24,Vietnam,1173,4.1
2024–25,Vietnam,1654,4.1
2022–23,United Kingdom,1025,4.1
2023–24,United Kingdom,1069,4.1
2024–25,United Kingdom,1410,4.1
2022–23,United States of America,525,4.1
2023–24,United States of America,2055,4.1
2024–25,United States of America,1308,4.1
2022–23,Philippines,321,4.1
2023–24,Philippines,746,4.1
2024–25,Philippines,1258,4.1
2022–23,Thailand,266,4.1
2023–24,Thailand,778,4.1
2024–25,Thailand,1104,4.1
2022–23,Indonesia,848,4.1
2023–24,Indonesia,873,4.1
2024–25,Indonesia,982,4.1
2022–23,Fiji,114,4.1
2023–24,Fiji,329,4.1
2024–25,Fiji,908,4.1
2022–23,Malaysia,682,4.1
2023–24,Malaysia,838,4.1
2024–25,Malaysia,870,4.1
2022–23,All other countries2,7652,4.1
2023–24,All other countries2,12803,4.1
2024–25,All other countries2,16167,4.1
2022–23,Total3,15713,4.1
2023–24,Total3,28871,4.1
2024–25,Total3,37981,4.1
