Category,variable,value,sheet
Australian-born | Male,15–19,0.03548906624346026,7.8
Australian-born | Female,15–19,0.03178276930838342,7.8
Australian-born | Total,15–19,0.06727183555184368,7.8
Overseas-born | Male,15–19,0.0278194258305027,7.8
Overseas-born | Female,15–19,0.03161481742848541,7.8
Overseas-born | Total,15–19,0.05943424325898808,7.8
Total all birth groups,15–19,0.12670607881083176,7.8
Australian-born | Male,20–24,-0.17852494489544654,7.8
Australian-born | Female,20–24,-0.2692407924077081,7.8
Australian-born | Total,20–24,-0.4477657373031546,7.8
Overseas-born | Male,20–24,0.0671059931515591,7.8
Overseas-born | Female,20–24,0.08291328881983111,7.8
Overseas-born | Total,20–24,0.1500192819713902,7.8
Total all birth groups,20–24,-0.2977464553317644,7.8
Australian-born | Male,Change in demographic composition by age group (years) | 25–34,-0.28474146644747556,7.8
Australian-born | Female,Change in demographic composition by age group (years) | 25–34,-0.21991405449613768,7.8
Australian-born | Total,Change in demographic composition by age group (years) | 25–34,-0.5046555209436132,7.8
Overseas-born | Male,Change in demographic composition by age group (years) | 25–34,0.2399568267605525,7.8
Overseas-born | Female,Change in demographic composition by age group (years) | 25–34,0.045555399322297206,7.8
Overseas-born | Total,Change in demographic composition by age group (years) | 25–34,0.2855122260828497,7.8
Total all birth groups,Change in demographic composition by age group (years) | 25–34,-0.2191432948607635,7.8
Australian-born | Male,Change in demographic composition by age group (years) | 35–44,-0.05033734416804007,7.8
Australian-born | Female,Change in demographic composition by age group (years) | 35–44,-0.1580771501937493,7.8
Australian-born | Total,Change in demographic composition by age group (years) | 35–44,-0.20841449436178935,7.8
Overseas-born | Male,Change in demographic composition by age group (years) | 35–44,0.3743952095038126,7.8
Overseas-born | Female,Change in demographic composition by age group (years) | 35–44,0.40184689937762785,7.8
Overseas-born | Total,Change in demographic composition by age group (years) | 35–44,0.7762421088814404,7.8
Total all birth groups,Change in demographic composition by age group (years) | 35–44,0.567827614519651,7.8
Australian-born | Male,Change in demographic composition by age group (years) | 45–54,-0.5954192564984117,7.8
Australian-born | Female,Change in demographic composition by age group (years) | 45–54,-0.5269566436349264,7.8
Australian-born | Total,Change in demographic composition by age group (years) | 45–54,-1.122375900133338,7.8
Overseas-born | Male,Change in demographic composition by age group (years) | 45–54,0.2049259050458309,7.8
Overseas-born | Female,Change in demographic composition by age group (years) | 45–54,0.14202560447085932,7.8
Overseas-born | Total,Change in demographic composition by age group (years) | 45–54,0.3469515095166902,7.8
Total all birth groups,Change in demographic composition by age group (years) | 45–54,-0.7754243906166478,7.8
Australian-born | Male,Change in demographic composition by age group (years) | 55–64,-0.2811196041663993,7.8
Australian-born | Female,Change in demographic composition by age group (years) | 55–64,-0.20219613601295974,7.8
Australian-born | Total,Change in demographic composition by age group (years) | 55–64,-0.4833157401793591,7.8
Overseas-born | Male,Change in demographic composition by age group (years) | 55–64,0.01435091976266183,7.8
Overseas-born | Female,Change in demographic composition by age group (years) | 55–64,-0.04694171376023266,7.8
Overseas-born | Total,Change in demographic composition by age group (years) | 55–64,-0.032590793997570824,7.8
Total all birth groups,Change in demographic composition by age group (years) | 55–64,-0.5159065341769299,7.8
Australian-born | Male,Change in demographic composition by age group (years) | 65+,0.06280674755697925,7.8
Australian-born | Female,Change in demographic composition by age group (years) | 65+,0.050098324061520025,7.8
Australian-born | Total,Change in demographic composition by age group (years) | 65+,0.11290507161849928,7.8
Overseas-born | Male,Change in demographic composition by age group (years) | 65+,0.03878051006591359,7.8
Overseas-born | Female,Change in demographic composition by age group (years) | 65+,0.02655149639364172,7.8
Overseas-born | Total,Change in demographic composition by age group (years) | 65+,0.06533200645955531,7.8
Total all birth groups,Change in demographic composition by age group (years) | 65+,0.17823707807805458,7.8
