Category,variable,value,sheet
Australian-born | Male,15–19,0.06004818510678672,7.5
Australian-born | Female,15–19,0.04402528842971481,7.5
Australian-born | Total,15–19,0.10407347353650154,7.5
Overseas-born | Male,15–19,0.02110172332032521,7.5
Overseas-born | Female,15–19,0.03841058351191535,7.5
Overseas-born | Total,15–19,0.059512306832240555,7.5
Total all birth groups,15–19,0.1635857803687421,7.5
Australian-born | Male,20–24,-0.06955939643369362,7.5
Australian-born | Female,20–24,-0.09967867311423231,7.5
Australian-born | Total,20–24,-0.16923806954792592,7.5
Overseas-born | Male,20–24,0.2090119177965392,7.5
Overseas-born | Female,20–24,0.1830206347436325,7.5
Overseas-born | Total,20–24,0.39203255254017166,7.5
Total all birth groups,20–24,0.22279448299224575,7.5
Australian-born | Male,Change in demographic composition by age group (years) | 25–34,-0.20219939281194818,7.5
Australian-born | Female,Change in demographic composition by age group (years) | 25–34,-0.11642292404467972,7.5
Australian-born | Total,Change in demographic composition by age group (years) | 25–34,-0.3186223168566279,7.5
Overseas-born | Male,Change in demographic composition by age group (years) | 25–34,0.4134933058724316,7.5
Overseas-born | Female,Change in demographic composition by age group (years) | 25–34,0.20720455353828884,7.5
Overseas-born | Total,Change in demographic composition by age group (years) | 25–34,0.6206978594107204,7.5
Total all birth groups,Change in demographic composition by age group (years) | 25–34,0.3020755425540925,7.5
Australian-born | Male,Change in demographic composition by age group (years) | 35–44,-0.07406434789979514,7.5
Australian-born | Female,Change in demographic composition by age group (years) | 35–44,-0.12819509691331696,7.5
Australian-born | Total,Change in demographic composition by age group (years) | 35–44,-0.2022594448131121,7.5
Overseas-born | Male,Change in demographic composition by age group (years) | 35–44,0.23036644050718616,7.5
Overseas-born | Female,Change in demographic composition by age group (years) | 35–44,0.21765144122164432,7.5
Overseas-born | Total,Change in demographic composition by age group (years) | 35–44,0.4480178817288305,7.5
Total all birth groups,Change in demographic composition by age group (years) | 35–44,0.24575843691571841,7.5
Australian-born | Male,Change in demographic composition by age group (years) | 45–54,-0.500337188944967,7.5
Australian-born | Female,Change in demographic composition by age group (years) | 45–54,-0.36708485922933426,7.5
Australian-born | Total,Change in demographic composition by age group (years) | 45–54,-0.8674220481743014,7.5
Overseas-born | Male,Change in demographic composition by age group (years) | 45–54,0.1312734191203277,7.5
Overseas-born | Female,Change in demographic composition by age group (years) | 45–54,0.03875572320312375,7.5
Overseas-born | Total,Change in demographic composition by age group (years) | 45–54,0.17002914232345145,7.5
Total all birth groups,Change in demographic composition by age group (years) | 45–54,-0.6973929058508499,7.5
Australian-born | Male,Change in demographic composition by age group (years) | 55–64,-0.200292542037528,7.5
Australian-born | Female,Change in demographic composition by age group (years) | 55–64,-0.14160366291720963,7.5
Australian-born | Total,Change in demographic composition by age group (years) | 55–64,-0.3418962049547376,7.5
Overseas-born | Male,Change in demographic composition by age group (years) | 55–64,-0.07800280695179747,7.5
Overseas-born | Female,Change in demographic composition by age group (years) | 55–64,-0.09244589306114454,7.5
Overseas-born | Total,Change in demographic composition by age group (years) | 55–64,-0.170448700012942,7.5
Total all birth groups,Change in demographic composition by age group (years) | 55–64,-0.5123449049676796,7.5
Australian-born | Male,Change in demographic composition by age group (years) | 65+,0.031773070305187674,7.5
Australian-born | Female,Change in demographic composition by age group (years) | 65+,0.01884377421123114,7.5
Australian-born | Total,Change in demographic composition by age group (years) | 65+,0.05061684451641882,7.5
Overseas-born | Male,Change in demographic composition by age group (years) | 65+,-0.006285352231404647,7.5
Overseas-born | Female,Change in demographic composition by age group (years) | 65+,0.0021874269730509893,7.5
Overseas-born | Total,Change in demographic composition by age group (years) | 65+,-0.0040979252583536584,7.5
Total all birth groups,Change in demographic composition by age group (years) | 65+,0.04651891925806516,7.5
Australian-born | Male,Change in demographic composition by age group (years) | All age groups,-0.9546316127159575,7.5
Australian-born | Female,Change in demographic composition by age group (years) | All age groups,-0.7901161535778269,7.5
Australian-born | Total,Change in demographic composition by age group (years) | All age groups,-1.7447477662937845,7.5
Overseas-born | Male,Change in demographic composition by age group (years) | All age groups,0.9209586474336077,7.5
Overseas-born | Female,Change in demographic composition by age group (years) | All age groups,0.5947844701305113,7.5
Overseas-born | Total,Change in demographic composition by age group (years) | All age groups,1.515743117564119,7.5
Total all birth groups,Change in demographic composition by age group (years) | All age groups,-0.22900464872966553,7.5
Australian-born | Male,Change in demographic composition by age group (years) | 15–19,0.1465122639732709,7.5
Australian-born | Female,Change in demographic composition by age group (years) | 15–19,0.02146586971863903,7.5
Australian-born | Total,Change in demographic composition by age group (years) | 15–19,0.16797813369190995,7.5
Overseas-born | Male,Change in demographic composition by age group (years) | 15–19,0.0019909988509683426,7.5
Overseas-born | Female,Change in demographic composition by age group (years) | 15–19,-0.0045520206678886935,7.5
Overseas-born | Total,Change in demographic composition by age group (years) | 15–19,-0.002561021816920351,7.5
Total all birth groups,Change in demographic composition by age group (years) | 15–19,0.1654171118749896,7.5
Australian-born | Male,Change in demographic composition by age group (years) | 20–24,0.0523323856054957,7.5
Australian-born | Female,Change in demographic composition by age group (years) | 20–24,0.06264523117291633,7.5
Australian-born | Total,Change in demographic composition by age group (years) | 20–24,0.11497761677841203,7.5
Overseas-born | Male,Change in demographic composition by age group (years) | 20–24,-0.021198961888974317,7.5
Overseas-born | Female,Change in demographic composition by age group (years) | 20–24,-0.023539305111296118,7.5
