Year,variable,value,sheet
2015–16,People's Republic of China1,801761,2.4
2016–17,People's Republic of China1,888584,2.4
2017–18,People's Republic of China1,954264,2.4
2018–19,People's Republic of China1,938136,2.4
2019–20,People's Republic of China1,544817,2.4
2020–21,People's Republic of China1,38844,2.4
2021–22,People's Republic of China1,44348,2.4
2022–23,People's Republic of China1,271550,2.4
2023–24,People's Republic of China1,583183,2.4
2024–25,People's Republic of China1,622839,2.4
2015–16,United States of America,466030,2.4
2016–17,United States of America,526605,2.4
2017–18,United States of America,564874,2.4
2018–19,United States of America,621954,2.4
2019–20,United States of America,455029,2.4
2020–21,United States of America,6323,2.4
2021–22,United States of America,97628,2.4
2022–23,United States of America,456565,2.4
2023–24,United States of America,559620,2.4
2024–25,United States of America,579217,2.4
2015–16,United Kingdom,586174,2.4
2016–17,United Kingdom,622869,2.4
2017–18,United Kingdom,630761,2.4
2018–19,United Kingdom,591171,2.4
2019–20,United Kingdom,479662,2.4
2020–21,United Kingdom,9029,2.4
2021–22,United Kingdom,160841,2.4
2022–23,United Kingdom,460157,2.4
2023–24,United Kingdom,479042,2.4
2024–25,United Kingdom,530543,2.4
2015–16,Republic of Korea,218295,2.4
2016–17,Republic of Korea,254115,2.4
2017–18,Republic of Korea,279329,2.4
2018–19,Republic of Korea,276789,2.4
2019–20,Republic of Korea,189910,2.4
2020–21,Republic of Korea,7388,2.4
2021–22,Republic of Korea,24912,2.4
2022–23,Republic of Korea,172648,2.4
2023–24,Republic of Korea,354388,2.4
2024–25,Republic of Korea,360854,2.4
2015–16,Japan,342343,2.4
2016–17,Japan,385297,2.4
2017–18,Japan,397242,2.4
2018–19,Japan,410259,2.4
2019–20,Japan,317479,2.4
2020–21,Japan,7200,2.4
2021–22,Japan,16953,2.4
2022–23,Japan,157809,2.4
2023–24,Japan,325445,2.4
2024–25,Japan,357960,2.4
2015–16,India,189221,2.4
2016–17,India,220952,2.4
2017–18,India,268194,2.4
2018–19,India,280344,2.4
2019–20,India,222785,2.4
2020–21,India,29502,2.4
2021–22,India,200325,2.4
2022–23,India,357038,2.4
2023–24,India,287259,2.4
2024–25,India,302758,2.4
2015–16,Singapore,236516,2.4
2016–17,Singapore,244388,2.4
2017–18,Singapore,238333,2.4
2018–19,Singapore,236526,2.4
2019–20,Singapore,154285,2.4
2020–21,Singapore,5614,2.4
2021–22,Singapore,95829,2.4
2022–23,Singapore,219986,2.4
2023–24,Singapore,230411,2.4
2024–25,Singapore,237357,2.4
2015–16,Malaysia,327383,2.4
2016–17,Malaysia,356010,2.4
2017–18,Malaysia,332224,2.4
2018–19,Malaysia,337481,2.4
2019–20,Malaysia,213531,2.4
2020–21,Malaysia,3622,2.4
2021–22,Malaysia,39960,2.4
2022–23,Malaysia,147838,2.4
2023–24,Malaysia,172617,2.4
2024–25,Malaysia,169612,2.4
2015–16,Germany,159299,2.4
2016–17,Germany,173871,2.4
2017–18,Germany,177336,2.4
2018–19,Germany,178626,2.4
2019–20,Germany,139411,2.4
2020–21,Germany,1553,2.4
2021–22,Germany,32662,2.4
2022–23,Germany,116444,2.4
2023–24,Germany,134282,2.4
2024–25,Germany,144271,2.4
2015–16,Taiwan,112888,2.4
2016–17,Taiwan,132442,2.4
2017–18,Taiwan,154746,2.4
2018–19,Taiwan,152632,2.4
2019–20,Taiwan,100591,2.4
2020–21,Taiwan,3527,2.4
2021–22,Taiwan,7833,2.4
2022–23,Taiwan,72318,2.4
2023–24,Taiwan,131982,2.4
2024–25,Taiwan,142770,2.4
2015–16,Hong Kong (SAR of the PRC)2,134187,2.4
2016–17,Hong Kong (SAR of the PRC)2,152733,2.4
2017–18,Hong Kong (SAR of the PRC)2,174241,2.4
2018–19,Hong Kong (SAR of the PRC)2,177835,2.4
2019–20,Hong Kong (SAR of the PRC)2,124438,2.4
2020–21,Hong Kong (SAR of the PRC)2,1111,2.4
2021–22,Hong Kong (SAR of the PRC)2,9584,2.4
2022–23,Hong Kong (SAR of the PRC)2,72301,2.4
2023–24,Hong Kong (SAR of the PRC)2,131010,2.4
2024–25,Hong Kong (SAR of the PRC)2,140232,2.4
2015–16,Canada,112554,2.4
2016–17,Canada,133858,2.4
2017–18,Canada,143514,2.4
2018–19,Canada,148685,2.4
2019–20,Canada,114560,2.4
2020–21,Canada,1948,2.4
2021–22,Canada,27351,2.4
2022–23,Canada,111870,2.4
2023–24,Canada,129273,2.4
2024–25,Canada,133993,2.4
2015–16,France,135984,2.4
2016–17,France,141759,2.4
2017–18,France,147989,2.4
2018–19,France,145985,2.4
2019–20,France,114375,2.4
2020–21,France,1608,2.4
2021–22,France,35276,2.4
2022–23,France,96717,2.4
2023–24,France,110476,2.4
2024–25,France,114782,2.4
2015–16,Philippines,67624,2.4
2016–17,Philippines,86432,2.4
2017–18,Philippines,96851,2.4
2018–19,Philippines,107091,2.4
2019–20,Philippines,73726,2.4
2020–21,Philippines,9069,2.4
2021–22,Philippines,28187,2.4
2022–23,Philippines,114242,2.4
2023–24,Philippines,109983,2.4
2024–25,Philippines,113039,2.4
