Year2,variable,value,sheet
2015–16,People's Republic of China3,5561,1.17
2016–17,People's Republic of China3,5013,1.17
2017–18,People's Republic of China3,5013,1.17
2018–19,People's Republic of China3,4465,1.17
2019–20,People's Republic of China3,2439,1.17
2020–21,People's Republic of China3,3012,1.17
2021–22,People's Republic of China3,2879,1.17
2022–23,People's Republic of China3,5674,1.17
2023–24,People's Republic of China3,6482,1.17
2024–25,People's Republic of China3,6511,1.17
2015–16,India,1087,1.17
2016–17,India,971,1.17
2017–18,India,1000,1.17
2018–19,India,1061,1.17
2019–20,India,839,1.17
2020–21,India,805,1.17
2021–22,India,764,1.17
2022–23,India,1067,1.17
2023–24,India,705,1.17
2024–25,India,813,1.17
2015–16,Vietnam,882,1.17
2016–17,Vietnam,817,1.17
2017–18,Vietnam,752,1.17
2018–19,Vietnam,638,1.17
2019–20,Vietnam,582,1.17
2020–21,Vietnam,629,1.17
2021–22,Vietnam,541,1.17
2022–23,Vietnam,959,1.17
2023–24,Vietnam,772,1.17
2024–25,Vietnam,791,1.17
2015–16,Philippines,537,1.17
2016–17,Philippines,557,1.17
2017–18,Philippines,572,1.17
2018–19,Philippines,561,1.17
2019–20,Philippines,400,1.17
2020–21,Philippines,650,1.17
2021–22,Philippines,547,1.17
2022–23,Philippines,602,1.17
2023–24,Philippines,466,1.17
2024–25,Philippines,628,1.17
2015–16,United Kingdom,690,1.17
2016–17,United Kingdom,549,1.17
2017–18,United Kingdom,447,1.17
2018–19,United Kingdom,483,1.17
2019–20,United Kingdom,433,1.17
2020–21,United Kingdom,382,1.17
2021–22,United Kingdom,347,1.17
2022–23,United Kingdom,337,1.17
2023–24,United Kingdom,227,1.17
2024–25,United Kingdom,299,1.17
2015–16,Thailand,302,1.17
2016–17,Thailand,257,1.17
2017–18,Thailand,268,1.17
2018–19,Thailand,240,1.17
2019–20,Thailand,218,1.17
2020–21,Thailand,223,1.17
2021–22,Thailand,216,1.17
2022–23,Thailand,321,1.17
2023–24,Thailand,216,1.17
2024–25,Thailand,237,1.17
2015–16,Malaysia,363,1.17
2016–17,Malaysia,286,1.17
2017–18,Malaysia,254,1.17
2018–19,Malaysia,224,1.17
2019–20,Malaysia,151,1.17
2020–21,Malaysia,181,1.17
2021–22,Malaysia,167,1.17
2022–23,Malaysia,279,1.17
2023–24,Malaysia,192,1.17
2024–25,Malaysia,213,1.17
2015–16,Indonesia,173,1.17
2016–17,Indonesia,173,1.17
2017–18,Indonesia,126,1.17
2018–19,Indonesia,127,1.17
2019–20,Indonesia,130,1.17
2020–21,Indonesia,123,1.17
2021–22,Indonesia,126,1.17
2022–23,Indonesia,154,1.17
2023–24,Indonesia,104,1.17
2024–25,Indonesia,176,1.17
2015–16,South Africa,217,1.17
2016–17,South Africa,188,1.17
2017–18,South Africa,209,1.17
2018–19,South Africa,191,1.17
2019–20,South Africa,156,1.17
2020–21,South Africa,185,1.17
2021–22,South Africa,140,1.17
2022–23,South Africa,148,1.17
2023–24,South Africa,98,1.17
2024–25,South Africa,145,1.17
2015–16,Sri Lanka,217,1.17
2016–17,Sri Lanka,186,1.17
2017–18,Sri Lanka,208,1.17
2018–19,Sri Lanka,160,1.17
2019–20,Sri Lanka,159,1.17
2020–21,Sri Lanka,82,1.17
2021–22,Sri Lanka,94,1.17
2022–23,Sri Lanka,143,1.17
2023–24,Sri Lanka,134,1.17
2024–25,Sri Lanka,124,1.17
2015–16,Ukraine,39,1.17
2016–17,Ukraine,28,1.17
2017–18,Ukraine,40,1.17
2018–19,Ukraine,25,1.17
2019–20,Ukraine,15,1.17
2020–21,Ukraine,13,1.17
2021–22,Ukraine,72,1.17
2022–23,Ukraine,199,1.17
2023–24,Ukraine,257,1.17
2024–25,Ukraine,117,1.17
2015–16,Iran,96,1.17
2016–17,Iran,79,1.17
2017–18,Iran,93,1.17
2018–19,Iran,108,1.17
2019–20,Iran,71,1.17
2020–21,Iran,75,1.17
2021–22,Iran,63,1.17
2022–23,Iran,120,1.17
2023–24,Iran,77,1.17
2024–25,Iran,110,1.17
2015–16,Republic of Korea,185,1.17
2016–17,Republic of Korea,153,1.17
2017–18,Republic of Korea,113,1.17
2018–19,Republic of Korea,103,1.17
2019–20,Republic of Korea,75,1.17
2020–21,Republic of Korea,89,1.17
2021–22,Republic of Korea,67,1.17
2022–23,Republic of Korea,102,1.17
2023–24,Republic of Korea,100,1.17
2024–25,Republic of Korea,97,1.17
2015–16,Lebanon,62,1.17
2016–17,Lebanon,68,1.17
2017–18,Lebanon,65,1.17
2018–19,Lebanon,65,1.17
2019–20,Lebanon,30,1.17
2020–21,Lebanon,42,1.17
2021–22,Lebanon,51,1.17
2022–23,Lebanon,42,1.17
2023–24,Lebanon,68,1.17
2024–25,Lebanon,95,1.17
2015–16,Cambodia,112,1.17
2016–17,Cambodia,102,1.17
2017–18,Cambodia,99,1.17
2018–19,Cambodia,88,1.17
2019–20,Cambodia,103,1.17
2020–21,Cambodia,57,1.17
2021–22,Cambodia,75,1.17
2022–23,Cambodia,93,1.17
2023–24,Cambodia,76,1.17
2024–25,Cambodia,85,1.17
2015–16,Other4,2564,1.17
2016–17,Other4,2368,1.17
2017–18,Other4,2024,1.17
2018–19,Other4,2038,1.17
2019–20,Other4,1523,1.17
2020–21,Other4,1454,1.17
2021–22,Other4,1857,1.17
2022–23,Other4,1760,1.17
2023–24,Other4,2026,1.17
2024–25,Other4,1559,1.17
2015–16,Total,13087,1.17
2016–17,Total,11795,1.17
2017–18,Total,11283,1.17
2018–19,Total,10577,1.17
2019–20,Total,7324,1.17
2020–21,Total,8002,1.17
2021–22,Total,8006,1.17
2022–23,Total,12000,1.17
2023–24,Total,12000,1.17
2024–25,Total,12000,1.17
