Category,variable,value,sheet
Australian-born | Male,Change in propensity to participate by age group (years) | 25–34,-0.15981039089373342,7.4
Australian-born | Female,Change in propensity to participate by age group (years) | 25–34,0.3139058353592569,7.4
Australian-born | Total,Change in propensity to participate by age group (years) | 25–34,0.1540954444655235,7.4
Overseas-born | Male,Change in propensity to participate by age group (years) | 25–34,0.051128053271443145,7.4
Overseas-born | Female,Change in propensity to participate by age group (years) | 25–34,0.18786050360520365,7.4
Overseas-born | Total,Change in propensity to participate by age group (years) | 25–34,0.2389885568766468,7.4
Total all birth groups,Change in propensity to participate by age group (years) | 25–34,0.3930840013421703,7.4
Australian-born | Male,Change in propensity to participate by age group (years) | 35–44,-0.012141913514108206,7.4
Australian-born | Female,Change in propensity to participate by age group (years) | 35–44,0.30188903122783034,7.4
Australian-born | Total,Change in propensity to participate by age group (years) | 35–44,0.28974711771372214,7.4
Overseas-born | Male,Change in propensity to participate by age group (years) | 35–44,0.036832913093724245,7.4
Overseas-born | Female,Change in propensity to participate by age group (years) | 35–44,0.3041986055349963,7.4
Overseas-born | Total,Change in propensity to participate by age group (years) | 35–44,0.3410315186287205,7.4
Total all birth groups,Change in propensity to participate by age group (years) | 35–44,0.6307786363424426,7.4
Australian-born | Male,Change in propensity to participate by age group (years) | 45–54,-0.014537907243609836,7.4
Australian-born | Female,Change in propensity to participate by age group (years) | 45–54,0.11792358958854877,7.4
Australian-born | Total,Change in propensity to participate by age group (years) | 45–54,0.10338568234493895,7.4
Overseas-born | Male,Change in propensity to participate by age group (years) | 45–54,0.04835730329693626,7.4
Overseas-born | Female,Change in propensity to participate by age group (years) | 45–54,0.10764990112612209,7.4
Overseas-born | Total,Change in propensity to participate by age group (years) | 45–54,0.15600720442305835,7.4
Total all birth groups,Change in propensity to participate by age group (years) | 45–54,0.2593928867679973,7.4
Australian-born | Male,Change in propensity to participate by age group (years) | 55–64,0.07461827213732883,7.4
Australian-born | Female,Change in propensity to participate by age group (years) | 55–64,0.3362028177598757,7.4
Australian-born | Total,Change in propensity to participate by age group (years) | 55–64,0.41082108989720456,7.4
Overseas-born | Male,Change in propensity to participate by age group (years) | 55–64,0.0801264823250608,7.4
Overseas-born | Female,Change in propensity to participate by age group (years) | 55–64,0.2099275828669726,7.4
Overseas-born | Total,Change in propensity to participate by age group (years) | 55–64,0.2900540651920334,7.4
Total all birth groups,Change in propensity to participate by age group (years) | 55–64,0.700875155089238,7.4
Australian-born | Male,Change in propensity to participate by age group (years) | 65+,0.10727036618790671,7.4
Australian-born | Female,Change in propensity to participate by age group (years) | 65+,0.16280272775515064,7.4
Australian-born | Total,Change in propensity to participate by age group (years) | 65+,0.27007309394305734,7.4
Overseas-born | Male,Change in propensity to participate by age group (years) | 65+,0.0470291960144566,7.4
Overseas-born | Female,Change in propensity to participate by age group (years) | 65+,0.05772955129985997,7.4
Overseas-born | Total,Change in propensity to participate by age group (years) | 65+,0.10475874731431656,7.4
Total all birth groups,Change in propensity to participate by age group (years) | 65+,0.3748318412573739,7.4
Australian-born | Male,Change in propensity to participate by age group (years) | All age groups,-0.0024112553323790004,7.4
Australian-born | Female,Change in propensity to participate by age group (years) | All age groups,1.3919203562062188,7.4
Australian-born | Total,Change in propensity to participate by age group (years) | All age groups,1.3895091008738398,7.4
Overseas-born | Male,Change in propensity to participate by age group (years) | All age groups,0.42730625744428236,7.4
Overseas-born | Female,Change in propensity to participate by age group (years) | All age groups,0.9844352455810582,7.4
Overseas-born | Total,Change in propensity to participate by age group (years) | All age groups,1.4117415030253406,7.4
Total all birth groups,Change in propensity to participate by age group (years) | All age groups,2.8012506038991805,7.4
Australian-born | Male,Total change | nan,-1.7023076249608033,7.4
Australian-born | Female,Total change | nan,-0.47159939628768166,7.4
Australian-born | Total,Total change | nan,-2.173907021248485,7.4
Overseas-born | Male,Total change | nan,0.7608211785923185,7.4
Overseas-born | Female,Total change | nan,1.585212076725722,7.4
Overseas-born | Total,Total change | nan,2.3460332553180407,7.4
Total all birth groups,Total change | nan,0.17212623406955574,7.4
