Year,variable,value,sheet
2022–23,Visitor,3651,4.3
2023–24,Visitor,3311,4.3
2024–25,Visitor,2457,4.3
2022–23,Student,2109,4.3
2023–24,Student,1965,4.3
2024–25,Student,1439,4.3
2022–23,Temporary Resident,705,4.3
2023–24,Temporary Resident,865,4.3
2024–25,Temporary Resident,757,4.3
2022–23,Working Holiday,318,4.3
2023–24,Working Holiday,548,4.3
2024–25,Working Holiday,356,4.3
2022–23,All other categories,1826,4.3
2023–24,All other categories,1622,4.3
2024–25,All other categories,1637,4.3
2022–23,Total1,8609,4.3
2023–24,Total1,8311,4.3
2024–25,Total1,6646,4.3
