Year2,variable,value,sheet
2015–16,Registered Nurses,635.0,1.5
2016–17,Registered Nurses,481.0,1.5
2017–18,Registered Nurses,345.0,1.5
2018–19,Registered Nurses,405.0,1.5
2019–20,Registered Nurses,370.0,1.5
2020–21,Registered Nurses,557.0,1.5
2021–22,Registered Nurses,642.0,1.5
2022–23,Registered Nurses,1510.0,1.5
2023–24,Registered Nurses,2360.0,1.5
2024–25,Registered Nurses,2394.0,1.5
2015–16,Chefs,637.0,1.5
2016–17,Chefs,671.0,1.5
2017–18,Chefs,367.0,1.5
2018–19,Chefs,702.0,1.5
2019–20,Chefs,489.0,1.5
2020–21,Chefs,357.0,1.5
2021–22,Chefs,1074.0,1.5
2022–23,Chefs,1103.0,1.5
2023–24,Chefs,1378.0,1.5
2024–25,Chefs,1894.0,1.5
2015–16,Software and Applications Programmers,397.0,1.5
2016–17,Software and Applications Programmers,412.0,1.5
2017–18,Software and Applications Programmers,476.0,1.5
2018–19,Software and Applications Programmers,782.0,1.5
2019–20,Software and Applications Programmers,768.0,1.5
2020–21,Software and Applications Programmers,1298.0,1.5
2021–22,Software and Applications Programmers,1492.0,1.5
2022–23,Software and Applications Programmers,1548.0,1.5
2023–24,Software and Applications Programmers,1191.0,1.5
2024–25,Software and Applications Programmers,1633.0,1.5
2015–16,Accountants,557.0,1.5
2016–17,Accountants,577.0,1.5
2017–18,Accountants,455.0,1.5
2018–19,Accountants,596.0,1.5
2019–20,Accountants,470.0,1.5
2020–21,Accountants,520.0,1.5
2021–22,Accountants,922.0,1.5
2022–23,Accountants,780.0,1.5
2023–24,Accountants,628.0,1.5
2024–25,Accountants,754.0,1.5
2015–16,Motor Mechanics,813.0,1.5
2016–17,Motor Mechanics,739.0,1.5
2017–18,Motor Mechanics,413.0,1.5
2018–19,Motor Mechanics,510.0,1.5
2019–20,Motor Mechanics,332.0,1.5
2020–21,Motor Mechanics,322.0,1.5
2021–22,Motor Mechanics,385.0,1.5
2022–23,Motor Mechanics,659.0,1.5
2023–24,Motor Mechanics,503.0,1.5
2024–25,Motor Mechanics,643.0,1.5
2015–16,ICT Business and Systems Analysts3,237.0,1.5
2016–17,ICT Business and Systems Analysts3,285.0,1.5
2017–18,ICT Business and Systems Analysts3,301.0,1.5
2018–19,ICT Business and Systems Analysts3,417.0,1.5
2019–20,ICT Business and Systems Analysts3,333.0,1.5
2020–21,ICT Business and Systems Analysts3,430.0,1.5
2021–22,ICT Business and Systems Analysts3,585.0,1.5
2022–23,ICT Business and Systems Analysts3,677.0,1.5
2023–24,ICT Business and Systems Analysts3,390.0,1.5
2024–25,ICT Business and Systems Analysts3,528.0,1.5
2015–16,Civil Engineering Professionals,201.0,1.5
2016–17,Civil Engineering Professionals,128.0,1.5
2017–18,Civil Engineering Professionals,87.0,1.5
2018–19,Civil Engineering Professionals,127.0,1.5
2019–20,Civil Engineering Professionals,121.0,1.5
2020–21,Civil Engineering Professionals,328.0,1.5
2021–22,Civil Engineering Professionals,282.0,1.5
2022–23,Civil Engineering Professionals,317.0,1.5
2023–24,Civil Engineering Professionals,274.0,1.5
2024–25,Civil Engineering Professionals,421.0,1.5
2015–16,University Lecturers and Tutors,532.0,1.5
2016–17,University Lecturers and Tutors,534.0,1.5
2017–18,University Lecturers and Tutors,638.0,1.5
2018–19,University Lecturers and Tutors,924.0,1.5
2019–20,University Lecturers and Tutors,660.0,1.5
2020–21,University Lecturers and Tutors,415.0,1.5
2021–22,University Lecturers and Tutors,320.0,1.5
2022–23,University Lecturers and Tutors,396.0,1.5
2023–24,University Lecturers and Tutors,378.0,1.5
2024–25,University Lecturers and Tutors,410.0,1.5
2015–16,Police,25.0,1.5
2016–17,Police,9.0,1.5
2017–18,Police,11.0,1.5
2018–19,Police,5.0,1.5
2019–20,Police,0.0,1.5
2020–21,Police,,1.5
2021–22,Police,0.0,1.5
2022–23,Police,17.0,1.5
2023–24,Police,284.0,1.5
2024–25,Police,379.0,1.5
2015–16,"Industrial, Mechanical and Production Engineers",141.0,1.5
2016–17,"Industrial, Mechanical and Production Engineers",122.0,1.5
2017–18,"Industrial, Mechanical and Production Engineers",82.0,1.5
2018–19,"Industrial, Mechanical and Production Engineers",94.0,1.5
2019–20,"Industrial, Mechanical and Production Engineers",103.0,1.5
2020–21,"Industrial, Mechanical and Production Engineers",230.0,1.5
2021–22,"Industrial, Mechanical and Production Engineers",229.0,1.5
2022–23,"Industrial, Mechanical and Production Engineers",258.0,1.5
2023–24,"Industrial, Mechanical and Production Engineers",267.0,1.5
2024–25,"Industrial, Mechanical and Production Engineers",378.0,1.5
2015–16,Other4,17916.0,1.5
2016–17,Other4,18226.0,1.5
2017–18,Other4,12861.0,1.5
2018–19,Other4,15466.0,1.5
2019–20,Other4,9617.0,1.5
2020–21,Other4,6086.0,1.5
2021–22,Other4,5793.0,1.5
2022–23,Other4,7862.0,1.5
2023–24,Other4,6929.0,1.5
2024–25,Other4,8350.0,1.5
2015–16,Total,22091.0,1.5
2016–17,Total,22184.0,1.5
2017–18,Total,16036.0,1.5
2018–19,Total,20028.0,1.5
2019–20,Total,13263.0,1.5
2020–21,Total,10543.0,1.5
2021–22,Total,11724.0,1.5
2022–23,Total,15127.0,1.5
2023–24,Total,14582.0,1.5
2024–25,Total,17784.0,1.5
