Year2,variable,value,sheet
2015–16,People's Republic of China3,5168.0,1.14
2016–17,People's Republic of China3,5131.0,1.14
2017–18,People's Republic of China3,5087.0,1.14
2018–19,People's Republic of China3,5209.0,1.14
2019–20,People's Republic of China3,2872.0,1.14
2020–21,People's Republic of China3,5157.0,1.14
2021–22,People's Republic of China3,4070.0,1.14
2022–23,People's Republic of China3,2519.0,1.14
2023–24,People's Republic of China3,1049.0,1.14
2024–25,People's Republic of China3,573.0,1.14
2015–16,Vietnam,253.0,1.14
2016–17,Vietnam,300.0,1.14
2017–18,Vietnam,426.0,1.14
2018–19,Vietnam,478.0,1.14
2019–20,Vietnam,368.0,1.14
2020–21,Vietnam,1144.0,1.14
2021–22,Vietnam,1339.0,1.14
2022–23,Vietnam,463.0,1.14
2023–24,Vietnam,191.0,1.14
2024–25,Vietnam,184.0,1.14
2015–16,Hong Kong (SAR of the PRC)4,192.0,1.14
2016–17,Hong Kong (SAR of the PRC)4,217.0,1.14
2017–18,Hong Kong (SAR of the PRC)4,362.0,1.14
2018–19,Hong Kong (SAR of the PRC)4,303.0,1.14
2019–20,Hong Kong (SAR of the PRC)4,163.0,1.14
2020–21,Hong Kong (SAR of the PRC)4,1828.0,1.14
2021–22,Hong Kong (SAR of the PRC)4,1340.0,1.14
2022–23,Hong Kong (SAR of the PRC)4,691.0,1.14
2023–24,Hong Kong (SAR of the PRC)4,178.0,1.14
2024–25,Hong Kong (SAR of the PRC)4,44.0,1.14
2015–16,Bangladesh,84.0,1.14
2016–17,Bangladesh,93.0,1.14
2017–18,Bangladesh,45.0,1.14
2018–19,Bangladesh,73.0,1.14
2019–20,Bangladesh,67.0,1.14
2020–21,Bangladesh,99.0,1.14
2021–22,Bangladesh,181.0,1.14
2022–23,Bangladesh,151.0,1.14
2023–24,Bangladesh,18.0,1.14
2024–25,Bangladesh,30.0,1.14
2015–16,Iran,339.0,1.14
2016–17,Iran,309.0,1.14
2017–18,Iran,321.0,1.14
2018–19,Iran,249.0,1.14
2019–20,Iran,223.0,1.14
2020–21,Iran,972.0,1.14
2021–22,Iran,1610.0,1.14
2022–23,Iran,446.0,1.14
2023–24,Iran,112.0,1.14
2024–25,Iran,30.0,1.14
2015–16,Pakistan,30.0,1.14
2016–17,Pakistan,40.0,1.14
2017–18,Pakistan,64.0,1.14
2018–19,Pakistan,43.0,1.14
2019–20,Pakistan,46.0,1.14
2020–21,Pakistan,79.0,1.14
2021–22,Pakistan,103.0,1.14
2022–23,Pakistan,72.0,1.14
2023–24,Pakistan,75.0,1.14
2024–25,Pakistan,18.0,1.14
2015–16,United States of America,32.0,1.14
2016–17,United States of America,56.0,1.14
2017–18,United States of America,40.0,1.14
2018–19,United States of America,79.0,1.14
2019–20,United States of America,36.0,1.14
2020–21,United States of America,99.0,1.14
2021–22,United States of America,105.0,1.14
2022–23,United States of America,47.0,1.14
2023–24,United States of America,28.0,1.14
2024–25,United States of America,14.0,1.14
2015–16,Malaysia,442.0,1.14
2016–17,Malaysia,468.0,1.14
2017–18,Malaysia,344.0,1.14
2018–19,Malaysia,211.0,1.14
2019–20,Malaysia,135.0,1.14
2020–21,Malaysia,264.0,1.14
2021–22,Malaysia,240.0,1.14
2022–23,Malaysia,71.0,1.14
2023–24,Malaysia,17.0,1.14
2024–25,Malaysia,14.0,1.14
2015–16,Sri Lanka,27.0,1.14
2016–17,Sri Lanka,45.0,1.14
2017–18,Sri Lanka,12.0,1.14
2018–19,Sri Lanka,17.0,1.14
2019–20,Sri Lanka,26.0,1.14
2020–21,Sri Lanka,114.0,1.14
2021–22,Sri Lanka,87.0,1.14
2022–23,Sri Lanka,43.0,1.14
2023–24,Sri Lanka,13.0,1.14
2024–25,Sri Lanka,11.0,1.14
2015–16,Papua New Guinea,6.0,1.14
2016–17,Papua New Guinea,8.0,1.14
2017–18,Papua New Guinea,,1.14
2018–19,Papua New Guinea,0.0,1.14
2019–20,Papua New Guinea,0.0,1.14
2020–21,Papua New Guinea,12.0,1.14
2021–22,Papua New Guinea,16.0,1.14
2022–23,Papua New Guinea,6.0,1.14
2023–24,Papua New Guinea,,1.14
2024–25,Papua New Guinea,10.0,1.14
2015–16,Taiwan,30.0,1.14
2016–17,Taiwan,51.0,1.14
2017–18,Taiwan,79.0,1.14
2018–19,Taiwan,57.0,1.14
2019–20,Taiwan,46.0,1.14
2020–21,Taiwan,51.0,1.14
2021–22,Taiwan,37.0,1.14
2022–23,Taiwan,52.0,1.14
2023–24,Taiwan,28.0,1.14
2024–25,Taiwan,8.0,1.14
2015–16,United Kingdom,73.0,1.14
2016–17,United Kingdom,50.0,1.14
2017–18,United Kingdom,48.0,1.14
2018–19,United Kingdom,30.0,1.14
2019–20,United Kingdom,37.0,1.14
2020–21,United Kingdom,125.0,1.14
2021–22,United Kingdom,150.0,1.14
2022–23,United Kingdom,33.0,1.14
2023–24,United Kingdom,13.0,1.14
2024–25,United Kingdom,8.0,1.14
2015–16,India,61.0,1.14
2016–17,India,49.0,1.14
2017–18,India,80.0,1.14
2018–19,India,77.0,1.14
2019–20,India,89.0,1.14
2020–21,India,168.0,1.14
2021–22,India,316.0,1.14
2022–23,India,112.0,1.14
2023–24,India,42.0,1.14
2024–25,India,8.0,1.14
2015–16,Singapore,60.0,1.14
2016–17,Singapore,43.0,1.14
2017–18,Singapore,51.0,1.14
2018–19,Singapore,37.0,1.14
2019–20,Singapore,29.0,1.14
2020–21,Singapore,89.0,1.14
2021–22,Singapore,48.0,1.14
2022–23,Singapore,18.0,1.14
2023–24,Singapore,15.0,1.14
2024–25,Singapore,7.0,1.14
2015–16,Germany,0.0,1.14
2016–17,Germany,0.0,1.14
2017–18,Germany,7.0,1.14
2018–19,Germany,7.0,1.14
2019–20,Germany,11.0,1.14
2020–21,Germany,24.0,1.14
2021–22,Germany,5.0,1.14
2022–23,Germany,,1.14
2023–24,Germany,0.0,1.14
2024–25,Germany,6.0,1.14
2015–16,Other5,463.0,1.14
2016–17,Other5,400.0,1.14
2017–18,Other5,294.0,1.14
2018–19,Other5,391.0,1.14
2019–20,Other5,272.0,1.14
2020–21,Other5,973.0,1.14
2021–22,Other5,849.0,1.14
2022–23,Other5,276.0,1.14
2023–24,Other5,121.0,1.14
2024–25,Other5,35.0,1.14
2015–16,Total,7260.0,1.14
2016–17,Total,7260.0,1.14
2017–18,Total,7260.0,1.14
2018–19,Total,7261.0,1.14
2019–20,Total,4420.0,1.14
2020–21,Total,11198.0,1.14
2021–22,Total,10496.0,1.14
2022–23,Total,5000.0,1.14
2023–24,Total,1900.0,1.14
2024–25,Total,1000.0,1.14
