Year,variable,value,sheet
2015–16,Primary applicant,8086,2.2
2016–17,Primary applicant,7599,2.2
2017–18,Primary applicant,4692,2.2
2018–19,Primary applicant,2839,2.2
2019–20,Primary applicant,1840,2.2
2020–21,Primary applicant,1521,2.2
2021–22,Primary applicant,1841,2.2
2022–23,Primary applicant,2968,2.2
2023–24,Primary applicant,3376,2.2
2024–25,Primary applicant,3405,2.2
2015–16,Secondary applicant,4687,2.2
2016–17,Secondary applicant,4835,2.2
2017–18,Secondary applicant,3390,2.2
2018–19,Secondary applicant,2960,2.2
2019–20,Secondary applicant,1946,2.2
2020–21,Secondary applicant,1866,2.2
2021–22,Secondary applicant,2190,2.2
2022–23,Secondary applicant,3255,2.2
2023–24,Secondary applicant,3085,2.2
2024–25,Secondary applicant,3228,2.2
2015–16,Total,12773,2.2
2016–17,Total,12434,2.2
2017–18,Total,8082,2.2
2018–19,Total,5799,2.2
2019–20,Total,3786,2.2
2020–21,Total,3387,2.2
2021–22,Total,4031,2.2
2022–23,Total,6223,2.2
2023–24,Total,6461,2.2
2024–25,Total,6633,2.2
