Category,variable,value,sheet
Australian-born | Male,15–19,-0.02351272045890666,7.7
Australian-born | Female,15–19,-0.026342521020010647,7.7
Australian-born | Total,15–19,-0.0498552414789173,7.7
Overseas-born | Male,15–19,-0.02798463891521481,7.7
Overseas-born | Female,15–19,-0.030368847781285072,7.7
Overseas-born | Total,15–19,-0.05835348669649988,7.7
Total all birth groups,15–19,-0.10820872817541718,7.7
Australian-born | Male,20–24,-0.09688966755976901,7.7
Australian-born | Female,20–24,-0.07126861651236774,7.7
Australian-born | Total,20–24,-0.16815828407213673,7.7
Overseas-born | Male,20–24,-0.11585469725862937,7.7
Overseas-born | Female,20–24,-0.13694986010807592,7.7
Overseas-born | Total,20–24,-0.25280455736670526,7.7
Total all birth groups,20–24,-0.420962841438842,7.7
Australian-born | Male,Change in demographic composition by age group (years) | 25–34,-0.12094263288093872,7.7
Australian-born | Female,Change in demographic composition by age group (years) | 25–34,-0.016653475934285056,7.7
Australian-born | Total,Change in demographic composition by age group (years) | 25–34,-0.13759610881522377,7.7
Overseas-born | Male,Change in demographic composition by age group (years) | 25–34,-0.053009020128852814,7.7
Overseas-born | Female,Change in demographic composition by age group (years) | 25–34,-0.15253878316632205,7.7
Overseas-born | Total,Change in demographic composition by age group (years) | 25–34,-0.20554780329517486,7.7
Total all birth groups,Change in demographic composition by age group (years) | 25–34,-0.34314391211039863,7.7
Australian-born | Male,Change in demographic composition by age group (years) | 35–44,-0.022217273370740098,7.7
Australian-born | Female,Change in demographic composition by age group (years) | 35–44,-0.07235812017438276,7.7
Australian-born | Total,Change in demographic composition by age group (years) | 35–44,-0.09457539354512286,7.7
Overseas-born | Male,Change in demographic composition by age group (years) | 35–44,0.14721110847049426,7.7
Overseas-born | Female,Change in demographic composition by age group (years) | 35–44,0.20599502585544435,7.7
Overseas-born | Total,Change in demographic composition by age group (years) | 35–44,0.3532061343259386,7.7
Total all birth groups,Change in demographic composition by age group (years) | 35–44,0.25863074078081577,7.7
Australian-born | Male,Change in demographic composition by age group (years) | 45–54,-0.07142837235649724,7.7
Australian-born | Female,Change in demographic composition by age group (years) | 45–54,-0.11536308437396241,7.7
Australian-born | Total,Change in demographic composition by age group (years) | 45–54,-0.18679145673045966,7.7
Overseas-born | Male,Change in demographic composition by age group (years) | 45–54,0.034815053423623316,7.7
Overseas-born | Female,Change in demographic composition by age group (years) | 45–54,0.035960662759925,7.7
Overseas-born | Total,Change in demographic composition by age group (years) | 45–54,0.07077571618354832,7.7
Total all birth groups,Change in demographic composition by age group (years) | 45–54,-0.11601574054691134,7.7
Australian-born | Male,Change in demographic composition by age group (years) | 55–64,0.028339209905949198,7.7
Australian-born | Female,Change in demographic composition by age group (years) | 55–64,-0.01064292841321046,7.7
Australian-born | Total,Change in demographic composition by age group (years) | 55–64,0.01769628149273874,7.7
Overseas-born | Male,Change in demographic composition by age group (years) | 55–64,0.009848440463150743,7.7
Overseas-born | Female,Change in demographic composition by age group (years) | 55–64,0.0500657114687212,7.7
Overseas-born | Total,Change in demographic composition by age group (years) | 55–64,0.05991415193187194,7.7
Total all birth groups,Change in demographic composition by age group (years) | 55–64,0.07761043342461069,7.7
Australian-born | Male,Change in demographic composition by age group (years) | 65+,0.04886052841335334,7.7
Australian-born | Female,Change in demographic composition by age group (years) | 65+,0.015378725717840025,7.7
Australian-born | Total,Change in demographic composition by age group (years) | 65+,0.06423925413119336,7.7
Overseas-born | Male,Change in demographic composition by age group (years) | 65+,0.03278147301592941,7.7
Overseas-born | Female,Change in demographic composition by age group (years) | 65+,0.030923575054234615,7.7
Overseas-born | Total,Change in demographic composition by age group (years) | 65+,0.06370504807016403,7.7
Total all birth groups,Change in demographic composition by age group (years) | 65+,0.12794430220135738,7.7
Australian-born | Male,Change in demographic composition by age group (years) | All age groups,-0.25779092830754924,7.7
Australian-born | Female,Change in demographic composition by age group (years) | All age groups,-0.29725002071037904,7.7
