Year,variable,value,sheet
2015–16,Temporary Resident (Skilled Employment),8.302702702702703,2.1
2016–17,Temporary Resident (Skilled Employment),7.666530445443399,2.1
2017–18,Temporary Resident (Skilled Employment),6.90368798089679,2.1
2018–19,Temporary Resident (Skilled Employment),7.139200446781775,2.1
2019–20,Temporary Resident (Skilled Employment),7.226700608117664,2.1
2020–21,Temporary Resident (Skilled Employment),6.988847583643122,2.1
2021–22,Temporary Resident (Skilled Employment),9.16110183639399,2.1
2022–23,Temporary Resident (Skilled Employment),6.956257594167679,2.1
2023–24,Temporary Resident (Skilled Employment),4.0460675859978785,2.1
2024–25,Temporary Resident (Skilled Employment),3.831041257367387,2.1
2015–16,Temporary Graduate,0.41945945945945945,2.1
2016–17,Temporary Graduate,0.2697180220678382,2.1
2017–18,Temporary Graduate,0.23348368267444947,2.1
2018–19,Temporary Graduate,0.3816260995020245,2.1
2019–20,Temporary Graduate,0.5232640362042144,2.1
2020–21,Temporary Graduate,0.7806691449814126,2.1
2021–22,Temporary Graduate,0.8695047301057317,2.1
2022–23,Temporary Graduate,0.6075334143377886,2.1
2023–24,Temporary Graduate,0.3674799212001818,2.1
2024–25,Temporary Graduate,0.8431565160445317,2.1
2015–16,Visitors,30.547027027027028,2.1
2016–17,Visitors,31.487535758071104,2.1
2017–18,Visitors,32.549747943751655,2.1
2018–19,Visitors,31.339879927397963,2.1
2019–20,Visitors,32.09588459906661,2.1
2020–21,Visitors,38.71747211895911,2.1
2021–22,Visitors,24.200055648302726,2.1
2022–23,Visitors,21.24679357364655,2.1
2023–24,Visitors,22.594332474617364,2.1
2024–25,Visitors,22.838899803536343,2.1
2015–16,Working Holiday Maker,2.4172972972972975,2.1
2016–17,Working Holiday Maker,2.223130363710666,2.1
2017–18,Working Holiday Maker,1.8997081453966569,2.1
2018–19,Working Holiday Maker,2.136175361846698,2.1
2019–20,Working Holiday Maker,2.5031820110309715,2.1
2020–21,Working Holiday Maker,1.4312267657992566,2.1
2021–22,Working Holiday Maker,1.6416249304396218,2.1
2022–23,Working Holiday Maker,1.7247198595922775,2.1
2023–24,Working Holiday Maker,2.0078799818154263,2.1
2024–25,Working Holiday Maker,1.9523575638506878,2.1
2015–16,Student,3.6627027027027026,2.1
2016–17,Student,2.8974254188802613,2.1
2017–18,Student,2.3772884054125765,2.1
2018–19,Student,1.838320845162191,2.1
2019–20,Student,1.7889973129684629,2.1
2020–21,Student,1.6728624535315983,2.1
2021–22,Student,2.1215915414579856,2.1
2022–23,Student,2.1668691778047795,2.1
2023–24,Student,1.7540536444915895,2.1
2024–25,Student,1.997380484610347,2.1
2015–16,All other visas,5.1718918918918915,2.1
2016–17,All other visas,5.888843481814467,2.1
2017–18,All other visas,6.638365614221279,2.1
2018–19,All other visas,9.452226927909898,2.1
2019–20,All other visas,10.062225993494556,2.1
2020–21,All other visas,5.87360594795539,2.1
2021–22,All other visas,5.043127434613244,2.1
2022–23,All other visas,5.261914405292291,2.1
2023–24,All other visas,5.5690256099409,2.1
2024–25,All other visas,6.622462344466273,2.1
2015–16,No previous visa held or known,49.47891891891892,2.1
2016–17,No previous visa held or known,49.56681651001226,2.1
2017–18,No previous visa held or known,49.39771822764659,2.1
2018–19,No previous visa held or known,47.71257039139945,2.1
2019–20,No previous visa held or known,45.79974543911752,2.1
2020–21,No previous visa held or known,44.53531598513011,2.1
2021–22,No previous visa held or known,56.962993878686696,2.1
2022–23,No previous visa held or known,62.03591197515863,2.1
2023–24,No previous visa held or known,63.66116078193665,2.1
2024–25,No previous visa held or known,61.914702030124424,2.1
2015–16,Total,100.0,2.1
2016–17,Total,100.0,2.1
2017–18,Total,100.0,2.1
2018–19,Total,100.0,2.1
2019–20,Total,100.0,2.1
2020–21,Total,100.0,2.1
2021–22,Total,100.0,2.1
2022–23,Total,100.0,2.1
2023–24,Total,100.0,2.1
2024–25,Total,100.0,2.1
2015–16,Temporary Resident (Skilled Employment)_1,31.728783116299958,2.1
2016–17,Temporary Resident (Skilled Employment)_1,29.164016356201728,2.1
2017–18,Temporary Resident (Skilled Employment)_1,28.786616242548558,2.1
2018–19,Temporary Resident (Skilled Employment)_1,32.87220026350462,2.1
2019–20,Temporary Resident (Skilled Employment)_1,46.0552130044843,2.1
2020–21,Temporary Resident (Skilled Employment)_1,57.50928113398582,2.1
2021–22,Temporary Resident (Skilled Employment)_1,53.33031776546421,2.1
2022–23,Temporary Resident (Skilled Employment)_1,38.32643217909633,2.1
2023–24,Temporary Resident (Skilled Employment)_1,24.917331258510018,2.1
2024–25,Temporary Resident (Skilled Employment)_1,24.03290300468411,2.1
2015–16,Temporary Graduate_1,2.6268522676246073,2.1
2016–17,Temporary Graduate_1,3.825533848250795,2.1
2017–18,Temporary Graduate_1,5.416319466700852,2.1
2018–19,Temporary Graduate_1,6.440660788486875,2.1
2019–20,Temporary Graduate_1,7.371076233183857,2.1
2020–21,Temporary Graduate_1,10.749240634492068,2.1
2021–22,Temporary Graduate_1,15.80346036412982,2.1
2022–23,Temporary Graduate_1,12.008008372389316,2.1
2023–24,Temporary Graduate_1,5.738183232834079,2.1
2024–25,Temporary Graduate_1,21.670284473894665,2.1
2015–16,Visitors_1,9.497081275258195,2.1
2016–17,Visitors_1,10.07723761926397,2.1
2017–18,Visitors_1,10.665982949810909,2.1
2018–19,Visitors_1,9.957433870477349,2.1
2019–20,Visitors_1,7.630325112107624,2.1
2020–21,Visitors_1,3.228709641129486,2.1
2021–22,Visitors_1,1.6510234083455841,2.1
2022–23,Visitors_1,5.619511307275788,2.1
2023–24,Visitors_1,4.785061272126045,2.1
2024–25,Visitors_1,3.2400319890323317,2.1
2015–16,Working Holiday Maker_1,21.908396946564885,2.1
2016–17,Working Holiday Maker_1,22.639709223080416,2.1
2017–18,Working Holiday Maker_1,22.703672841484522,2.1
2018–19,Working Holiday Maker_1,23.892773892773892,2.1
2019–20,Working Holiday Maker_1,19.28951793721973,2.1
2020–21,Working Holiday Maker_1,11.446731915851052,2.1
2021–22,Working Holiday Maker_1,7.373063440009046,2.1
2022–23,Working Holiday Maker_1,9.123174227601584,2.1
2023–24,Working Holiday Maker_1,18.73176424820074,2.1
2024–25,Working Holiday Maker_1,13.300582657374616,2.1
2015–16,Student_1,28.01975752132914,2.1
2016–17,Student_1,26.592457973648344,2.1
2017–18,Student_1,22.63957438625729,2.1
2018–19,Student_1,15.825478868957129,2.1
2019–20,Student_1,11.140695067264573,2.1
2020–21,Student_1,10.34424569692879,2.1
2021–22,Student_1,14.214633043084927,2.1
2022–23,Student_1,14.255812895299632,2.1
2023–24,Student_1,9.986383971989886,2.1
2024–25,Student_1,10.416999885753455,2.1
2015–16,All other visas_1,6.219128872923215,2.1
2016–17,All other visas_1,7.701044979554748,2.1
2017–18,All other visas_1,9.614768284084354,2.1
2018–19,All other visas_1,10.955710955710956,2.1
2019–20,All other visas_1,8.492152466367713,2.1
2020–21,All other visas_1,6.688041399482507,2.1
2021–22,All other visas_1,7.226054506389234,2.1
2022–23,All other visas_1,20.64430996041316,2.1
2023–24,All other visas_1,35.82571484147053,2.1
2024–25,All other visas_1,27.300354164286528,2.1
2015–16,No previous visa held or known_1,0.0,2.1
2016–17,No previous visa held or known_1,0.0,2.1
2017–18,No previous visa held or known_1,0.17306582911351837,2.1
2018–19,No previous visa held or known_1,0.055741360089186176,2.1
2019–20,No previous visa held or known_1,0.02102017937219731,2.1
2020–21,No previous visa held or known_1,0.03374957813027337,2.1
2021–22,No previous visa held or known_1,0.40144747257717966,2.1
2022–23,No previous visa held or known_1,0.022751057924193473,2.1
2023–24,No previous visa held or known_1,0.015561174868702586,2.1
2024–25,No previous visa held or known_1,0.03884382497429453,2.1
2015–16,Total_1,100.0,2.1
2016–17,Total_1,100.0,2.1
2017–18,Total_1,100.0,2.1
2018–19,Total_1,100.0,2.1
2019–20,Total_1,100.0,2.1
2020–21,Total_1,100.0,2.1
2021–22,Total_1,100.0,2.1
2022–23,Total_1,100.00000000000001,2.1
2023–24,Total_1,100.0,2.1
2024–25,Total_1,100.0,2.1
2015–16,Temporary Resident (Skilled Employment)_2,19.795131622425377,2.1
2016–17,Temporary Resident (Skilled Employment)_2,17.846385542168676,2.1
2017–18,Temporary Resident (Skilled Employment)_2,16.81472449631307,2.1
2018–19,Temporary Resident (Skilled Employment)_2,19.458528419980105,2.1
2019–20,Temporary Resident (Skilled Employment)_2,26.729781093826986,2.1
2020–21,Temporary Resident (Skilled Employment)_2,45.772519215821745,2.1
2021–22,Temporary Resident (Skilled Employment)_2,33.52566901628096,2.1
2022–23,Temporary Resident (Skilled Employment)_2,20.315860866195138,2.1
2023–24,Temporary Resident (Skilled Employment)_2,14.3432947544193,2.1
2024–25,Temporary Resident (Skilled Employment)_2,16.795460210859716,2.1
2015–16,Temporary Graduate_2,1.5023681022139002,2.1
2016–17,Temporary Graduate_2,1.953528399311532,2.1
2017–18,Temporary Graduate_2,2.580851187365732,2.1
2018–19,Temporary Graduate_2,3.2823075616797266,2.1
2019–20,Temporary Graduate_2,3.9628352220736254,2.1
2020–21,Temporary Graduate_2,8.433370757405648,2.1
2021–22,Temporary Graduate_2,9.107354500654981,2.1
2022–23,Temporary Graduate_2,5.4626489681232435,2.1
2023–24,Temporary Graduate_2,3.0172165601427996,2.1
2024–25,Temporary Graduate_2,14.208836165813747,2.1
2015–16,Visitors_2,20.22028857803723,2.1
2016–17,Visitors_2,21.348967297762478,2.1
2017–18,Visitors_2,22.63833246240492,2.1
2018–19,Visitors_2,21.103321122728705,2.1
2019–20,Visitors_2,19.807137326669952,2.1
2020–21,Visitors_2,11.47335693928664,2.1
2021–22,Visitors_2,11.76158692533217,2.1
2022–23,Visitors_2,14.591609340180215,2.1
2023–24,Visitors_2,13.80779639546266,2.1
2024–25,Visitors_2,10.261448450811619,2.1
2015–16,Working Holiday Maker_2,11.9792928736645,2.1
2016–17,Working Holiday Maker_2,11.891135972461274,2.1
2017–18,Working Holiday Maker_2,11.322069325901412,2.1
2018–19,Working Holiday Maker_2,12.551854637199487,2.1
2019–20,Working Holiday Maker_2,10.9347504751179,2.1
2020–21,Working Holiday Maker_2,9.119958545642975,2.1
2021–22,Working Holiday Maker_2,4.803193811989271,2.1
2022–23,Working Holiday Maker_2,4.875496560410813,2.1
2023–24,Working Holiday Maker_2,10.258920174276884,2.1
2024–25,Working Holiday Maker_2,9.235010337698139,2.1
2015–16,Student_2,15.611851525498402,2.1
2016–17,Student_2,14.11790017211704,2.1
2017–18,Student_2,11.554316901817337,2.1
2018–19,Student_2,8.534484849955119,2.1
2019–20,Student_2,6.486239177870064,2.1
2020–21,Student_2,8.329734864841523,2.1
2021–22,Student_2,8.792339841556982,2.1
2022–23,Student_2,7.315182637341342,2.1
2023–24,Student_2,5.815627339206541,2.1
