Year,variable,value,sheet
2023–24,Malaysia,257,3.3
2024–25,Malaysia,844,3.3
2023–24,Myanmar,900,3.3
2024–25,Myanmar,756,3.3
2023–24,Iran,119,3.3
2024–25,Iran,462,3.3
2023–24,People’s Republic of China1,304,3.3
2024–25,People’s Republic of China1,289,3.3
2023–24,Pakistan,237,3.3
2024–25,Pakistan,215,3.3
2023–24,Papua New Guinea,109,3.3
2024–25,Papua New Guinea,140,3.3
2023–24,Afghanistan,111,3.3
2024–25,Afghanistan,123,3.3
2023–24,Yemen,91,3.3
2024–25,Yemen,106,3.3
2023–24,Fiji,55,3.3
2024–25,Fiji,73,3.3
2023–24,Vietnam,48,3.3
2024–25,Vietnam,68,3.3
2023–24,Other,948,3.3
2024–25,Other,925,3.3
2023–24,Total,3250,3.3
2024–25,Total,4001,3.3
