Year,variable,value,sheet
2015,Student,126.0,5.0
2016,Student,137.9,5.0
2017,Student,151.9,5.0
2018,Student,166.6,5.0
2019,Student,150.7,5.0
2020,Student,42.6,5.0
2021,Student,29.2,5.0
2022,Student,237.7,5.0
2023,Student,267.1,5.0
2024,Student,163.4,5.0
2015,Temporary visa categories | Working holiday,50.9,5.0
2016,Temporary visa categories | Working holiday,49.6,5.0
2017,Temporary visa categories | Working holiday,50.6,5.0
2018,Temporary visa categories | Working holiday,50.4,5.0
2019,Temporary visa categories | Working holiday,52.1,5.0
2020,Temporary visa categories | Working holiday,15.5,5.0
2021,Temporary visa categories | Working holiday,1.7,5.0
2022,Temporary visa categories | Working holiday,56.9,5.0
2023,Temporary visa categories | Working holiday,78.7,5.0
2024,Temporary visa categories | Working holiday,77.8,5.0
2015,Temporary visa categories | Visitor,54.2,5.0
2016,Temporary visa categories | Visitor,68.0,5.0
2017,Temporary visa categories | Visitor,77.2,5.0
2018,Temporary visa categories | Visitor,78.3,5.0
2019,Temporary visa categories | Visitor,132.4,5.0
2020,Temporary visa categories | Visitor,40.3,5.0
2021,Temporary visa categories | Visitor,11.5,5.0
2022,Temporary visa categories | Visitor,97.2,5.0
2023,Temporary visa categories | Visitor,99.7,5.0
2024,Temporary visa categories | Visitor,68.4,5.0
2015,Temporary visa categories | Temporary Resident (Skilled Employment),31.6,5.0
2016,Temporary visa categories | Temporary Resident (Skilled Employment),31.2,5.0
2017,Temporary visa categories | Temporary Resident (Skilled Employment),30.3,5.0
2018,Temporary visa categories | Temporary Resident (Skilled Employment),29.4,5.0
2019,Temporary visa categories | Temporary Resident (Skilled Employment),31.9,5.0
2020,Temporary visa categories | Temporary Resident (Skilled Employment),11.1,5.0
2021,Temporary visa categories | Temporary Resident (Skilled Employment),12.9,5.0
2022,Temporary visa categories | Temporary Resident (Skilled Employment),40.5,5.0
2023,Temporary visa categories | Temporary Resident (Skilled Employment),50.5,5.0
2024,Temporary visa categories | Temporary Resident (Skilled Employment),46.9,5.0
2015,Temporary visa categories | Other temporary visas,8.0,5.0
2016,Temporary visa categories | Other temporary visas,9.1,5.0
2017,Temporary visa categories | Other temporary visas,11.1,5.0
2018,Temporary visa categories | Other temporary visas,13.2,5.0
2019,Temporary visa categories | Other temporary visas,18.9,5.0
