Category,variable,value,sheet
Australian-born | Male,15–19,-0.20888861037561543,7.3
Australian-born | Female,15–19,-0.2269822415474499,7.3
Australian-born | Total,15–19,-0.4358708519230653,7.3
Overseas-born | Male,15–19,0.014482856484393859,7.3
Overseas-born | Female,15–19,-0.005593353455251761,7.3
Overseas-born | Total,15–19,0.008889503029142098,7.3
Total all birth groups,15–19,-0.4269813488939232,7.3
Australian-born | Male,20–24,0.008818988680307019,7.3
Australian-born | Female,20–24,-0.10992042966676331,7.3
Australian-born | Total,20–24,-0.10110144098645629,7.3
Overseas-born | Male,20–24,0.06011983600222007,7.3
Overseas-born | Female,20–24,0.1089447966344326,7.3
Overseas-born | Total,20–24,0.16906463263665267,7.3
Total all birth groups,20–24,0.06796319165019638,7.3
Australian-born | Male,Change in demographic composition by age group (years) | 25–34,-0.6463375875249556,7.3
Australian-born | Female,Change in demographic composition by age group (years) | 25–34,-0.5884231754977577,7.3
Australian-born | Total,Change in demographic composition by age group (years) | 25–34,-1.2347607630227133,7.3
Overseas-born | Male,Change in demographic composition by age group (years) | 25–34,0.8548645235552487,7.3
Overseas-born | Female,Change in demographic composition by age group (years) | 25–34,0.5474307588035341,7.3
Overseas-born | Total,Change in demographic composition by age group (years) | 25–34,1.4022952823587826,7.3
Total all birth groups,Change in demographic composition by age group (years) | 25–34,0.16753451933606933,7.3
Australian-born | Male,Change in demographic composition by age group (years) | 35–44,-0.5596622732472587,7.3
Australian-born | Female,Change in demographic composition by age group (years) | 35–44,-0.45513881824810454,7.3
Australian-born | Total,Change in demographic composition by age group (years) | 35–44,-1.0148010914953631,7.3
Overseas-born | Male,Change in demographic composition by age group (years) | 35–44,-0.042786696728712166,7.3
Overseas-born | Female,Change in demographic composition by age group (years) | 35–44,-0.06840195934316759,7.3
Overseas-born | Total,Change in demographic composition by age group (years) | 35–44,-0.11118865607187975,7.3
Total all birth groups,Change in demographic composition by age group (years) | 35–44,-1.125989747567243,7.3
Australian-born | Male,Change in demographic composition by age group (years) | 45–54,-0.27895084632055916,7.3
Australian-born | Female,Change in demographic composition by age group (years) | 45–54,-0.2516309940449467,7.3
Australian-born | Total,Change in demographic composition by age group (years) | 45–54,-0.5305818403655058,7.3
Overseas-born | Male,Change in demographic composition by age group (years) | 45–54,-0.042651775813048104,7.3
Overseas-born | Female,Change in demographic composition by age group (years) | 45–54,0.0110437689868676,7.3
Overseas-born | Total,Change in demographic composition by age group (years) | 45–54,-0.03160800682618051,7.3
Total all birth groups,Change in demographic composition by age group (years) | 45–54,-0.5621898471916863,7.3
Australian-born | Male,Change in demographic composition by age group (years) | 55–64,0.2681656645179158,7.3
Australian-born | Female,Change in demographic composition by age group (years) | 55–64,0.20516188161518575,7.3
Australian-born | Total,Change in demographic composition by age group (years) | 55–64,0.4733275461331016,7.3
Overseas-born | Male,Change in demographic composition by age group (years) | 55–64,-0.0913780969562829,7.3
Overseas-born | Female,Change in demographic composition by age group (years) | 55–64,0.026543241433012493,7.3
Overseas-born | Total,Change in demographic composition by age group (years) | 55–64,-0.06483485552327041,7.3
Total all birth groups,Change in demographic composition by age group (years) | 55–64,0.4084926906098312,7.3
Australian-born | Male,Change in demographic composition by age group (years) | 65+,0.06635801449553508,7.3
Australian-born | Female,Change in demographic composition by age group (years) | 65+,0.010788590468534096,7.3
Australian-born | Total,Change in demographic composition by age group (years) | 65+,0.07714660496406918,7.3
Overseas-born | Male,Change in demographic composition by age group (years) | 65+,0.03566302453708202,7.3
Overseas-born | Female,Change in demographic composition by age group (years) | 65+,0.014035439192020235,7.3
Overseas-born | Total,Change in demographic composition by age group (years) | 65+,0.049698463729102256,7.3
Total all birth groups,Change in demographic composition by age group (years) | 65+,0.12684506869317144,7.3
Australian-born | Male,Change in demographic composition by age group (years) | All age groups,-1.3504966497746311,7.3
Australian-born | Female,Change in demographic composition by age group (years) | All age groups,-1.4161451869213024,7.3
Australian-born | Total,Change in demographic composition by age group (years) | All age groups,-2.7666418366959338,7.3
Overseas-born | Male,Change in demographic composition by age group (years) | All age groups,0.7883136710809014,7.3
Overseas-born | Female,Change in demographic composition by age group (years) | All age groups,0.6340026922514477,7.3
Overseas-born | Total,Change in demographic composition by age group (years) | All age groups,1.422316363332349,7.3
Total all birth groups,Change in demographic composition by age group (years) | All age groups,-1.3443254733635848,7.3
Australian-born | Male,Change in demographic composition by age group (years) | 15–19,-0.2442108114029398,7.3
Australian-born | Female,Change in demographic composition by age group (years) | 15–19,-0.16796858193211292,7.3
Australian-born | Total,Change in demographic composition by age group (years) | 15–19,-0.4121793933350527,7.3
Overseas-born | Male,Change in demographic composition by age group (years) | 15–19,-0.0037841976204747445,7.3
Overseas-born | Female,Change in demographic composition by age group (years) | 15–19,0.004007401345028847,7.3
Overseas-born | Total,Change in demographic composition by age group (years) | 15–19,0.00022320372455410286,7.3
Total all birth groups,Change in demographic composition by age group (years) | 15–19,-0.4119561896104986,7.3
Australian-born | Male,Change in demographic composition by age group (years) | 20–24,-0.10602297952173594,7.3
Australian-born | Female,Change in demographic composition by age group (years) | 20–24,-0.06681003377993498,7.3
Australian-born | Total,Change in demographic composition by age group (years) | 20–24,-0.17283301330167092,7.3
Overseas-born | Male,Change in demographic composition by age group (years) | 20–24,-0.017868126710427857,7.3
Overseas-born | Female,Change in demographic composition by age group (years) | 20–24,-0.014425602176357294,7.3
Overseas-born | Total,Change in demographic composition by age group (years) | 20–24,-0.03229372888678515,7.3
Total all birth groups,Change in demographic composition by age group (years) | 20–24,-0.20512674218845606,7.3
Australian-born | Male,Change in propensity to participate by age group (years) | 25–34,-0.07778964755616215,7.3
Australian-born | Female,Change in propensity to participate by age group (years) | 25–34,0.17719204653133472,7.3
Australian-born | Total,Change in propensity to participate by age group (years) | 25–34,0.09940239897517257,7.3
Overseas-born | Male,Change in propensity to participate by age group (years) | 25–34,0.003318675676456709,7.3
Overseas-born | Female,Change in propensity to participate by age group (years) | 25–34,0.087642723537704,7.3
Overseas-born | Total,Change in propensity to participate by age group (years) | 25–34,0.0909613992141607,7.3
Total all birth groups,Change in propensity to participate by age group (years) | 25–34,0.19036379818933327,7.3
Australian-born | Male,Change in propensity to participate by age group (years) | 35–44,-0.04894948730134321,7.3
Australian-born | Female,Change in propensity to participate by age group (years) | 35–44,0.2361571452815262,7.3
Australian-born | Total,Change in propensity to participate by age group (years) | 35–44,0.187207657980183,7.3
Overseas-born | Male,Change in propensity to participate by age group (years) | 35–44,0.022510238987366715,7.3
Overseas-born | Female,Change in propensity to participate by age group (years) | 35–44,0.10766826711682229,7.3
Overseas-born | Total,Change in propensity to participate by age group (years) | 35–44,0.130178506104189,7.3
Total all birth groups,Change in propensity to participate by age group (years) | 35–44,0.317386164084372,7.3
Australian-born | Male,Change in propensity to participate by age group (years) | 45–54,-0.04919192053141431,7.3
Australian-born | Female,Change in propensity to participate by age group (years) | 45–54,0.15390519472896189,7.3
Australian-born | Total,Change in propensity to participate by age group (years) | 45–54,0.10471327419754758,7.3
Overseas-born | Male,Change in propensity to participate by age group (years) | 45–54,0.0456853293583962,7.3
Overseas-born | Female,Change in propensity to participate by age group (years) | 45–54,0.07615201522585456,7.3
Overseas-born | Total,Change in propensity to participate by age group (years) | 45–54,0.12183734458425076,7.3
Total all birth groups,Change in propensity to participate by age group (years) | 45–54,0.22655061878179833,7.3
Australian-born | Male,Change in propensity to participate by age group (years) | 55–64,0.3415983977789537,7.3
Australian-born | Female,Change in propensity to participate by age group (years) | 55–64,0.5816650467719787,7.3
Australian-born | Total,Change in propensity to participate by age group (years) | 55–64,0.9232634445509325,7.3
Overseas-born | Male,Change in propensity to participate by age group (years) | 55–64,0.1586008932844679,7.3
Overseas-born | Female,Change in propensity to participate by age group (years) | 55–64,0.3066524455912175,7.3
Overseas-born | Total,Change in propensity to participate by age group (years) | 55–64,0.46525333887568543,7.3
Total all birth groups,Change in propensity to participate by age group (years) | 55–64,1.3885167834266179,7.3
Australian-born | Male,Change in propensity to participate by age group (years) | 65+,0.2931011997658598,7.3
Australian-born | Female,Change in propensity to participate by age group (years) | 65+,0.26807314593670534,7.3
Australian-born | Total,Change in propensity to participate by age group (years) | 65+,0.5611743457025651,7.3
Overseas-born | Male,Change in propensity to participate by age group (years) | 65+,0.21445420098660475,7.3
Overseas-born | Female,Change in propensity to participate by age group (years) | 65+,0.12032807521469005,7.3
Overseas-born | Total,Change in propensity to participate by age group (years) | 65+,0.3347822762012948,7.3
Total all birth groups,Change in propensity to participate by age group (years) | 65+,0.8959566219038599,7.3
Australian-born | Male,Change in propensity to participate by age group (years) | All age groups,0.10853475123121809,7.3
Australian-born | Female,Change in propensity to participate by age group (years) | All age groups,1.182213963538459,7.3
Australian-born | Total,Change in propensity to participate by age group (years) | All age groups,1.290748714769677,7.3
Overseas-born | Male,Change in propensity to participate by age group (years) | All age groups,0.4229170139623897,7.3
Overseas-born | Female,Change in propensity to participate by age group (years) | All age groups,0.68802532585496,7.3
Overseas-born | Total,Change in propensity to participate by age group (years) | All age groups,1.1109423398173497,7.3
Total all birth groups,Change in propensity to participate by age group (years) | All age groups,2.401691054587027,7.3
Australian-born | Male,Total change | nan,-1.241961898543413,7.3
Australian-born | Female,Total change | nan,-0.23393122338284345,7.3
Australian-born | Total,Total change | nan,-1.4758931219262568,7.3
Overseas-born | Male,Total change | nan,1.211230685043291,7.3
Overseas-born | Female,Total change | nan,1.3220280181064077,7.3
Overseas-born | Total,Total change | nan,2.5332587031496985,7.3
Total all birth groups,Total change | nan,1.0573655812234417,7.3
