Year,variable,value,sheet
2015–16,India,10495,1.3
2016–17,India,9873,1.3
2017–18,India,5148,1.3
2018–19,India,7224,1.3
2019–20,India,4718,1.3
2020–21,India,4347,1.3
2021–22,India,5845,1.3
2022–23,India,8187,1.3
2023–24,India,10966,1.3
2024–25,India,12762,1.3
2015–16,United Kingdom,8420,1.3
2016–17,United Kingdom,7955,1.3
2017–18,United Kingdom,6335,1.3
2018–19,United Kingdom,7256,1.3
2019–20,United Kingdom,4275,1.3
2020–21,United Kingdom,3419,1.3
2021–22,United Kingdom,2967,1.3
2022–23,United Kingdom,4324,1.3
2023–24,United Kingdom,4500,1.3
2024–25,United Kingdom,4650,1.3
2015–16,Philippines,4181,1.3
2016–17,Philippines,4558,1.3
2017–18,Philippines,3474,1.3
2018–19,Philippines,3484,1.3
2019–20,Philippines,2583,1.3
2020–21,Philippines,1832,1.3
2021–22,Philippines,2151,1.3
2022–23,Philippines,3123,1.3
2023–24,Philippines,3368,1.3
2024–25,Philippines,3834,1.3
2015–16,South Africa,1528,1.3
2016–17,South Africa,1346,1.3
2017–18,South Africa,1346,1.3
2018–19,South Africa,1518,1.3
2019–20,South Africa,1145,1.3
2020–21,South Africa,1305,1.3
2021–22,South Africa,1487,1.3
2022–23,South Africa,1796,1.3
2023–24,South Africa,1417,1.3
2024–25,South Africa,2240,1.3
2015–16,Sri Lanka,508,1.3
2016–17,Sri Lanka,556,1.3
2017–18,Sri Lanka,381,1.3
2018–19,Sri Lanka,487,1.3
2019–20,Sri Lanka,429,1.3
2020–21,Sri Lanka,431,1.3
2021–22,Sri Lanka,629,1.3
2022–23,Sri Lanka,1078,1.3
2023–24,Sri Lanka,1016,1.3
2024–25,Sri Lanka,1984,1.3
2015–16,People's Republic of China1,4024,1.3
2016–17,People's Republic of China1,4197,1.3
2017–18,People's Republic of China1,2713,1.3
2018–19,People's Republic of China1,2945,1.3
2019–20,People's Republic of China1,2524,1.3
2020–21,People's Republic of China1,1369,1.3
2021–22,People's Republic of China1,1407,1.3
2022–23,People's Republic of China1,1676,1.3
2023–24,People's Republic of China1,2367,1.3
2024–25,People's Republic of China1,1509,1.3
2015–16,Nepal,1682,1.3
2016–17,Nepal,1577,1.3
2017–18,Nepal,748,1.3
2018–19,Nepal,1296,1.3
2019–20,Nepal,884,1.3
2020–21,Nepal,597,1.3
2021–22,Nepal,696,1.3
2022–23,Nepal,761,1.3
2023–24,Nepal,710,1.3
2024–25,Nepal,1412,1.3
2015–16,Ireland,2862,1.3
2016–17,Ireland,2436,1.3
2017–18,Ireland,1511,1.3
2018–19,Ireland,1546,1.3
2019–20,Ireland,996,1.3
2020–21,Ireland,823,1.3
2021–22,Ireland,791,1.3
2022–23,Ireland,1402,1.3
2023–24,Ireland,1154,1.3
2024–25,Ireland,1343,1.3
2015–16,Brazil,609,1.3
2016–17,Brazil,805,1.3
2017–18,Brazil,677,1.3
2018–19,Brazil,1216,1.3
2019–20,Brazil,888,1.3
2020–21,Brazil,741,1.3
2021–22,Brazil,774,1.3
2022–23,Brazil,1081,1.3
2023–24,Brazil,933,1.3
2024–25,Brazil,1266,1.3
2015–16,Pakistan,692,1.3
2016–17,Pakistan,713,1.3
2017–18,Pakistan,449,1.3
2018–19,Pakistan,489,1.3
2019–20,Pakistan,403,1.3
2020–21,Pakistan,326,1.3
2021–22,Pakistan,360,1.3
2022–23,Pakistan,420,1.3
2023–24,Pakistan,453,1.3
2024–25,Pakistan,823,1.3
2015–16,Republic of Korea,1500,1.3
2016–17,Republic of Korea,1487,1.3
2017–18,Republic of Korea,956,1.3
2018–19,Republic of Korea,961,1.3
2019–20,Republic of Korea,741,1.3
2020–21,Republic of Korea,585,1.3
2021–22,Republic of Korea,604,1.3
2022–23,Republic of Korea,894,1.3
2023–24,Republic of Korea,844,1.3
2024–25,Republic of Korea,767,1.3
2015–16,Italy,819,1.3
2016–17,Italy,1023,1.3
2017–18,Italy,1028,1.3
2018–19,Italy,1248,1.3
2019–20,Italy,915,1.3
2020–21,Italy,571,1.3
2021–22,Italy,577,1.3
2022–23,Italy,715,1.3
2023–24,Italy,655,1.3
2024–25,Italy,671,1.3
2015–16,Zimbabwe,217,1.3
2016–17,Zimbabwe,158,1.3
2017–18,Zimbabwe,111,1.3
2018–19,Zimbabwe,93,1.3
2019–20,Zimbabwe,79,1.3
2020–21,Zimbabwe,124,1.3
2021–22,Zimbabwe,282,1.3
2022–23,Zimbabwe,385,1.3
2023–24,Zimbabwe,328,1.3
2024–25,Zimbabwe,634,1.3
2015–16,Colombia,342,1.3
2016–17,Colombia,350,1.3
2017–18,Colombia,238,1.3
2018–19,Colombia,317,1.3
2019–20,Colombia,216,1.3
2020–21,Colombia,260,1.3
2021–22,Colombia,253,1.3
2022–23,Colombia,370,1.3
2023–24,Colombia,365,1.3
2024–25,Colombia,598,1.3
2015–16,Vietnam,462,1.3
2016–17,Vietnam,637,1.3
2017–18,Vietnam,462,1.3
2018–19,Vietnam,736,1.3
2019–20,Vietnam,569,1.3
