Year,variable,value,sheet
2001–02,Visitor,3364335,2.0
2002–03,Visitor,3265315,2.0
2003–04,Visitor,3492097,2.0
2004–05,Visitor,3613350,2.0
2005–06,Visitor,3598896,2.0
2006–07,Visitor,3672485,2.0
2007–08,Visitor,3647946,2.0
2008–09,Visitor,3378969,2.0
2009–10,Visitor,3444262,2.0
2010–11,Visitor,3540505,2.0
2011–12,Visitor,3558483,2.0
2012–13,Visitor,3750640,2.0
2013–14,Visitor,3990248,2.0
2014–15,Visitor,4308107,2.0
2015–16,Visitor,4799173,2.0
2016–17,Visitor,5345684,2.0
2017–18,Visitor,5639167,2.0
2018–19,Visitor,5686318,2.0
2019–20,Visitor,4056603,2.0
2020–21,Visitor,167576,2.0
2021–22,Visitor,1131890,2.0
2022–23,Visitor,3818495,2.0
2023–24,Visitor,4713442,2.0
2024–25,Visitor,4915854,2.0
2001–02,Special Category,964300,2.0
2002–03,Special Category,968417,2.0
2003–04,Special Category,1130623,2.0
2004–05,Special Category,1311194,2.0
2005–06,Special Category,1330974,2.0
2006–07,Special Category,1377978,2.0
2007–08,Special Category,1430189,2.0
2008–09,Special Category,1441125,2.0
2009–10,Special Category,1487375,2.0
2010–11,Special Category,1589422,2.0
2011–12,Special Category,1675697,2.0
2012–13,Special Category,1705150,2.0
2013–14,Special Category,1762890,2.0
2014–15,Special Category,1798220,2.0
2015–16,Special Category,1850308,2.0
2016–17,Special Category,1921561,2.0
2017–18,Special Category,1856614,2.0
2018–19,Special Category,1889988,2.0
2019–20,Special Category,1396835,2.0
2020–21,Special Category,143023,2.0
2021–22,Special Category,302226,2.0
2022–23,Special Category,1428081,2.0
2023–24,Special Category,1786486,2.0
2024–25,Special Category,1873536,2.0
2001–02,Crew and Transit,34351,2.0
2002–03,Crew and Transit,38254,2.0
2003–04,Crew and Transit,40667,2.0
2004–05,Crew and Transit,37952,2.0
2005–06,Crew and Transit,35651,2.0
2006–07,Crew and Transit,38590,2.0
2007–08,Crew and Transit,388828,2.0
2008–09,Crew and Transit,212192,2.0
2009–10,Crew and Transit,221585,2.0
2010–11,Crew and Transit,288995,2.0
2011–12,Crew and Transit,265849,2.0
