Category,variable,value,sheet
Australian-born | Male,15–19,-0.07141099704457562,7.6
Australian-born | Female,15–19,-0.06640372010959103,7.6
Australian-born | Total,15–19,-0.13781471715416665,7.6
Overseas-born | Male,15–19,0.02011051968617027,7.6
Overseas-born | Female,15–19,0.001937723171471783,7.6
Overseas-born | Total,15–19,0.022048242857642054,7.6
Total all birth groups,15–19,-0.1157664742965246,7.6
Australian-born | Male,20–24,-0.11114921252831038,7.6
Australian-born | Female,20–24,-0.14531462981823376,7.6
Australian-born | Total,20–24,-0.2564638423465441,7.6
Overseas-born | Male,20–24,0.05640737795599956,7.6
Overseas-born | Female,20–24,0.049226124905726254,7.6
Overseas-born | Total,20–24,0.10563350286172582,7.6
Total all birth groups,20–24,-0.1508303394848183,7.6
Australian-born | Male,Change in demographic composition by age group (years) | 25–34,0.005504802683583947,7.6
Australian-born | Female,Change in demographic composition by age group (years) | 25–34,-0.16701337366241611,7.6
Australian-born | Total,Change in demographic composition by age group (years) | 25–34,-0.16150857097883217,7.6
Overseas-born | Male,Change in demographic composition by age group (years) | 25–34,-0.05484499186668351,7.6
Overseas-born | Female,Change in demographic composition by age group (years) | 25–34,0.10767140514962664,7.6
Overseas-born | Total,Change in demographic composition by age group (years) | 25–34,0.05282641328294313,7.6
Total all birth groups,Change in demographic composition by age group (years) | 25–34,-0.10868215769588904,7.6
Australian-born | Male,Change in demographic composition by age group (years) | 35–44,-0.19996076172025268,7.6
Australian-born | Female,Change in demographic composition by age group (years) | 35–44,-0.1778548394949781,7.6
Australian-born | Total,Change in demographic composition by age group (years) | 35–44,-0.3778156012152308,7.6
Overseas-born | Male,Change in demographic composition by age group (years) | 35–44,0.14614479504005864,7.6
Overseas-born | Female,Change in demographic composition by age group (years) | 35–44,0.14141558415771197,7.6
Overseas-born | Total,Change in demographic composition by age group (years) | 35–44,0.2875603791977706,7.6
Total all birth groups,Change in demographic composition by age group (years) | 35–44,-0.09025522201746017,7.6
Australian-born | Male,Change in demographic composition by age group (years) | 45–54,-0.09548526987050453,7.6
Australian-born | Female,Change in demographic composition by age group (years) | 45–54,-0.07603991579985239,7.6
Australian-born | Total,Change in demographic composition by age group (years) | 45–54,-0.1715251856703569,7.6
Overseas-born | Male,Change in demographic composition by age group (years) | 45–54,-0.04061592028709899,7.6
Overseas-born | Female,Change in demographic composition by age group (years) | 45–54,-0.07500504804751643,7.6
Overseas-born | Total,Change in demographic composition by age group (years) | 45–54,-0.11562096833461541,7.6
Total all birth groups,Change in demographic composition by age group (years) | 45–54,-0.28714615400497234,7.6
Australian-born | Male,Change in demographic composition by age group (years) | 55–64,-0.01758382477208221,7.6
Australian-born | Female,Change in demographic composition by age group (years) | 55–64,-0.018853384084093625,7.6
Australian-born | Total,Change in demographic composition by age group (years) | 55–64,-0.03643720885617584,7.6
Overseas-born | Male,Change in demographic composition by age group (years) | 55–64,0.025180686676109967,7.6
Overseas-born | Female,Change in demographic composition by age group (years) | 55–64,0.03389417406890527,7.6
Overseas-born | Total,Change in demographic composition by age group (years) | 55–64,0.05907486074501524,7.6
Total all birth groups,Change in demographic composition by age group (years) | 55–64,0.0226376518888394,7.6
Australian-born | Male,Change in demographic composition by age group (years) | 65+,0.06555745588425237,7.6
Australian-born | Female,Change in demographic composition by age group (years) | 65+,0.04574934407784388,7.6
Australian-born | Total,Change in demographic composition by age group (years) | 65+,0.11130679996209625,7.6
Overseas-born | Male,Change in demographic composition by age group (years) | 65+,-0.0005019345464107407,7.6
Overseas-born | Female,Change in demographic composition by age group (years) | 65+,0.004585493559796897,7.6
Overseas-born | Total,Change in demographic composition by age group (years) | 65+,0.004083559013386156,7.6
Total all birth groups,Change in demographic composition by age group (years) | 65+,0.1153903589754824,7.6
Australian-born | Male,Change in demographic composition by age group (years) | All age groups,-0.4245278073678891,7.6
Australian-born | Female,Change in demographic composition by age group (years) | All age groups,-0.605730518891321,7.6
Australian-born | Total,Change in demographic composition by age group (years) | All age groups,-1.0302583262592102,7.6
Overseas-born | Male,Change in demographic composition by age group (years) | All age groups,0.15188053265814522,7.6
Overseas-born | Female,Change in demographic composition by age group (years) | All age groups,0.26372545696572236,7.6
Overseas-born | Total,Change in demographic composition by age group (years) | All age groups,0.4156059896238676,7.6
Total all birth groups,Change in demographic composition by age group (years) | All age groups,-0.6146523366353427,7.6
Australian-born | Male,Change in demographic composition by age group (years) | 15–19,0.0848626149724545,7.6
Australian-born | Female,Change in demographic composition by age group (years) | 15–19,0.01850650604843881,7.6
