Category,variable,value,sheet
Australian-born | Total,Change in demographic composition by age group (years) | 15–19,0.10336912102089331,7.6
Overseas-born | Male,Change in demographic composition by age group (years) | 15–19,0.020387116084652008,7.6
Overseas-born | Female,Change in demographic composition by age group (years) | 15–19,0.03294324073254349,7.6
Overseas-born | Total,Change in demographic composition by age group (years) | 15–19,0.0533303568171955,7.6
Total all birth groups,Change in demographic composition by age group (years) | 15–19,0.1566994778380888,7.6
Australian-born | Male,Change in demographic composition by age group (years) | 20–24,-0.0047647493002736,7.6
Australian-born | Female,Change in demographic composition by age group (years) | 20–24,0.048700102445521,7.6
Australian-born | Total,Change in demographic composition by age group (years) | 20–24,0.043935353145247394,7.6
Overseas-born | Male,Change in demographic composition by age group (years) | 20–24,-0.002738699334034544,7.6
Overseas-born | Female,Change in demographic composition by age group (years) | 20–24,0.05182507266367295,7.6
Overseas-born | Total,Change in demographic composition by age group (years) | 20–24,0.0490863733296384,7.6
Total all birth groups,Change in demographic composition by age group (years) | 20–24,0.0930217264748858,7.6
Australian-born | Male,Change in propensity to participate by age group (years) | 25–34,-0.029455952411575163,7.6
Australian-born | Female,Change in propensity to participate by age group (years) | 25–34,0.14796434724638066,7.6
Australian-born | Total,Change in propensity to participate by age group (years) | 25–34,0.11850839483480549,7.6
Overseas-born | Male,Change in propensity to participate by age group (years) | 25–34,0.016332572115158542,7.6
Overseas-born | Female,Change in propensity to participate by age group (years) | 25–34,0.060146437896325254,7.6
Overseas-born | Total,Change in propensity to participate by age group (years) | 25–34,0.0764790100114838,7.6
Total all birth groups,Change in propensity to participate by age group (years) | 25–34,0.1949874048462893,7.6
Australian-born | Male,Change in propensity to participate by age group (years) | 35–44,0.010196275107038903,7.6
Australian-born | Female,Change in propensity to participate by age group (years) | 35–44,0.0971198455716604,7.6
Australian-born | Total,Change in propensity to participate by age group (years) | 35–44,0.1073161206786993,7.6
Overseas-born | Male,Change in propensity to participate by age group (years) | 35–44,-0.0001975141678356761,7.6
Overseas-born | Female,Change in propensity to participate by age group (years) | 35–44,0.06975779364115967,7.6
Overseas-born | Total,Change in propensity to participate by age group (years) | 35–44,0.069560279473324,7.6
Total all birth groups,Change in propensity to participate by age group (years) | 35–44,0.1768764001520233,7.6
Australian-born | Male,Change in propensity to participate by age group (years) | 45–54,0.024787754224387303,7.6
Australian-born | Female,Change in propensity to participate by age group (years) | 45–54,0.021485826498894415,7.6
Australian-born | Total,Change in propensity to participate by age group (years) | 45–54,0.04627358072328172,7.6
Overseas-born | Male,Change in propensity to participate by age group (years) | 45–54,0.012914102346922777,7.6
Overseas-born | Female,Change in propensity to participate by age group (years) | 45–54,0.047161728277432154,7.6
Overseas-born | Total,Change in propensity to participate by age group (years) | 45–54,0.06007583062435493,7.6
Total all birth groups,Change in propensity to participate by age group (years) | 45–54,0.10634941134763665,7.6
Australian-born | Male,Change in propensity to participate by age group (years) | 55–64,0.0912717822379822,7.6
Australian-born | Female,Change in propensity to participate by age group (years) | 55–64,0.06235837082877963,7.6
Australian-born | Total,Change in propensity to participate by age group (years) | 55–64,0.15363015306676184,7.6
Overseas-born | Male,Change in propensity to participate by age group (years) | 55–64,0.02990488214543858,7.6
Overseas-born | Female,Change in propensity to participate by age group (years) | 55–64,0.07029584471819336,7.6
Overseas-born | Total,Change in propensity to participate by age group (years) | 55–64,0.10020072686363193,7.6
Total all birth groups,Change in propensity to participate by age group (years) | 55–64,0.25383087993039377,7.6
Australian-born | Male,Change in propensity to participate by age group (years) | 65+,0.11058170733430862,7.6
Australian-born | Female,Change in propensity to participate by age group (years) | 65+,0.07887400827538021,7.6
Australian-born | Total,Change in propensity to participate by age group (years) | 65+,0.18945571560968882,7.6
Overseas-born | Male,Change in propensity to participate by age group (years) | 65+,0.08054152210202656,7.6
Overseas-born | Female,Change in propensity to participate by age group (years) | 65+,0.029068085558792464,7.6
Overseas-born | Total,Change in propensity to participate by age group (years) | 65+,0.10960960766081902,7.6
Total all birth groups,Change in propensity to participate by age group (years) | 65+,0.29906532327050783,7.6
Australian-born | Male,Change in propensity to participate by age group (years) | All age groups,0.28747943216432276,7.6
Australian-born | Female,Change in propensity to participate by age group (years) | All age groups,0.4750090069150551,7.6
Australian-born | Total,Change in propensity to participate by age group (years) | All age groups,0.7624884390793778,7.6
Overseas-born | Male,Change in propensity to participate by age group (years) | All age groups,0.15714398129232826,7.6
Overseas-born | Female,Change in propensity to participate by age group (years) | All age groups,0.3611982034881194,7.6
Overseas-born | Total,Change in propensity to participate by age group (years) | All age groups,0.5183421847804477,7.6
Total all birth groups,Change in propensity to participate by age group (years) | All age groups,1.2808306238598255,7.6
Australian-born | Male,Total change | nan,-0.13704837520356633,7.6
Australian-born | Female,Total change | nan,-0.13072151197626591,7.6
Australian-born | Total,Total change | nan,-0.2677698871798324,7.6
Overseas-born | Male,Total change | nan,0.3090245139504735,7.6
Overseas-born | Female,Total change | nan,0.6249236604538417,7.6
Overseas-born | Total,Total change | nan,0.9339481744043152,7.6
Total all birth groups,Total change | nan,0.6661782872244828,7.6
