Year2,variable,value,sheet
2020–21,Total2,562.0,3.1
2021–22,Total2,5326.0,3.1
2022–23,Total2,7962.0,3.1
2023–24,Total2,6961.0,3.1
2024–25,Total2,6700.0,3.1
2020–21,Female,265.0,3.1
2021–22,Female,2676.0,3.1
2022–23,Female,4181.0,3.1
2023–24,Female,3695.0,3.1
2024–25,Female,3434.0,3.1
2020–21,Total,450.0,3.1
2021–22,Total,1268.0,3.1
2022–23,Total,1192.0,3.1
2023–24,Total,2804.0,3.1
2024–25,Total,2804.0,3.1
2020–21,Female_1,236.0,3.1
2021–22,Female_1,669.0,3.1
2022–23,Female_1,587.0,3.1
2023–24,Female_1,1376.0,3.1
2024–25,Female_1,1415.0,3.1
2020–21,Total_1,1585.0,3.1
2021–22,Total_1,2111.0,3.1
2022–23,Total_1,2028.0,3.1
2023–24,Total_1,1843.0,3.1
2024–25,Total_1,1624.0,3.1
2020–21,Female_2,784.0,3.1
2021–22,Female_2,1042.0,3.1
2022–23,Female_2,1007.0,3.1
2023–24,Female_2,933.0,3.1
2024–25,Female_2,789.0,3.1
2020–21,Total_2,656.0,3.1
2021–22,Total_2,1645.0,3.1
2022–23,Total_2,1475.0,3.1
2023–24,Total_2,1778.0,3.1
2024–25,Total_2,1546.0,3.1
2020–21,Female_3,351.0,3.1
2021–22,Female_3,865.0,3.1
2022–23,Female_3,759.0,3.1
2023–24,Female_3,890.0,3.1
2024–25,Female_3,775.0,3.1
2020–21,Total_3,144.0,3.1
2021–22,Total_3,48.0,3.1
2022–23,Total_3,59.0,3.1
2023–24,Total_3,390.0,3.1
2024–25,Total_3,733.0,3.1
2020–21,Female_4,46.0,3.1
2021–22,Female_4,23.0,3.1
2022–23,Female_4,33.0,3.1
2023–24,Female_4,203.0,3.1
2024–25,Female_4,384.0,3.1
2020–21,Total_4,154.0,3.1
2021–22,Total_4,455.0,3.1
2022–23,Total_4,1332.0,3.1
2023–24,Total_4,1178.0,3.1
2024–25,Total_4,687.0,3.1
2020–21,Female_5,73.0,3.1
2021–22,Female_5,214.0,3.1
2022–23,Female_5,689.0,3.1
2023–24,Female_5,626.0,3.1
2024–25,Female_5,329.0,3.1
2020–21,Total_5,241.0,3.1
2021–22,Total_5,99.0,3.1
2022–23,Total_5,127.0,3.1
2023–24,Total_5,371.0,3.1
2024–25,Total_5,443.0,3.1
2020–21,Female_6,149.0,3.1
2021–22,Female_6,47.0,3.1
2022–23,Female_6,64.0,3.1
2023–24,Female_6,196.0,3.1
2024–25,Female_6,213.0,3.1
2020–21,Total_6,12.0,3.1
2021–22,Total_6,10.0,3.1
2022–23,Total_6,43.0,3.1
2023–24,Total_6,102.0,3.1
2024–25,Total_6,285.0,3.1
2020–21,Female_7,10.0,3.1
2021–22,Female_7,,3.1
2022–23,Female_7,21.0,3.1
2023–24,Female_7,59.0,3.1
2024–25,Female_7,143.0,3.1
2020–21,Total_7,0.0,3.1
2021–22,Total_7,,3.1
2022–23,Total_7,,3.1
2023–24,Total_7,129.0,3.1
2024–25,Total_7,216.0,3.1
2020–21,Female_8,0.0,3.1
2021–22,Female_8,0.0,3.1
2022–23,Female_8,0.0,3.1
2023–24,Female_8,60.0,3.1
2024–25,Female_8,113.0,3.1
2020–21,Total_8,68.0,3.1
2021–22,Total_8,94.0,3.1
2022–23,Total_8,479.0,3.1
2023–24,Total_8,334.0,3.1
2024–25,Total_8,177.0,3.1
2020–21,Female_9,42.0,3.1
2021–22,Female_9,43.0,3.1
2022–23,Female_9,231.0,3.1
2023–24,Female_9,168.0,3.1
2024–25,Female_9,96.0,3.1
2020–21,Total3,686.0,3.1
2021–22,Total3,489.0,3.1
2022–23,Total3,1178.0,3.1
2023–24,Total3,860.0,3.1
2024–25,Total3,784.0,3.1
2020–21,Female_10,353.0,3.1
2021–22,Female_10,221.0,3.1
2022–23,Female_10,597.0,3.1
2023–24,Female_10,468.0,3.1
2024–25,Female_10,436.0,3.1
2020–21,Total4,4558.0,3.1
2021–22,Total4,11545.0,3.1
2022–23,Total4,15875.0,3.1
2023–24,Total4,16750.0,3.1
2024–25,Total4,15999.0,3.1
2020–21,Female_11,2309.0,3.1
2021–22,Female_11,5800.0,3.1
2022–23,Female_11,8169.0,3.1
2023–24,Female_11,8674.0,3.1
2024–25,Female_11,8127.0,3.1
