Category,variable,value,sheet
Females,New Zealand,17080,6.0
Total4,New Zealand,33103,6.0
Females,India,11658,6.0
Total4,India,23015,6.0
Females,United Kingdom,6069,6.0
Total4,United Kingdom,12674,6.0
Females,Philippines,5260,6.0
Total4,Philippines,8517,6.0
Females,Vietnam,3359,6.0
Total4,Vietnam,5430,6.0
Females,Nepal,3040,6.0
Total4,Nepal,5398,6.0
Females,Iraq,2617,6.0
Total4,Iraq,5272,6.0
Females,People's Republic of China2,2794,6.0
Total4,People's Republic of China2,5194,6.0
Females,Pakistan,2147,6.0
Total4,Pakistan,4690,6.0
Females,South Africa,2221,6.0
Total4,South Africa,4428,6.0
Females,Afghanistan,2154,6.0
Total4,Afghanistan,4136,6.0
Females,Sri Lanka,1792,6.0
Total4,Sri Lanka,3648,6.0
Females,Iran,1595,6.0
Total4,Iran,3394,6.0
Females,Myanmar,1300,6.0
Total4,Myanmar,2479,6.0
Females,Brazil,1158,6.0
Total4,Brazil,2102,6.0
Females,Other countries3,23048,6.0
Total4,Other countries3,41713,6.0
Females,Total,87292,6.0
Total4,Total,165193,6.0
