Year,variable,value,sheet
2022–23,Student,4723,4.0
2023–24,Student,13966,4.0
2024–25,Student,21632,4.0
2022–23,Temporary Resident,4727,4.0
2023–24,Temporary Resident,4609,4.0
2024–25,Temporary Resident,6496,4.0
2022–23,Visitor,4621,4.0
2023–24,Visitor,8192,4.0
2024–25,Visitor,6679,4.0
2022–23,Working Holiday,59,4.0
2023–24,Working Holiday,703,4.0
2024–25,Working Holiday,653,4.0
2022–23,All other categories,1583,4.0
2023–24,All other categories,1401,4.0
2024–25,All other categories,2521,4.0
2022–23,Total,15713,4.0
2023–24,Total,28871,4.0
2024–25,Total,37981,4.0
