Year,variable,value,sheet
2007–08,Accommodation and Food Services,484.0,1.4
2008–09,Accommodation and Food Services,839.0,1.4
2009–10,Accommodation and Food Services,1277.0,1.4
2010–11,Accommodation and Food Services,1978.0,1.4
2011–12,Accommodation and Food Services,3122.0,1.4
2012–13,Accommodation and Food Services,3797.0,1.4
2013–14,Accommodation and Food Services,3247.0,1.4
2014–15,Accommodation and Food Services,3560.0,1.4
2015–16,Accommodation and Food Services,4528.0,1.4
2016–17,Accommodation and Food Services,4473.0,1.4
2017–18,Accommodation and Food Services,2381.0,1.4
2018–19,Accommodation and Food Services,3824.0,1.4
2019–20,Accommodation and Food Services,2455.0,1.4
2020–21,Accommodation and Food Services,1041.0,1.4
2021–22,Accommodation and Food Services,1749.0,1.4
2022–23,Accommodation and Food Services,1752.0,1.4
2023–24,Accommodation and Food Services,1734.0,1.4
2024–25,Accommodation and Food Services,2242.0,1.4
2007–08,Administrative and Support Services,70.0,1.4
2008–09,Administrative and Support Services,134.0,1.4
2009–10,Administrative and Support Services,105.0,1.4
2010–11,Administrative and Support Services,108.0,1.4
2011–12,Administrative and Support Services,87.0,1.4
2012–13,Administrative and Support Services,118.0,1.4
2013–14,Administrative and Support Services,131.0,1.4
2014–15,Administrative and Support Services,142.0,1.4
2015–16,Administrative and Support Services,135.0,1.4
2016–17,Administrative and Support Services,128.0,1.4
2017–18,Administrative and Support Services,130.0,1.4
2018–19,Administrative and Support Services,184.0,1.4
2019–20,Administrative and Support Services,84.0,1.4
2020–21,Administrative and Support Services,39.0,1.4
2021–22,Administrative and Support Services,26.0,1.4
2022–23,Administrative and Support Services,63.0,1.4
2023–24,Administrative and Support Services,37.0,1.4
2024–25,Administrative and Support Services,47.0,1.4
2007–08,"Agriculture, Forestry and Fishing",171.0,1.4
2008–09,"Agriculture, Forestry and Fishing",330.0,1.4
2009–10,"Agriculture, Forestry and Fishing",553.0,1.4
2010–11,"Agriculture, Forestry and Fishing",652.0,1.4
2011–12,"Agriculture, Forestry and Fishing",601.0,1.4
2012–13,"Agriculture, Forestry and Fishing",638.0,1.4
2013–14,"Agriculture, Forestry and Fishing",511.0,1.4
2014–15,"Agriculture, Forestry and Fishing",411.0,1.4
2015–16,"Agriculture, Forestry and Fishing",419.0,1.4
2016–17,"Agriculture, Forestry and Fishing",537.0,1.4
2017–18,"Agriculture, Forestry and Fishing",442.0,1.4
