Year,variable,value,sheet
2009–10,India,750,1.12
2010–11,India,1989,1.12
2011–12,India,2575,1.12
2012–13,India,2783,1.12
2013–14,India,1853,1.12
2014–15,India,923,1.12
2015–16,India,1523,1.12
2016–17,India,639,1.12
2017–18,India,637,1.12
2018–19,India,234,1.12
2009–10,Pakistan,64,1.12
2010–11,Pakistan,88,1.12
2011–12,Pakistan,366,1.12
2012–13,Pakistan,344,1.12
2013–14,Pakistan,321,1.12
2014–15,Pakistan,214,1.12
2015–16,Pakistan,241,1.12
2016–17,Pakistan,103,1.12
2017–18,Pakistan,176,1.12
2018–19,Pakistan,93,1.12
2009–10,Philippines,304,1.12
2010–11,Philippines,588,1.12
2011–12,Philippines,836,1.12
2012–13,Philippines,384,1.12
2013–14,Philippines,315,1.12
2014–15,Philippines,258,1.12
2015–16,Philippines,223,1.12
2016–17,Philippines,116,1.12
2017–18,Philippines,76,1.12
2018–19,Philippines,36,1.12
2009–10,Sri Lanka,295,1.12
2010–11,Sri Lanka,813,1.12
2011–12,Sri Lanka,1049,1.12
2012–13,Sri Lanka,616,1.12
2013–14,Sri Lanka,342,1.12
2014–15,Sri Lanka,229,1.12
2015–16,Sri Lanka,296,1.12
2016–17,Sri Lanka,101,1.12
2017–18,Sri Lanka,78,1.12
2018–19,Sri Lanka,34,1.12
2009–10,Nepal,48,1.12
2010–11,Nepal,386,1.12
2011–12,Nepal,249,1.12
2012–13,Nepal,316,1.12
2013–14,Nepal,181,1.12
2014–15,Nepal,66,1.12
2015–16,Nepal,129,1.12
2016–17,Nepal,59,1.12
2017–18,Nepal,67,1.12
2018–19,Nepal,32,1.12
2009–10,People's Republic of China2,285,1.12
2010–11,People's Republic of China2,1411,1.12
2011–12,People's Republic of China2,806,1.12
2012–13,People's Republic of China2,786,1.12
2013–14,People's Republic of China2,370,1.12
2014–15,People's Republic of China2,218,1.12
2015–16,People's Republic of China2,300,1.12
2016–17,People's Republic of China2,95,1.12
2017–18,People's Republic of China2,69,1.12
2018–19,People's Republic of China2,24,1.12
2009–10,United Kingdom,414,1.12
2010–11,United Kingdom,745,1.12
2011–12,United Kingdom,1465,1.12
2012–13,United Kingdom,310,1.12
2013–14,United Kingdom,189,1.12
2014–15,United Kingdom,86,1.12
2015–16,United Kingdom,75,1.12
2016–17,United Kingdom,69,1.12
2017–18,United Kingdom,61,1.12
2018–19,United Kingdom,22,1.12
2009–10,Iran,21,1.12
2010–11,Iran,35,1.12
2011–12,Iran,130,1.12
2012–13,Iran,162,1.12
2013–14,Iran,102,1.12
2014–15,Iran,64,1.12
2015–16,Iran,51,1.12
2016–17,Iran,52,1.12
2017–18,Iran,60,1.12
2018–19,Iran,19,1.12
2009–10,Bangladesh,58,1.12
2010–11,Bangladesh,189,1.12
2011–12,Bangladesh,340,1.12
2012–13,Bangladesh,190,1.12
2013–14,Bangladesh,145,1.12
2014–15,Bangladesh,175,1.12
2015–16,Bangladesh,440,1.12
2016–17,Bangladesh,50,1.12
2017–18,Bangladesh,39,1.12
2018–19,Bangladesh,17,1.12
2009–10,Zimbabwe,25,1.12
2010–11,Zimbabwe,30,1.12
2011–12,Zimbabwe,34,1.12
2012–13,Zimbabwe,19,1.12
2013–14,Zimbabwe,21,1.12
2014–15,Zimbabwe,8,1.12
2015–16,Zimbabwe,19,1.12
2016–17,Zimbabwe,16,1.12
2017–18,Zimbabwe,32,1.12
2018–19,Zimbabwe,17,1.12
2009–10,South Africa,165,1.12
2010–11,South Africa,294,1.12
2011–12,South Africa,430,1.12
2012–13,South Africa,120,1.12
2013–14,South Africa,44,1.12
2014–15,South Africa,13,1.12
2015–16,South Africa,22,1.12
2016–17,South Africa,40,1.12
2017–18,South Africa,36,1.12
2018–19,South Africa,11,1.12
2009–10,Nigeria,21,1.12
2010–11,Nigeria,15,1.12
2011–12,Nigeria,27,1.12
2012–13,Nigeria,12,1.12
2013–14,Nigeria,11,1.12
2014–15,Nigeria,9,1.12
2015–16,Nigeria,15,1.12
2016–17,Nigeria,15,1.12
2017–18,Nigeria,12,1.12
2018–19,Nigeria,11,1.12
2009–10,Kenya,6,1.12
2010–11,Kenya,5,1.12
2011–12,Kenya,42,1.12
2012–13,Kenya,25,1.12
2013–14,Kenya,30,1.12
2014–15,Kenya,30,1.12
2015–16,Kenya,39,1.12
2016–17,Kenya,13,1.12
2017–18,Kenya,6,1.12
2018–19,Kenya,11,1.12
2009–10,Vietnam,72,1.12
2010–11,Vietnam,302,1.12
2011–12,Vietnam,194,1.12
2012–13,Vietnam,130,1.12
2013–14,Vietnam,134,1.12
2014–15,Vietnam,96,1.12
2015–16,Vietnam,128,1.12
2016–17,Vietnam,49,1.12
2017–18,Vietnam,28,1.12
2018–19,Vietnam,11,1.12
2009–10,Egypt,33,1.12
2010–11,Egypt,77,1.12
2011–12,Egypt,199,1.12
2012–13,Egypt,79,1.12
2013–14,Egypt,62,1.12
2014–15,Egypt,45,1.12
2015–16,Egypt,38,1.12
2016–17,Egypt,19,1.12
2017–18,Egypt,13,1.12
2018–19,Egypt,7,1.12
2009–10,Other3,1127,1.12
2010–11,Other3,2150,1.12
2011–12,Other3,3058,1.12
2012–13,Other3,1856,1.12
2013–14,Other3,980,1.12
2014–15,Other3,366,1.12
2015–16,Other3,657,1.12
2016–17,Other3,234,1.12
2017–18,Other3,184,1.12
2018–19,Other3,68,1.12
2009–10,Total,3688,1.12
2010–11,Total,9117,1.12
2011–12,Total,11800,1.12
2012–13,Total,8132,1.12
2013–14,Total,5100,1.12
2014–15,Total,2800,1.12
2015–16,Total,4196,1.12
2016–17,Total,1670,1.12
2017–18,Total,1574,1.12
