Year,variable,value,sheet
2015–16,Regional1,,1.18
2016–17,Regional1,,1.18
2017–18,Regional1,,1.18
2018–19,Regional1,,1.18
2019–20,Regional1,3742.0,1.18
2020–21,Regional1,2588.0,1.18
2021–22,Regional1,4408.0,1.18
2022–23,Regional1,6371.0,1.18
2023–24,Regional1,4829.0,1.18
2024–25,Regional1,2833.0,1.18
2015–16,State/Territory Nominated,2602.0,1.18
2016–17,State/Territory Nominated,2478.0,1.18
2017–18,State/Territory Nominated,2769.0,1.18
2018–19,State/Territory Nominated,2439.0,1.18
2019–20,State/Territory Nominated,3096.0,1.18
2020–21,State/Territory Nominated,2439.0,1.18
2021–22,State/Territory Nominated,3934.0,1.18
2022–23,State/Territory Nominated,6000.0,1.18
2023–24,State/Territory Nominated,3717.0,1.18
2024–25,State/Territory Nominated,2680.0,1.18
2015–16,Employer Sponsored,2889.0,1.18
2016–17,Employer Sponsored,2256.0,1.18
2017–18,Employer Sponsored,1168.0,1.18
2018–19,Employer Sponsored,2684.0,1.18
2019–20,Employer Sponsored,618.0,1.18
2020–21,Employer Sponsored,876.0,1.18
2021–22,Employer Sponsored,1109.0,1.18
2022–23,Employer Sponsored,1459.0,1.18
2023–24,Employer Sponsored,1171.0,1.18
2024–25,Employer Sponsored,1318.0,1.18
2015–16,Skilled Independent,4757.0,1.18
2016–17,Skilled Independent,4527.0,1.18
2017–18,Skilled Independent,3081.0,1.18
2018–19,Skilled Independent,2674.0,1.18
2019–20,Skilled Independent,990.0,1.18
2020–21,Skilled Independent,673.0,1.18
2021–22,Skilled Independent,197.0,1.18
2022–23,Skilled Independent,2758.0,1.18
2023–24,Skilled Independent,3203.0,1.18
2024–25,Skilled Independent,1271.0,1.18
2015–16,Global Talent (Independent)2,,1.18
2016–17,Global Talent (Independent)2,,1.18
2017–18,Global Talent (Independent)2,,1.18
2018–19,Global Talent (Independent)2,,1.18
2019–20,Global Talent (Independent)2,1313.0,1.18
2020–21,Global Talent (Independent)2,1692.0,1.18
2021–22,Global Talent (Independent)2,936.0,1.18
2022–23,Global Talent (Independent)2,425.0,1.18
2023–24,Global Talent (Independent)2,237.0,1.18
2024–25,Global Talent (Independent)2,117.0,1.18
2015–16,Business Innovation and Investment3,331.0,1.18
2016–17,Business Innovation and Investment3,329.0,1.18
2017–18,Business Innovation and Investment3,298.0,1.18
2018–19,Business Innovation and Investment3,315.0,1.18
2019–20,Business Innovation and Investment3,191.0,1.18
2020–21,Business Innovation and Investment3,456.0,1.18
2021–22,Business Innovation and Investment3,461.0,1.18
2022–23,Business Innovation and Investment3,199.0,1.18
2023–24,Business Innovation and Investment3,84.0,1.18
2024–25,Business Innovation and Investment3,55.0,1.18
2015–16,Distinguished Talent,34.0,1.18
2016–17,Distinguished Talent,31.0,1.18
2017–18,Distinguished Talent,21.0,1.18
2018–19,Distinguished Talent,45.0,1.18
2019–20,Distinguished Talent,42.0,1.18
2020–21,Distinguished Talent,38.0,1.18
2021–22,Distinguished Talent,46.0,1.18
2022–23,Distinguished Talent,62.0,1.18
2023–24,Distinguished Talent,62.0,1.18
2024–25,Distinguished Talent,35.0,1.18
2015–16,Skilled Regional4,1664.0,1.18
2016–17,Skilled Regional4,190.0,1.18
2017–18,Skilled Regional4,121.0,1.18
2018–19,Skilled Regional4,53.0,1.18
2019–20,Skilled Regional4,,1.18
2020–21,Skilled Regional4,,1.18
2021–22,Skilled Regional4,,1.18
2022–23,Skilled Regional4,,1.18
2023–24,Skilled Regional4,,1.18
2024–25,Skilled Regional4,,1.18
2015–16,Skill stream total,12277.0,1.18
