Year,variable,value,sheet
2024–25,Outside Australia - secondary applicant by gender | Male,16276.0,1.2
2015–16,Outside Australia - secondary applicant by gender | % Male,39.906695616454435,1.2
2016–17,Outside Australia - secondary applicant by gender | % Male,38.9222074851508,1.2
2017–18,Outside Australia - secondary applicant by gender | % Male,40.587808012516064,1.2
2018–19,Outside Australia - secondary applicant by gender | % Male,41.440221770944135,1.2
2019–20,Outside Australia - secondary applicant by gender | % Male,43.07336353995951,1.2
2020–21,Outside Australia - secondary applicant by gender | % Male,44.41118913318752,1.2
2021–22,Outside Australia - secondary applicant by gender | % Male,43.41316014973165,1.2
2022–23,Outside Australia - secondary applicant by gender | % Male,45.02560874417008,1.2
2023–24,Outside Australia - secondary applicant by gender | % Male,46.2168843032941,1.2
2024–25,Outside Australia - secondary applicant by gender | % Male,44.38021486611768,1.2
2015–16,Outside Australia - secondary applicant by gender | Total1,34096.0,1.2
2016–17,Outside Australia - secondary applicant by gender | Total1,34694.0,1.2
2017–18,Outside Australia - secondary applicant by gender | Total1,35799.0,1.2
2018–19,Outside Australia - secondary applicant by gender | Total1,31030.0,1.2
2019–20,Outside Australia - secondary applicant by gender | Total1,20751.0,1.2
2020–21,Outside Australia - secondary applicant by gender | Total1,17376.0,1.2
2021–22,Outside Australia - secondary applicant by gender | Total1,22174.0,1.2
2022–23,Outside Australia - secondary applicant by gender | Total1,34956.0,1.2
2023–24,Outside Australia - secondary applicant by gender | Total1,37223.0,1.2
2024–25,Outside Australia - secondary applicant by gender | Total1,36679.0,1.2
2015–16,In Australia - primary applicant by gender | Female,14989.0,1.2
2016–17,In Australia - primary applicant by gender | Female,13222.0,1.2
2017–18,In Australia - primary applicant by gender | Female,11489.0,1.2
2018–19,In Australia - primary applicant by gender | Female,13316.0,1.2
2019–20,In Australia - primary applicant by gender | Female,13926.0,1.2
2020–21,In Australia - primary applicant by gender | Female,11498.0,1.2
2021–22,In Australia - primary applicant by gender | Female,13955.0,1.2
2022–23,In Australia - primary applicant by gender | Female,25233.0,1.2
2023–24,In Australia - primary applicant by gender | Female,21811.0,1.2
2024–25,In Australia - primary applicant by gender | Female,17681.0,1.2
2015–16,In Australia - primary applicant by gender | % Female,37.10883343236284,1.2
2016–17,In Australia - primary applicant by gender | % Female,35.919587068731325,1.2
2017–18,In Australia - primary applicant by gender | % Female,37.55311498986729,1.2
2018–19,In Australia - primary applicant by gender | % Female,38.76451922797008,1.2
2019–20,In Australia - primary applicant by gender | % Female,39.8215664407652,1.2
2020–21,In Australia - primary applicant by gender | % Female,37.68229934781896,1.2
2021–22,In Australia - primary applicant by gender | % Female,41.687826736370425,1.2
