Year,variable,value,sheet
2015–16,People's Republic of China1,5865,1.16
2016–17,People's Republic of China1,5636,1.16
2017–18,People's Republic of China1,4249,1.16
2018–19,People's Republic of China1,4850,1.16
2019–20,People's Republic of China1,3553,1.16
2020–21,People's Republic of China1,7765,1.16
2021–22,People's Republic of China1,5078,1.16
2022–23,People's Republic of China1,4728,1.16
2023–24,People's Republic of China1,3802,1.16
2024–25,People's Republic of China1,4461,1.16
2015–16,India,5503,1.16
2016–17,India,4972,1.16
2017–18,India,3625,1.16
2018–19,India,3803,1.16
2019–20,India,2684,1.16
2020–21,India,5515,1.16
2021–22,India,3954,1.16
2022–23,India,3815,1.16
2023–24,India,3289,1.16
2024–25,India,3848,1.16
2015–16,Afghanistan,1349,1.16
2016–17,Afghanistan,1536,1.16
2017–18,Afghanistan,2200,1.16
2018–19,Afghanistan,1956,1.16
2019–20,Afghanistan,2220,1.16
2020–21,Afghanistan,1332,1.16
2021–22,Afghanistan,1542,1.16
2022–23,Afghanistan,2094,1.16
2023–24,Afghanistan,5228,1.16
2024–25,Afghanistan,3379,1.16
2015–16,Philippines,3354,1.16
2016–17,Philippines,3296,1.16
2017–18,Philippines,3160,1.16
2018–19,Philippines,2234,1.16
2019–20,Philippines,2338,1.16
2020–21,Philippines,6218,1.16
2021–22,Philippines,3258,1.16
2022–23,Philippines,3355,1.16
2023–24,Philippines,3278,1.16
2024–25,Philippines,2949,1.16
2015–16,Vietnam,2654,1.16
2016–17,Vietnam,2862,1.16
2017–18,Vietnam,2455,1.16
2018–19,Vietnam,2697,1.16
2019–20,Vietnam,2245,1.16
2020–21,Vietnam,4749,1.16
2021–22,Vietnam,2421,1.16
2022–23,Vietnam,2502,1.16
2023–24,Vietnam,3039,1.16
2024–25,Vietnam,2685,1.16
2015–16,Pakistan,950,1.16
2016–17,Pakistan,1059,1.16
2017–18,Pakistan,1247,1.16
2018–19,Pakistan,1228,1.16
2019–20,Pakistan,1044,1.16
2020–21,Pakistan,1809,1.16
2021–22,Pakistan,704,1.16
2022–23,Pakistan,906,1.16
2023–24,Pakistan,1548,1.16
2024–25,Pakistan,2391,1.16
2015–16,United Kingdom,4055,1.16
2016–17,United Kingdom,4064,1.16
2017–18,United Kingdom,3175,1.16
2018–19,United Kingdom,2659,1.16
2019–20,United Kingdom,2788,1.16
2020–21,United Kingdom,6657,1.16
2021–22,United Kingdom,4027,1.16
2022–23,United Kingdom,2535,1.16
2023–24,United Kingdom,1835,1.16
2024–25,United Kingdom,1852,1.16
2015–16,Thailand,1941,1.16
2016–17,Thailand,1920,1.16
2017–18,Thailand,1775,1.16
2018–19,Thailand,1550,1.16
2019–20,Thailand,1340,1.16
2020–21,Thailand,3549,1.16
2021–22,Thailand,1569,1.16
2022–23,Thailand,1541,1.16
2023–24,Thailand,1546,1.16
2024–25,Thailand,1206,1.16
2015–16,United States of America,1823,1.16
2016–17,United States of America,1759,1.16
2017–18,United States of America,1065,1.16
2018–19,United States of America,1778,1.16
2019–20,United States of America,1758,1.16
2020–21,United States of America,3350,1.16
2021–22,United States of America,1845,1.16
2022–23,United States of America,1591,1.16
2023–24,United States of America,1266,1.16
2024–25,United States of America,1166,1.16
2015–16,Lebanon,637,1.16
2016–17,Lebanon,727,1.16
2017–18,Lebanon,815,1.16
2018–19,Lebanon,516,1.16
2019–20,Lebanon,505,1.16
2020–21,Lebanon,541,1.16
2021–22,Lebanon,760,1.16
2022–23,Lebanon,415,1.16
2023–24,Lebanon,1141,1.16
2024–25,Lebanon,1107,1.16
2015–16,Sri Lanka,669,1.16
2016–17,Sri Lanka,635,1.16
2017–18,Sri Lanka,579,1.16
2018–19,Sri Lanka,670,1.16
2019–20,Sri Lanka,381,1.16
2020–21,Sri Lanka,587,1.16
2021–22,Sri Lanka,661,1.16
2022–23,Sri Lanka,554,1.16
2023–24,Sri Lanka,841,1.16
2024–25,Sri Lanka,1080,1.16
2015–16,Indonesia,890,1.16
2016–17,Indonesia,917,1.16
2017–18,Indonesia,1086,1.16
2018–19,Indonesia,674,1.16
2019–20,Indonesia,856,1.16
2020–21,Indonesia,1839,1.16
2021–22,Indonesia,1159,1.16
2022–23,Indonesia,899,1.16
2023–24,Indonesia,845,1.16
2024–25,Indonesia,852,1.16
2015–16,Nepal,562,1.16
2016–17,Nepal,637,1.16
2017–18,Nepal,460,1.16
2018–19,Nepal,516,1.16
2019–20,Nepal,338,1.16
2020–21,Nepal,843,1.16
2021–22,Nepal,541,1.16
2022–23,Nepal,675,1.16
2023–24,Nepal,571,1.16
2024–25,Nepal,721,1.16
2015–16,Iraq,342,1.16
2016–17,Iraq,342,1.16
2017–18,Iraq,338,1.16
2018–19,Iraq,312,1.16
2019–20,Iraq,212,1.16
2020–21,Iraq,257,1.16
2021–22,Iraq,191,1.16
