0,1,2,3,4
,"Table 4.2: Departures by departure type, 2022–23 to 2024–25",,,
,Year,Removals from onshore immigration detention,Returns from the community1,Total2
,2022–23,2344,6265,8609
,2023–24,2817,5494,8311
,2024–25,3457,3189,6646
,,,,
,"1. Since November 2024, Returns figures represent only those departures where individuals were intensively managed through the Status Resolution program.",,,
,"2. Figures represent all onshore assisted or managed departures, and includes Unlawful Maritime Arrivals (UMAs), Illegal Foreign Fishers and border turnarounds (sea and air arrivals that were not immigration cleared).",,,
,"Note: Data was extracted from departmental systems on 3 July 2025, As data is drawn for a live system environment, the figures provided may differ from statistics previously published.",,,
,Click here to return to: Report Contents,,,
