0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,"Table 2.1: Primary Temporary Resident (Skilled Employment) visas granted as a proportion by location and last visa held, 2015–16 to 2024–25",,,,,,,,,,,,,,,,,,,,,,,,
,,,,Share (%) of grants to applicants outside Australia,,,,,,,,Share (%) of grants to applicants in Australia,,,,,,,,,Share (%) of total grants,,,,
,Year,Temporary Resident (Skilled Employment),Temporary Graduate,Visitors,Working Holiday Maker,Student,All other visas,No previous visa held or known,Total,Temporary Resident (Skilled Employment),Temporary Graduate,Visitors,Working Holiday Maker,Student,All other visas,No previous visa held or known,Total,Temporary Resident (Skilled Employment),Temporary Graduate,Visitors,Working Holiday Maker,Student,All other visas,No previous visa held or known,Total
,2015–16,8.302702702702703,0.41945945945945945,30.547027027027028,2.4172972972972975,3.6627027027027026,5.1718918918918915,49.47891891891892,100,31.728783116299958,2.6268522676246073,9.497081275258195,21.908396946564885,28.01975752132914,6.219128872923215,0,100,19.795131622425377,1.5023681022139002,20.22028857803723,11.9792928736645,15.611851525498402,5.685648199140875,25.205419099019714,100
,2016–17,7.666530445443399,0.2697180220678382,31.487535758071104,2.223130363710666,2.8974254188802613,5.888843481814467,49.56681651001226,100,29.164016356201728,3.825533848250795,10.07723761926397,22.639709223080416,26.592457973648344,7.701044979554748,0,100,17.846385542168676,1.953528399311532,21.348967297762478,11.891135972461274,14.11790017211704,6.746987951807229,26.09509466437177,100
,2017–18,6.90368798089679,0.23348368267444947,32.549747943751655,1.8997081453966569,2.3772884054125765,6.638365614221279,49.39771822764659,100,28.786616242548558,5.416319466700852,10.665982949810909,22.703672841484522,22.63957438625729,9.614768284084354,0.17306582911351837,100,16.81472449631307,2.580851187365732,22.63833246240492,11.322069325901412,11.554316901817337,7.986413516808918,27.10329210938861,100
,2018–19,7.139200446781775,0.3816260995020245,31.339879927397963,2.136175361846698,1.838320845162191,9.452226927909898,47.71257039139945,100,32.87220026350462,6.440660788486875,9.957433870477349,23.892773892773892,15.825478868957129,10.955710955710956,0.055741360089186176,100,19.458528419980105,3.2823075616797266,21.103321122728705,12.551854637199487,8.534484849955119,10.171999708886247,24.89750369957061,100
,2019–20,7.226700608117664,0.5232640362042144,32.09588459906661,2.5031820110309715,1.7889973129684629,10.062225993494556,45.79974543911752,100,46.0552130044843,7.371076233183857,7.630325112107624,19.28951793721973,11.140695067264573,8.492152466367713,0.02102017937219731,100,26.729781093826986,3.9628352220736254,19.807137326669952,10.9347504751179,6.486239177870064,9.273597522348139,22.805659182093336,100
,2020–21,6.988847583643122,0.7806691449814126,38.71747211895911,1.4312267657992566,1.6728624535315983,5.87360594795539,44.53531598513011,100,57.50928113398582,10.749240634492068,3.228709641129486,11.446731915851052,10.34424569692879,6.688041399482507,0.03374957813027337,100,45.772519215821745,8.433370757405648,11.47335693928664,9.119958545642975,8.329734864841523,6.498834096208654,10.372225580792813,100
,2021–22,9.16110183639399,0.8695047301057317,24.200055648302726,1.6416249304396218,2.1215915414579856,5.043127434613244,56.962993878686696,100,53.33031776546421,15.80346036412982,1.6510234083455841,7.373063440009046,14.214633043084927,7.226054506389234,0.40144747257717966,100,33.52566901628096,9.107354500654981,11.76158692533217,4.803193811989271,8.792339841556982,6.247270912606824,25.76258499157882,100
,2022–23,6.956257594167679,0.6075334143377886,21.24679357364655,1.7247198595922775,2.1668691778047795,5.261914405292291,62.03591197515863,100,38.32643217909633,12.008008372389316,5.619511307275788,9.123174227601584,14.255812895299632,20.64430996041316,0.022751057924193473,100.00000000000001,20.315860866195138,5.4626489681232435,14.591609340180215,4.875496560410813,7.315182637341342,11.812808836353067,35.626392791396185,100
,2023–24,4.0460675859978785,0.3674799212001818,22.594332474617364,2.0078799818154263,1.7540536444915895,5.5690256099409,63.66116078193665,100,24.917331258510018,5.738183232834079,4.785061272126045,18.73176424820074,9.986383971989886,35.82571484147053,0.015561174868702586,100,14.3432947544193,3.0172165601427996,13.80779639546266,10.258920174276884,5.815627339206541,20.4967275100286,32.260417266463215,100
,2024–25,3.831041257367387,0.8431565160445317,22.838899803536343,1.9523575638506878,1.997380484610347,6.622462344466273,61.914702030124424,100,24.03290300468411,21.670284473894665,3.2400319890323317,13.300582657374616,10.416999885753455,27.300354164286528,0.03884382497429453,100,16.795460210859716,14.208836165813747,10.261448450811619,9.235010337698139,7.4006187955481915,19.892370632139244,22.206255407129348,100
,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Location is at time of visa lodgement. Order is based on the 2024–25 total where the last visa held is specified.,,,,,,,,,,,,,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,,,,,,,,,,,,,
