0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,"Table 1.15: Skill stream outcome—top 15 citizenship countries, Global Talent (Independent) visas, 2019–20 to 2024–251",,,,,,,,,,,,,,,,,
,Year,India,People's Republic of China2,Hong Kong (SAR of the PRC)3,Pakistan,Vietnam,United States of America,Iran,Taiwan,United Kingdom,Singapore,Bangladesh,Sri Lanka,Israel,South Africa,Russian Federation,Other4,Total
,2019–20,398,271,40,169,107,188,516,17,416,25,568,128,19,111,43,1093,4109
,2020–21,1116,969,910,276,325,490,850,43,787,91,595,179,70,331,64,2488,9584
,2021–22,1398,1011,1115,221,247,484,510,121,588,109,246,141,61,213,43,2268,8776
,2022–23,931,544,671,212,204,194,359,136,268,46,119,115,28,136,22,1015,5000
,2023–24,1155,761,603,228,176,163,231,244,152,103,140,79,31,84,32,818,5000
,2024–25,1244,579,388,192,157,141,141,134,124,106,80,62,55,54,40,478,3975
,,,,,,,,,,,,,,,,,,
,"1. The Global Talent (Independent) program came into effect from 4 November 2019. Effective 6 December 2024, the Global Talent visa (subclass 858) was closed to new applications and was replaced by the National Innovation visa.  ",,,,,,,,,,,,,,,,,
,2. Excludes Special Administrative Regions (SARs).,,,,,,,,,,,,,,,,,
,3. Special Administrative Region of the People's Republic of China (PRC).,,,,,,,,,,,,,,,,,
,4. Includes citizenship not specified.,,,,,,,,,,,,,,,,,
,Note: Includes both primary and secondary applicants. Top 15 citizenship countries are based on 2024–25.,,,,,,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,,,,,,
