0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,"Table 1.14: Skill stream outcome—top 15 citizenship countries, Business Innovation and Investment visas, 2015–16 to 2024–251",,,,,,,,,,,,,,,,,
,Year2,People's Republic of China3,Vietnam,Hong Kong (SAR of the PRC)4,Bangladesh,Iran,Pakistan,United States of America,Malaysia,Sri Lanka,Papua New Guinea,Taiwan,United Kingdom,India,Singapore,Germany,Other5,Total
,2015–16,5168,253,192,84,339,30,32,442,27,6,30,73,61,60,0,463,7260
,2016–17,5131,300,217,93,309,40,56,468,45,8,51,50,49,43,0,400,7260
,2017–18,5087,426,362,45,321,64,40,344,12,<5,79,48,80,51,7,294,7260
,2018–19,5209,478,303,73,249,43,79,211,17,0,57,30,77,37,7,391,7261
,2019–20,2872,368,163,67,223,46,36,135,26,0,46,37,89,29,11,272,4420
,2020–21,5157,1144,1828,99,972,79,99,264,114,12,51,125,168,89,24,973,11198
,2021–22,4070,1339,1340,181,1610,103,105,240,87,16,37,150,316,48,5,849,10496
,2022–23,2519,463,691,151,446,72,47,71,43,6,52,33,112,18,<5,276,5000
,2023–24,1049,191,178,18,112,75,28,17,13,<5,28,13,42,15,0,121,1900
,2024–25,573,184,44,30,30,18,14,14,11,10,8,8,8,7,6,35,1000
,,,,,,,,,,,,,,,,,,
,1. Includes both primary and secondary applicants. The Business Innovation and Innvestment Program closed to new applications on 31 July 2024.,,,,,,,,,,,,,,,,,
,2. Top 15 citizenship countries are based 2024–25.,,,,,,,,,,,,,,,,,
,3. Excludes Special Administrative Regions (SARs).,,,,,,,,,,,,,,,,,
,4. SAR of the People's Republic of China (PRC).,,,,,,,,,,,,,,,,,
,5. Other includes citizenship not specified and has been perturbed to protect the privacy of individuals.,,,,,,,,,,,,,,,,,
,"Note: To protect the privacy of individuals, various data confidentiality techniques have been applied. These techniques include:",,,,,,,,,,,,,,,,,
,- data masking — using primary and secondary suppression methods for values that are deemed to be a disclosure risk,,,,,,,,,,,,,,,,,
,- perturbation — a data security technique that allows for random data adjustment to prevent the release of identifiable data.,,,,,,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,,,,,,
