0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,"Table 1.1: Migration Program outcome by category, 2015–16 to 2024–25",,,,,,,,,,,,,,,,,,
,Skill stream,,,,,,,,,,,Family stream,,,,,Child stream,Special Eligibility,
,Year,Employer Sponsored1,State/Territory Nominated,Regional2,Skilled Independent,Global Talent (Independent)3,Business Innovation & Investment4,Distinguished Talent,National Innovation5,Skilled Regional6,Skill stream total,Partner7,Parent,Child8,Other Family9,Family stream total10,Child stream total,Special Eligibility total,Total10
,2015–16,48250,24650,,43994,,7260,200,,4196,128550,47825,8675,,900,57400,3512,308,189770
,2016–17,48250,23765,,42422,,7260,200,,1670,123567,47825,7563,,832,56220,3400,421,183608
,2017–18,35528,27400,,39137,,7260,200,,1574,111099,39799,7371,,562,47732,3350,236,162417
,2018–19,42012,25346,,34247,,7261,200,,647,109713,39918,6805,,524,47247,3248,115,160323
,2019–20,29261,21495,23372,12986,4109,4420,200,,,95843,37118,4399,,444,41961,2481,81,140366
,2020–21,23503,14268,13585,7213,9584,11198,269,,,79620,72376,4500,,496,77372,3006,54,160052
,2021–22,26103,19376,18223,5864,8776,10496,225,,,89063,46288,4500,,500,51288,3006,199,143556
,2022–23,35000,31000,33944,32100,5000,5000,300,,,142344,40500,8500,3000,500,52500,,160,195004
,2023–24,36825,30400,32300,30375,5000,1900,300,,,137100,40720,8500,3000,500,52720,,180,190000
,2024–25,44000,33000,32948,16900,3975,1000,300,25,,132148,40500,8500,3000,500,52500,,353,185001
,,,,,,,,,,,,,,,,,,,
,"1. From 2019–20, due to structural changes, the Employer Sponsored visa category no longer includes regional migration visas.",,,,,,,,,,,,,,,,,,
,2. The Regional migration category commenced 1 July 2019. ,,,,,,,,,,,,,,,,,,
,"3.The Global Talent (Independent) program came into effect from 4 November 2019. Effective 6 December 2024, the Global Talent visa (subclass 858) was closed to new applications and was replaced by the National Innovation visa.  ",,,,,,,,,,,,,,,,,,
,4. The Business Innovation and Investment Program closed to new applications on 31 July 2024. Numbers are for net outcome. Visas cancelled under s134 of the Migration Act 1958 are returned to the Program in the year in which they are cancelled.,,,,,,,,,,,,,,,,,,
,5. The National Innovation visa commenced 7 December 2024 replacing the Global Talent visa (subclass 858).,,,,,,,,,,,,,,,,,,
,"6. In effect 1 July 2012, replacing the Family Sponsored and Skilled Independent Regional (Provisional) visas. Effective 1 July 2019, due to structural changes the category ceased and the visa components merged within the new 'Regional' migration category.",,,,,,,,,,,,,,,,,,
,"7. Includes Partner, Prospective Marriage, Spouse (defunct) and Interdependent (defunct) visa categories. ",,,,,,,,,,,,,,,,,,
,"8. From 2015–16 to 2021–22, Child visa outcomes (excluding Orphan Relative visas) were not counted within the Family stream. Orphan Relative visa outcomes, as of 2022–23, are counted under Child.",,,,,,,,,,,,,,,,,,
,"9. Includes Aged Dependent Relative, Carer, Special Need Relative, Remaining Relative and, between 2015–16 and 2021–22, Orphan Relative visa categories. ",,,,,,,,,,,,,,,,,,
,"10. From 2022–23, Child visa outcomes count against the Family stream.",,,,,,,,,,,,,,,,,,
,"Note: From 2023-24, Partner places are allocated on demand as are Child visas (since 2015–16) within the overall Migration Program ceiling. Stream and category places based on 2024–25.",,,,,,,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,,,,,,,
