0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,"Table 2.3: Temporary Resident (Other Employment) visas granted by visa type—top 15, 2015–16 to 2024–251",,,,,,,,,,,,,,,,,
,Year,Post-Higher Education Work2,Highly Specialised Work3,Post-Vocational Education Work2,Entertainment,Pacific Australia Labour Mobility Scheme4,Invited for Other Social and Cultural Activity5,Temporary Resident - Other (Not Further Specified),Family (Temporary),Research Activities,Diplomatic,Australian Government Endorsed Events5,Religious Work,Sporting Activities,Government Agreement,Special Programs,Other6,Total
,2015–16,19989,43127,12425,18689,,,1351,2700,3428,2895,,1853,583,651,1754,21362,130807
,2016–17,31960,42260,9419,21452,,4459,3597,1919,4283,2938,<5,2118,2022,935,1737,16001,145100
,2017–18,43507,44502,8149,23379,,13921,5770,1036,6227,3081,14781,2281,1178,821,1760,10066,180459
,2018–19,54781,43643,9213,24194,,16175,6299,1184,7070,3007,1135,1991,1349,1035,1369,13703,186148
,2019–20,54021,30296,8982,18984,,12762,6088,2481,5399,2504,3276,1925,1446,1201,721,12022,162108
,2020–21,45724,8530,7512,2159,,1686,1869,2831,242,3010,22929,600,701,494,42,9319,107648
,2021–22,54730,18258,9056,5690,4629,7528,3052,5523,2001,2926,31268,1016,996,710,242,12850,160475
,2022–23,125090,37616,53927,22120,30350,16370,8509,8075,4671,2847,148311,2506,1581,908,682,976,464539
,2023–24,96367,38707,14010,24075,25239,16124,7513,6848,5429,2702,76597,1449,1248,1142,782,1134,319366
,2024–25,97365,36166,28964,24861,24609,15751,6224,6137,3104,2664,2385,2310,1399,1261,673,1547,255420
,,,,,,,,,,,,,,,,,,
,1.Top 15 Visa types are based on 2024–25 visas granted.,,,,,,,,,,,,,,,,,
,"2. Effective 1 July 2024, there was a re-alignment of the Temporary Graduate streams, the Post-Study Work stream became the Post-Higher Education Work stream, and the Graduate Work stream became the Post-Vocational Education Work stream.",,,,,,,,,,,,,,,,,
,"3. Effective 24 November 2012 as a stream within the Temporary Work (Short Stay Activity) visa (subclass 400) - closed to new applications from 19 November 2016; continued as a stream within the Temporary Work (Short Stay Specialist) visa (subclass 400), which commenced 19 November 2016.",,,,,,,,,,,,,,,,,
,"4. Effective 4 April 2022, replacing the Seasonal Worker Program and the Pacific Labour Scheme.",,,,,,,,,,,,,,,,,
,"5. A stream within the within the Temporary Activity visa (subclass 408), which came into effect from 19 November 2016.",,,,,,,,,,,,,,,,,
,6. Data has been perturbed to protect the privacy of individuals.,,,,,,,,,,,,,,,,,
,"Note: To protect the privacy of individuals, various data confidentiality techniques have been applied. These techniques include:",,,,,,,,,,,,,,,,,
,- data masking — using primary and secondary suppression methods for values that are deemed to be a disclosure risk,,,,,,,,,,,,,,,,,
,- perturbation — a data security technique that allows for random data adjustment to prevent the release of identifiable data.,,,,,,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,,,,,,
