0,1,2,3,4,5,6,7,8,9,10,11,12,13
,"Table 1.9: Skill stream outcome primary applicants, State/Territory Nominated visas—top 10 nominated occupations by ANZSCO Unit Group, 2015–16 to 2024–251",,,,,,,,,,,,
,Year,Software and Applications Programmers,Accountants,ICT Business and Systems Analysts2,Civil Engineering Professionals,"Industrial, Mechanical and Production Engineers",Registered Nurses,Chefs,Electrical Engineers,Other Engineering Professionals,Early Childhood (Pre-primary School) Teachers,Other3,Total
,2015–16,1436,1542,559,378,172,731,89,130,125,29,5766,10957
,2016–17,1412,1308,616,320,108,548,96,95,211,24,5489,10227
,2017–18,1712,1342,520,385,273,932,170,138,362,61,6207,12102
,2018–19,1431,1414,510,432,246,1476,298,246,326,77,4941,11397
,2019–20,956,1726,433,438,193,2468,166,111,546,115,3826,10978
,2020–21,1141,863,416,372,313,1537,172,123,344,58,2947,8286
,2021–22,1277,673,551,601,458,2859,425,147,273,212,4026,11502
,2022–23,1247,941,576,797,686,2855,668,305,525,749,9006,18355
,2023–24,1507,863,688,821,550,2021,510,346,500,598,8506,16910
,2024–25,1561,1274,1132,1128,884,846,636,540,516,441,8497,17455
,,,,,,,,,,,,,
,1. ANZSCO—Australian and New Zealand Standard Classification of Occupations.,,,,,,,,,,,,
,2. ICT—Information and Communication Technology.,,,,,,,,,,,,
,3. Includes nominated occupation not specified.,,,,,,,,,,,,
,Note: Top 10 nominated occupations are based on 2024–25.,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,
