0,1,2,3,4,5,6,7,8,9,10,11,12,13
,"Table 1.7: Skill stream outcome primary applicants, Regional visas—top 10 nominated occupations by ANZSCO Unit Group, 2019–20 to 2024–251",,,,,,,,,,,,
,Year,Accountants,Software and Applications Programmers,"Industrial, Mechanical and Production Engineers",Chefs,Civil Engineering Professionals,Motor Mechanics,Other Engineering Professionals,ICT Business and Systems Analysts2,Registered Nurses,Human Resource Professionals,Other3,Total
,2019–20,1532,272,174,411,211,207,166,117,897,63,6210,10260
,2020–21,480,264,245,142,223,66,160,108,1353,14,2863,5918
,2021–22,1376,377,277,448,282,108,176,251,1162,49,3922,8428
,2022–23,2971,491,363,983,338,579,246,366,456,99,7945,14837
,2023–24,2272,463,809,944,544,289,442,488,154,136,7255,13796
,2024–25,997,606,586,580,464,392,365,358,299,262,7487,12396
,,,,,,,,,,,,,
,1. ANZSCO—Australian and New Zealand Standard Classification of Occupations.,,,,,,,,,,,,
,2. ICT—Information and Communication Technology.,,,,,,,,,,,,
,3. Includes nominated occupation not specified.,,,,,,,,,,,,
,Note: The Regional migration category commenced 1 July 2019. Top 10 nominated occupations are based on 2024–25.,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,
