0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Table 7.4: Decomposition of changes in Australia’s labour force participation rate between 2013–14 and 2021–22,,,,,,,,,,,,,,,,,,
,,,,,Change in demographic composition by age group (years),,,,,,,,Change in propensity to participate by age group (years),,,,,,Total change
,Birth group,Gender,15–19,20–24,25–34,35–44,45–54,55–64,65+,All age groups,15–19,20–24,25–34,35–44,45–54,55–64,65+,All age groups,
,Australian-born,Male,-0.18870584212336625,-0.38449405089003863,-0.21375695173100737,-0.7653774731205577,-0.35293967091427525,-0.027570009308128945,0.23294762845894998,-1.6998963696284244,0.02483059524624523,-0.02264027725240829,-0.15981039089373342,-0.012141913514108206,-0.014537907243609836,0.07461827213732883,0.10727036618790671,-0.0024112553323790004,-1.7023076249608033
,Australian-born,Female,-0.19703432210766175,-0.4141995260140587,-0.2854154429389883,-0.7185815651697085,-0.36729985424978034,-0.019235338422436285,0.13824629640873348,-1.8635197524939004,0.08866788455746193,0.07052846995809459,0.3139058353592569,0.30188903122783034,0.11792358958854877,0.3362028177598757,0.16280272775515064,1.3919203562062188,-0.47159939628768166
,Australian-born,Total,-0.38574016423102797,-0.7986935769040973,-0.49917239466999563,-1.483959038290266,-0.7202395251640556,-0.04680534773056523,0.37119392486768343,-3.563416122122325,0.11349847980370716,0.0478881927056863,0.1540954444655235,0.28974711771372214,0.10338568234493895,0.41082108989720456,0.27007309394305734,1.3895091008738398,-2.173907021248485
,Overseas-born,Male,0.009462975094153555,-0.06415609085277979,-0.16670127916277083,0.563282341081795,-0.11639037757812155,0.034137503893532754,0.07387984867222694,0.33351492114803605,0.05180667796605771,0.11202563147660358,0.051128053271443145,0.036832913093724245,0.04835730329693626,0.0801264823250608,0.0470291960144566,0.42730625744428236,0.7608211785923185
,Overseas-born,Female,-0.0018136350420922746,-0.07234169149941995,0.03853122378304168,0.5489187131653953,-0.055154086552819614,0.08573503423204852,0.05690127305851023,0.600776831144664,0.02591132569886887,0.09115777544903472,0.18786050360520365,0.3041986055349963,0.10764990112612209,0.2099275828669726,0.05772955129985997,0.9844352455810582,1.585212076725722
,Overseas-born,Total,0.00764934005206128,-0.13649778235219973,-0.12817005537972914,1.1122010542471903,-0.17154446413094115,0.11987253812558127,0.13078112173073717,0.9342917522927,0.07771800366492658,0.2031834069256383,0.2389885568766468,0.3410315186287205,0.15600720442305835,0.2900540651920334,0.10475874731431656,1.4117415030253406,2.3460332553180407
,Total all birth groups,,-0.37809082417896667,-0.935191359256297,-0.6273424500497248,-0.3717579840430758,-0.8917839892949968,0.07306719039501604,0.5019750465984206,-2.6291243698296247,0.19121648346863374,0.2510715996313246,0.3930840013421703,0.6307786363424426,0.2593928867679973,0.700875155089238,0.3748318412573739,2.8012506038991805,0.17212623406955574
,,,,,,,,,,,,,,,,,,,
,"Source data: Australian Bureau of Statistics, July 2025, Labour Force, Australia, Detailed, LM5 cube",,,,,,,,,,,,,,,,,,
,Note: Order of decompostion tables is based on the analysis presented in the report Australia's Migration Trends 2024–25.,,,,,,,,,,,,,,,,,,
,Figures are subject to revision and therefore may differ from those previously published.,,,,,,,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,,,,,,,
