0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Table 7.6: Decomposition of changes in Australia’s labour force participation rate between 2016–17 and 2018–19,,,,,,,,,,,,,,,,,,
,,,,,Change in demographic composition by age group (years),,,,,,,,Change in propensity to participate by age group (years),,,,,,Total change
,Birth group,Gender,15–19,20–24,25–34,35–44,45–54,55–64,65+,All age groups,15–19,20–24,25–34,35–44,45–54,55–64,65+,All age groups,
,Australian-born,Male,-0.07141099704457562,-0.11114921252831038,0.005504802683583947,-0.19996076172025268,-0.09548526987050453,-0.01758382477208221,0.06555745588425237,-0.4245278073678891,0.0848626149724545,-0.0047647493002736,-0.029455952411575163,0.010196275107038903,0.024787754224387303,0.0912717822379822,0.11058170733430862,0.28747943216432276,-0.13704837520356633
,Australian-born,Female,-0.06640372010959103,-0.14531462981823376,-0.16701337366241611,-0.1778548394949781,-0.07603991579985239,-0.018853384084093625,0.04574934407784388,-0.605730518891321,0.01850650604843881,0.048700102445521,0.14796434724638066,0.0971198455716604,0.021485826498894415,0.06235837082877963,0.07887400827538021,0.4750090069150551,-0.13072151197626591
,Australian-born,Total,-0.13781471715416665,-0.2564638423465441,-0.16150857097883217,-0.3778156012152308,-0.1715251856703569,-0.03643720885617584,0.11130679996209625,-1.0302583262592102,0.10336912102089331,0.043935353145247394,0.11850839483480549,0.1073161206786993,0.04627358072328172,0.15363015306676184,0.18945571560968882,0.7624884390793778,-0.2677698871798324
,Overseas-born,Male,0.02011051968617027,0.05640737795599956,-0.05484499186668351,0.14614479504005864,-0.04061592028709899,0.025180686676109967,-0.0005019345464107407,0.15188053265814522,0.020387116084652008,-0.002738699334034544,0.016332572115158542,-0.0001975141678356761,0.012914102346922777,0.02990488214543858,0.08054152210202656,0.15714398129232826,0.3090245139504735
,Overseas-born,Female,0.001937723171471783,0.049226124905726254,0.10767140514962664,0.14141558415771197,-0.07500504804751643,0.03389417406890527,0.004585493559796897,0.26372545696572236,0.03294324073254349,0.05182507266367295,0.060146437896325254,0.06975779364115967,0.047161728277432154,0.07029584471819336,0.029068085558792464,0.3611982034881194,0.6249236604538417
,Overseas-born,Total,0.022048242857642054,0.10563350286172582,0.05282641328294313,0.2875603791977706,-0.11562096833461541,0.05907486074501524,0.004083559013386156,0.4156059896238676,0.0533303568171955,0.0490863733296384,0.0764790100114838,0.069560279473324,0.06007583062435493,0.10020072686363193,0.10960960766081902,0.5183421847804477,0.9339481744043152
,Total all birth groups,,-0.1157664742965246,-0.1508303394848183,-0.10868215769588904,-0.09025522201746017,-0.28714615400497234,0.0226376518888394,0.1153903589754824,-0.6146523366353427,0.1566994778380888,0.0930217264748858,0.1949874048462893,0.1768764001520233,0.10634941134763665,0.25383087993039377,0.29906532327050783,1.2808306238598255,0.6661782872244828
,,,,,,,,,,,,,,,,,,,
,"Source data: Australian Bureau of Statistics, July 2024, Labour Force, Australia, Detailed, LM5 cube",,,,,,,,,,,,,,,,,,
,Note: Order of decompostion tables is based on the analysis presented in the report Australia's Migration Trends 2024–25.,,,,,,,,,,,,,,,,,,
,Figures are subject to revision and therefore may differ from those previously published.,,,,,,,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,,,,,,,
