0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,"Table 6.0: Australian citizenship conferrals—top 15 countries of original citizenship and gender female, 2024–251",,,,,,,,,,,,,,,,,
,Gender,New Zealand,India,United Kingdom,Philippines,Vietnam,Nepal,Iraq,People's Republic of China2,Pakistan,South Africa,Afghanistan,Sri Lanka,Iran,Myanmar,Brazil,Other countries3,Total 
,Females,17080,11658,6069,5260,3359,3040,2617,2794,2147,2221,2154,1792,1595,1300,1158,23048,87292
,Total4,33103,23015,12674,8517,5430,5398,5272,5194,4690,4428,4136,3648,3394,2479,2102,41713,165193
,,,,,,,,,,,,,,,,,,
,"1. Where an applicant holds multiple citizenships at the time of application, the most recently recorded citizenship has been reflected in this reporting. ",,,,,,,,,,,,,,,,,
,2. Excludes Special Administrative Regions (SARs).,,,,,,,,,,,,,,,,,
,3. Includes a small number where country of former nationality was not specified.,,,,,,,,,,,,,,,,,
,4. Totals may include gender indeterminate.,,,,,,,,,,,,,,,,,
,Note: Countries of nationality are indicated by the client at the time of initial contact with the Department of Home Affairs and may include sovereign nation states as well as external territories and dependencies with varying degrees of political and economic autonomy.,,,,,,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,,,,,,
