0,1,2,3,4,5,6,7,8,9,10,11,12,13
,"Table 1.5: Skill stream outcome primary applicants, Employer Sponsored visas—top 10 nominated occupations by ANZSCO Unit Group, 2015–16 to 2024–251",,,,,,,,,,,,
,Year2,Registered Nurses,Chefs,Software and Applications Programmers,Accountants,Motor Mechanics,ICT Business and Systems Analysts3,Civil Engineering Professionals,University Lecturers and Tutors,Police,"Industrial, Mechanical and Production Engineers",Other4,Total
,2015–16,635,637,397,557,813,237,201,532,25,141,17916,22091
,2016–17,481,671,412,577,739,285,128,534,9,122,18226,22184
,2017–18,345,367,476,455,413,301,87,638,11,82,12861,16036
,2018–19,405,702,782,596,510,417,127,924,5,94,15466,20028
,2019–20,370,489,768,470,332,333,121,660,0,103,9617,13263
,2020–21,557,357,1298,520,322,430,328,415,<5,230,6086,10543
,2021–22,642,1074,1492,922,385,585,282,320,0,229,5793,11724
,2022–23,1510,1103,1548,780,659,677,317,396,17,258,7862,15127
,2023–24,2360,1378,1191,628,503,390,274,378,284,267,6929,14582
,2024–25,2394,1894,1633,754,643,528,421,410,379,378,8350,17784
,,,,,,,,,,,,,
,1. ANZSCO—Australian and New Zealand Standard Classification of Occupations.,,,,,,,,,,,,
,2. Top 10 nominated occupations are based on 2024–25.,,,,,,,,,,,,
,3. ICT—Information and Communication Technology.,,,,,,,,,,,,
,4. Other includes occupation not specified and has been perturbed to protect the privacy of individuals.,,,,,,,,,,,,
,"Note: To protect the privacy of individuals, various data confidentiality techniques have been applied. These techniques include:",,,,,,,,,,,,
,- data masking — using primary and secondary suppression methods for values that are deemed to be a disclosure risk,,,,,,,,,,,,
,- perturbation — a data security technique that allows for random data adjustment to prevent the release of identifiable data.,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,
