0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,"Table 2.4: Visitor visas granted—top 15 citizenship countries, 2015–16 to 2024–25",,,,,,,,,,,,,,,,,
,Year,People's Republic of China1,United States of America,United Kingdom,Republic of Korea,Japan,India,Singapore,Malaysia,Germany,Taiwan,Hong Kong (SAR of the PRC)2,Canada,France,Philippines,Indonesia,Other3,Total
,2015–16,801761,466030,586174,218295,342343,189221,236516,327383,159299,112888,134187,112554,135984,67624,89403,819511,4799173
,2016–17,888584,526605,622869,254115,385297,220952,244388,356010,173871,132442,152733,133858,141759,86432,111187,914582,5345684
,2017–18,954264,564874,630761,279329,397242,268194,238333,332224,177336,154746,174241,143514,147989,96851,106747,972522,5639167
,2018–19,938136,621954,591171,276789,410259,280344,236526,337481,178626,152632,177835,148685,145985,107091,112762,970042,5686318
,2019–20,544817,455029,479662,189910,317479,222785,154285,213531,139411,100591,124438,114560,114375,73726,72337,739667,4056603
,2020–21,38844,6323,9029,7388,7200,29502,5614,3622,1553,3527,1111,1948,1608,9069,2592,38646,167576
,2021–22,44348,97628,160841,24912,16953,200325,95829,39960,32662,7833,9584,27351,35276,28187,32106,278095,1131890
,2022–23,271550,456565,460157,172648,157809,357038,219986,147838,116444,72318,72301,111870,96717,114242,116912,874100,3818495
,2023–24,583183,559620,479042,354388,325445,287259,230411,172617,134282,131982,131010,129273,110476,109983,93556,880915,4713442
,2024–25,622839,579217,530543,360854,357960,302758,237357,169612,144271,142770,140232,133993,114782,113039,96785,868842,4915854
,,,,,,,,,,,,,,,,,,
,1. Excludes Special Administrative Regions (SARs),,,,,,,,,,,,,,,,,
,2. SAR of the People's Republic of China (PRC).,,,,,,,,,,,,,,,,,
,3. Includes citizenship not specified.,,,,,,,,,,,,,,,,,
,Note: Top 15 citizenship countries are based 2024–25.,,,,,,,,,,,,,,,,,
,Click here to return to: Report Contents,,,,,,,,,,,,,,,,,
