indicator,year,value,table,category
In Australia - secondary applicant by gender | % Male,2015,42.43754821100101,1_2,
In Australia - secondary applicant by gender | % Male,2016,40.99163754368448,1_2,
In Australia - secondary applicant by gender | % Male,2017,39.57623762376238,1_2,
In Australia - secondary applicant by gender | % Male,2018,41.28928571428571,1_2,
In Australia - secondary applicant by gender | % Male,2019,42.97135884921654,1_2,
In Australia - secondary applicant by gender | % Male,2020,41.70871559633028,1_2,
In Australia - secondary applicant by gender | % Male,2021,45.46579527437256,1_2,
In Australia - secondary applicant by gender | % Male,2022,48.12763301607114,1_2,
In Australia - secondary applicant by gender | % Male,2023,48.37540837540838,1_2,
In Australia - secondary applicant by gender | % Male,2024,43.33647717854183,1_2,
In Australia - secondary applicant by gender | Total1,2015,33719.0,1_2,
In Australia - secondary applicant by gender | Total1,2016,32056.0,1_2,
In Australia - secondary applicant by gender | Total1,2017,25254.0,1_2,
In Australia - secondary applicant by gender | Total1,2018,28008.0,1_2,
In Australia - secondary applicant by gender | Total1,2019,31148.0,1_2,
In Australia - secondary applicant by gender | Total1,2020,26162.0,1_2,
In Australia - secondary applicant by gender | Total1,2021,25867.0,1_2,
In Australia - secondary applicant by gender | Total1,2022,38466.0,1_2,
In Australia - secondary applicant by gender | Total1,2023,33677.0,1_2,
In Australia - secondary applicant by gender | Total1,2024,34995.0,1_2,
Outside Australia by gender - total | Female,2015,26656.0,1_2,
Outside Australia by gender - total | Female,2016,26895.0,1_2,
Outside Australia by gender - total | Female,2017,26952.0,1_2,
Outside Australia by gender - total | Female,2018,23348.0,1_2,
Outside Australia by gender - total | Female,2019,14946.0,1_2,
Outside Australia by gender - total | Female,2020,11653.0,1_2,
Outside Australia by gender - total | Female,2021,15013.0,1_2,
Outside Australia by gender - total | Female,2022,25150.0,1_2,
Outside Australia by gender - total | Female,2023,27340.0,1_2,
Outside Australia by gender - total | Female,2024,26727.0,1_2,
Outside Australia by gender - total | % Female,2015,48.99549673743222,1_2,
Outside Australia by gender - total | % Female,2016,49.18707364801843,1_2,
Outside Australia by gender - total | % Female,2017,48.79249791809986,1_2,
Outside Australia by gender - total | % Female,2018,49.32398174750718,1_2,
Outside Australia by gender - total | % Female,2019,50.31476182460865,1_2,
Outside Australia by gender - total | % Female,2020,50.81767040251188,1_2,
Outside Australia by gender - total | % Female,2021,50.53691049247652,1_2,
Outside Australia by gender - total | % Female,2022,50.66784858069585,1_2,
Outside Australia by gender - total | % Female,2023,51.1774175433342,1_2,
Outside Australia by gender - total | % Female,2024,51.35659659505784,1_2,
Outside Australia by gender - total | Male,2015,27749.0,1_2,
Outside Australia by gender - total | Male,2016,27784.0,1_2,
Outside Australia by gender - total | Male,2017,28286.0,1_2,
Outside Australia by gender - total | Male,2018,23988.0,1_2,
Outside Australia by gender - total | Male,2019,14759.0,1_2,
Outside Australia by gender - total | Male,2020,11278.0,1_2,
Outside Australia by gender - total | Male,2021,14694.0,1_2,
Outside Australia by gender - total | Male,2022,24487.0,1_2,
Outside Australia by gender - total | Male,2023,26082.0,1_2,
Outside Australia by gender - total | Male,2024,25315.0,1_2,
Outside Australia by gender - total | % Male,2015,51.00450326256778,1_2,
Outside Australia by gender - total | % Male,2016,50.81292635198157,1_2,
Outside Australia by gender - total | % Male,2017,51.20750208190014,1_2,
Outside Australia by gender - total | % Male,2018,50.67601825249282,1_2,
Outside Australia by gender - total | % Male,2019,49.68523817539135,1_2,
Outside Australia by gender - total | % Male,2020,49.18232959748812,1_2,
Outside Australia by gender - total | % Male,2021,49.46308950752348,1_2,
Outside Australia by gender - total | % Male,2022,49.33215141930415,1_2,
Outside Australia by gender - total | % Male,2023,48.82258245666579,1_2,
Outside Australia by gender - total | % Male,2024,48.64340340494216,1_2,
Outside Australia by gender - total | Total1,2015,54424.0,1_2,
Outside Australia by gender - total | Total1,2016,54698.0,1_2,
Outside Australia by gender - total | Total1,2017,55246.0,1_2,
Outside Australia by gender - total | Total1,2018,47347.0,1_2,
Outside Australia by gender - total | Total1,2019,29710.0,1_2,
Outside Australia by gender - total | Total1,2020,22933.0,1_2,
Outside Australia by gender - total | Total1,2021,29708.0,1_2,
Outside Australia by gender - total | Total1,2022,49650.0,1_2,
Outside Australia by gender - total | Total1,2023,53437.0,1_2,
Outside Australia by gender - total | Total1,2024,52053.0,1_2,
In Australia by gender - total | Female,2015,34391.0,1_2,
In Australia by gender - total | Female,2016,32133.0,1_2,
In Australia by gender - total | Female,2017,26746.0,1_2,
In Australia by gender - total | Female,2018,29755.0,1_2,
In Australia by gender - total | Female,2019,31687.0,1_2,
In Australia by gender - total | Female,2020,26747.0,1_2,
In Australia by gender - total | Female,2021,28057.0,1_2,
In Australia by gender - total | Female,2022,45180.0,1_2,
In Australia by gender - total | Female,2023,39193.0,1_2,
In Australia by gender - total | Female,2024,37507.0,1_2,
In Australia by gender - total | % Female,2015,46.41285864665713,1_2,
In Australia by gender - total | % Female,2016,46.66560167300823,1_2,
In Australia by gender - total | % Female,2017,47.894133658047416,1_2,
In Australia by gender - total | % Female,2018,47.72176869657263,1_2,
In Australia by gender - total | % Female,2019,47.92709672540271,1_2,
In Australia by gender - total | % Female,2020,47.19531346496568,1_2,
In Australia by gender - total | % Female,2021,47.286547342164695,1_2,
In Australia by gender - total | % Female,2022,48.754694177062206,1_2,
In Australia by gender - total | % Female,2023,46.85971855234998,1_2,
In Australia by gender - total | % Female,2024,46.83749797075388,1_2,
In Australia by gender - total | Male,2015,39707.0,1_2,
In Australia by gender - total | Male,2016,36725.0,1_2,
In Australia by gender - total | Male,2017,29098.0,1_2,
In Australia by gender - total | Male,2018,32596.0,1_2,
In Australia by gender - total | Male,2019,34428.0,1_2,
In Australia by gender - total | Male,2020,29926.0,1_2,
In Australia by gender - total | Male,2021,31277.0,1_2,
In Australia by gender - total | Male,2022,47488.0,1_2,
In Australia by gender - total | Male,2023,44446.0,1_2,
In Australia by gender - total | Male,2024,42572.0,1_2,
In Australia by gender - total | % Male,2015,53.58714135334287,1_2,
In Australia by gender - total | % Male,2016,53.33439832699178,1_2,
In Australia by gender - total | % Male,2017,52.10586634195258,1_2,
In Australia by gender - total | % Male,2018,52.27823130342737,1_2,
In Australia by gender - total | % Male,2019,52.072903274597294,1_2,
In Australia by gender - total | % Male,2020,52.80468653503432,1_2,
In Australia by gender - total | % Male,2021,52.713452657835305,1_2,
In Australia by gender - total | % Male,2022,51.2453058229378,1_2,
In Australia by gender - total | % Male,2023,53.14028144765002,1_2,
In Australia by gender - total | % Male,2024,53.16250202924612,1_2,
In Australia by gender - total | Total1,2015,74126.0,1_2,
In Australia by gender - total | Total1,2016,68869.0,1_2,
In Australia by gender - total | Total1,2017,55853.0,1_2,
In Australia by gender - total | Total1,2018,62366.0,1_2,
In Australia by gender - total | Total1,2019,66133.0,1_2,
In Australia by gender - total | Total1,2020,56687.0,1_2,
In Australia by gender - total | Total1,2021,59355.0,1_2,
In Australia by gender - total | Total1,2022,92694.0,1_2,
In Australia by gender - total | Total1,2023,83663.0,1_2,
In Australia by gender - total | Total1,2024,80095.0,1_2,
Skill stream total by location | Outside Australia,2015,54424.0,1_2,
Skill stream total by location | Outside Australia,2016,54698.0,1_2,
Skill stream total by location | Outside Australia,2017,55246.0,1_2,
Skill stream total by location | Outside Australia,2018,47347.0,1_2,
Skill stream total by location | Outside Australia,2019,29710.0,1_2,
Skill stream total by location | Outside Australia,2020,22933.0,1_2,
Skill stream total by location | Outside Australia,2021,29708.0,1_2,
Skill stream total by location | Outside Australia,2022,49650.0,1_2,
Skill stream total by location | Outside Australia,2023,53437.0,1_2,
Skill stream total by location | Outside Australia,2024,52053.0,1_2,
Skill stream total by location | % Outside Australia,2015,42.33683391676391,1_2,
Skill stream total by location | % Outside Australia,2016,44.26586386332921,1_2,
Skill stream total by location | % Outside Australia,2017,49.72682022340435,1_2,
Skill stream total by location | % Outside Australia,2018,43.15532343477984,1_2,
Skill stream total by location | % Outside Australia,2019,30.99861231388834,1_2,
Skill stream total by location | % Outside Australia,2020,28.80306455664406,1_2,
Skill stream total by location | % Outside Australia,2021,33.35616361452006,1_2,
Skill stream total by location | % Outside Australia,2022,34.880290001686056,1_2,
Skill stream total by location | % Outside Australia,2023,38.97665937272064,1_2,
Skill stream total by location | % Outside Australia,2024,39.38992644610588,1_2,
Skill stream total by location | In Australia,2015,74126.0,1_2,
Skill stream total by location | In Australia,2016,68869.0,1_2,
Skill stream total by location | In Australia,2017,55853.0,1_2,
Skill stream total by location | In Australia,2018,62366.0,1_2,
Skill stream total by location | In Australia,2019,66133.0,1_2,
Skill stream total by location | In Australia,2020,56687.0,1_2,
Skill stream total by location | In Australia,2021,59355.0,1_2,
Skill stream total by location | In Australia,2022,92694.0,1_2,
Skill stream total by location | In Australia,2023,83663.0,1_2,
Skill stream total by location | In Australia,2024,80095.0,1_2,
Skill stream total by location | % In Australia,2015,57.66316608323609,1_2,
Skill stream total by location | % In Australia,2016,55.7341361366708,1_2,
Skill stream total by location | % In Australia,2017,50.27317977659565,1_2,
Skill stream total by location | % In Australia,2018,56.84467656522016,1_2,
Skill stream total by location | % In Australia,2019,69.00138768611166,1_2,
Skill stream total by location | % In Australia,2020,71.19693544335594,1_2,
Skill stream total by location | % In Australia,2021,66.64383638547994,1_2,
Skill stream total by location | % In Australia,2022,65.11970999831395,1_2,
Skill stream total by location | % In Australia,2023,61.02334062727935,1_2,
Skill stream total by location | % In Australia,2024,60.61007355389412,1_2,
Skill stream total by location | Total,2015,128550.0,1_2,
Skill stream total by location | Total,2016,123567.0,1_2,
Skill stream total by location | Total,2017,111099.0,1_2,
Skill stream total by location | Total,2018,109713.0,1_2,
Skill stream total by location | Total,2019,95843.0,1_2,
Skill stream total by location | Total,2020,79620.0,1_2,
Skill stream total by location | Total,2021,89063.0,1_2,
Skill stream total by location | Total,2022,142344.0,1_2,
Skill stream total by location | Total,2023,137100.0,1_2,
Skill stream total by location | Total,2024,132148.0,1_2,
India,2015,10495.0,1_3,
India,2016,9873.0,1_3,
India,2017,5148.0,1_3,
India,2018,7224.0,1_3,
India,2019,4718.0,1_3,
India,2020,4347.0,1_3,
India,2021,5845.0,1_3,
India,2022,8187.0,1_3,
India,2023,10966.0,1_3,
India,2024,12762.0,1_3,
United Kingdom,2015,8420.0,1_3,
United Kingdom,2016,7955.0,1_3,
United Kingdom,2017,6335.0,1_3,
United Kingdom,2018,7256.0,1_3,
United Kingdom,2019,4275.0,1_3,
United Kingdom,2020,3419.0,1_3,
United Kingdom,2021,2967.0,1_3,
United Kingdom,2022,4324.0,1_3,
United Kingdom,2023,4500.0,1_3,
United Kingdom,2024,4650.0,1_3,
Philippines,2015,4181.0,1_3,
Philippines,2016,4558.0,1_3,
Philippines,2017,3474.0,1_3,
Philippines,2018,3484.0,1_3,
Philippines,2019,2583.0,1_3,
Philippines,2020,1832.0,1_3,
Philippines,2021,2151.0,1_3,
Philippines,2022,3123.0,1_3,
Philippines,2023,3368.0,1_3,
Philippines,2024,3834.0,1_3,
South Africa,2015,1528.0,1_3,
South Africa,2016,1346.0,1_3,
South Africa,2017,1346.0,1_3,
South Africa,2018,1518.0,1_3,
South Africa,2019,1145.0,1_3,
South Africa,2020,1305.0,1_3,
South Africa,2021,1487.0,1_3,
South Africa,2022,1796.0,1_3,
South Africa,2023,1417.0,1_3,
South Africa,2024,2240.0,1_3,
Sri Lanka,2015,508.0,1_3,
Sri Lanka,2016,556.0,1_3,
Sri Lanka,2017,381.0,1_3,
Sri Lanka,2018,487.0,1_3,
Sri Lanka,2019,429.0,1_3,
Sri Lanka,2020,431.0,1_3,
Sri Lanka,2021,629.0,1_3,
Sri Lanka,2022,1078.0,1_3,
Sri Lanka,2023,1016.0,1_3,
Sri Lanka,2024,1984.0,1_3,
People's Republic of China1,2015,4024.0,1_3,
People's Republic of China1,2016,4197.0,1_3,
People's Republic of China1,2017,2713.0,1_3,
People's Republic of China1,2018,2945.0,1_3,
People's Republic of China1,2019,2524.0,1_3,
People's Republic of China1,2020,1369.0,1_3,
People's Republic of China1,2021,1407.0,1_3,
People's Republic of China1,2022,1676.0,1_3,
People's Republic of China1,2023,2367.0,1_3,
People's Republic of China1,2024,1509.0,1_3,
Nepal,2015,1682.0,1_3,
Nepal,2016,1577.0,1_3,
Nepal,2017,748.0,1_3,
Nepal,2018,1296.0,1_3,
Nepal,2019,884.0,1_3,
Nepal,2020,597.0,1_3,
Nepal,2021,696.0,1_3,
Nepal,2022,761.0,1_3,
Nepal,2023,710.0,1_3,
Nepal,2024,1412.0,1_3,
Ireland,2015,2862.0,1_3,
Ireland,2016,2436.0,1_3,
Ireland,2017,1511.0,1_3,
Ireland,2018,1546.0,1_3,
Ireland,2019,996.0,1_3,
Ireland,2020,823.0,1_3,
Ireland,2021,791.0,1_3,
Ireland,2022,1402.0,1_3,
Ireland,2023,1154.0,1_3,
Ireland,2024,1343.0,1_3,
Brazil,2015,609.0,1_3,
Brazil,2016,805.0,1_3,
Brazil,2017,677.0,1_3,
Brazil,2018,1216.0,1_3,
Brazil,2019,888.0,1_3,
Brazil,2020,741.0,1_3,
Brazil,2021,774.0,1_3,
Brazil,2022,1081.0,1_3,
Brazil,2023,933.0,1_3,
Brazil,2024,1266.0,1_3,
Pakistan,2015,692.0,1_3,
Pakistan,2016,713.0,1_3,
Pakistan,2017,449.0,1_3,
Pakistan,2018,489.0,1_3,
Pakistan,2019,403.0,1_3,
Pakistan,2020,326.0,1_3,
Pakistan,2021,360.0,1_3,
Pakistan,2022,420.0,1_3,
Pakistan,2023,453.0,1_3,
Pakistan,2024,823.0,1_3,
Republic of Korea,2015,1500.0,1_3,
Republic of Korea,2016,1487.0,1_3,
Republic of Korea,2017,956.0,1_3,
Republic of Korea,2018,961.0,1_3,
Republic of Korea,2019,741.0,1_3,
Republic of Korea,2020,585.0,1_3,
Republic of Korea,2021,604.0,1_3,
Republic of Korea,2022,894.0,1_3,
Republic of Korea,2023,844.0,1_3,
Republic of Korea,2024,767.0,1_3,
Italy,2015,819.0,1_3,
Italy,2016,1023.0,1_3,
Italy,2017,1028.0,1_3,
Italy,2018,1248.0,1_3,
Italy,2019,915.0,1_3,
Italy,2020,571.0,1_3,
Italy,2021,577.0,1_3,
Italy,2022,715.0,1_3,
Italy,2023,655.0,1_3,
Italy,2024,671.0,1_3,
Zimbabwe,2015,217.0,1_3,
Zimbabwe,2016,158.0,1_3,
Zimbabwe,2017,111.0,1_3,
Zimbabwe,2018,93.0,1_3,
Zimbabwe,2019,79.0,1_3,
Zimbabwe,2020,124.0,1_3,
Zimbabwe,2021,282.0,1_3,
Zimbabwe,2022,385.0,1_3,
Zimbabwe,2023,328.0,1_3,
Zimbabwe,2024,634.0,1_3,
Colombia,2015,342.0,1_3,
Colombia,2016,350.0,1_3,
Colombia,2017,238.0,1_3,
Colombia,2018,317.0,1_3,
Colombia,2019,216.0,1_3,
Colombia,2020,260.0,1_3,
Colombia,2021,253.0,1_3,
Colombia,2022,370.0,1_3,
Colombia,2023,365.0,1_3,
Colombia,2024,598.0,1_3,
Vietnam,2015,462.0,1_3,
Vietnam,2016,637.0,1_3,
Vietnam,2017,462.0,1_3,
Vietnam,2018,736.0,1_3,
Vietnam,2019,569.0,1_3,
Vietnam,2020,410.0,1_3,
Vietnam,2021,821.0,1_3,
Vietnam,2022,723.0,1_3,
Vietnam,2023,1024.0,1_3,
Vietnam,2024,508.0,1_3,
Other2,2015,9909.0,1_3,
Other2,2016,10579.0,1_3,
Other2,2017,9951.0,1_3,
Other2,2018,11196.0,1_3,
Other2,2019,7896.0,1_3,
Other2,2020,6363.0,1_3,
Other2,2021,6459.0,1_3,
Other2,2022,8065.0,1_3,
Other2,2023,6725.0,1_3,
Other2,2024,8999.0,1_3,
Total,2015,48250.0,1_3,
Total,2016,48250.0,1_3,
Total,2017,35528.0,1_3,
Total,2018,42012.0,1_3,
Total,2019,29261.0,1_3,
Total,2020,23503.0,1_3,
Total,2021,26103.0,1_3,
Total,2022,35000.0,1_3,
Total,2023,36825.0,1_3,
Total,2024,44000.0,1_3,
Accommodation and Food Services,2007,484.0,1_4,
Accommodation and Food Services,2008,839.0,1_4,
Accommodation and Food Services,2009,1277.0,1_4,
Accommodation and Food Services,2010,1978.0,1_4,
Accommodation and Food Services,2011,3122.0,1_4,
Accommodation and Food Services,2012,3797.0,1_4,
Accommodation and Food Services,2013,3247.0,1_4,
Accommodation and Food Services,2014,3560.0,1_4,
Accommodation and Food Services,2015,4528.0,1_4,
Accommodation and Food Services,2016,4473.0,1_4,
Accommodation and Food Services,2017,2381.0,1_4,
Accommodation and Food Services,2018,3824.0,1_4,
Accommodation and Food Services,2019,2455.0,1_4,
Accommodation and Food Services,2020,1041.0,1_4,
Accommodation and Food Services,2021,1749.0,1_4,
Accommodation and Food Services,2022,1752.0,1_4,
Accommodation and Food Services,2023,1734.0,1_4,
Accommodation and Food Services,2024,2242.0,1_4,
Administrative and Support Services,2007,70.0,1_4,
Administrative and Support Services,2008,134.0,1_4,
Administrative and Support Services,2009,105.0,1_4,
Administrative and Support Services,2010,108.0,1_4,
Administrative and Support Services,2011,87.0,1_4,
Administrative and Support Services,2012,118.0,1_4,
Administrative and Support Services,2013,131.0,1_4,
Administrative and Support Services,2014,142.0,1_4,
Administrative and Support Services,2015,135.0,1_4,
Administrative and Support Services,2016,128.0,1_4,
Administrative and Support Services,2017,130.0,1_4,
Administrative and Support Services,2018,184.0,1_4,
Administrative and Support Services,2019,84.0,1_4,
Administrative and Support Services,2020,39.0,1_4,
Administrative and Support Services,2021,26.0,1_4,
Administrative and Support Services,2022,63.0,1_4,
Administrative and Support Services,2023,37.0,1_4,
Administrative and Support Services,2024,47.0,1_4,
"Agriculture, Forestry and Fishing",2007,171.0,1_4,
"Agriculture, Forestry and Fishing",2008,330.0,1_4,
"Agriculture, Forestry and Fishing",2009,553.0,1_4,
"Agriculture, Forestry and Fishing",2010,652.0,1_4,
"Agriculture, Forestry and Fishing",2011,601.0,1_4,
"Agriculture, Forestry and Fishing",2012,638.0,1_4,
"Agriculture, Forestry and Fishing",2013,511.0,1_4,
"Agriculture, Forestry and Fishing",2014,411.0,1_4,
"Agriculture, Forestry and Fishing",2015,419.0,1_4,
"Agriculture, Forestry and Fishing",2016,537.0,1_4,
"Agriculture, Forestry and Fishing",2017,442.0,1_4,
"Agriculture, Forestry and Fishing",2018,678.0,1_4,
"Agriculture, Forestry and Fishing",2019,280.0,1_4,
"Agriculture, Forestry and Fishing",2020,292.0,1_4,
"Agriculture, Forestry and Fishing",2021,324.0,1_4,
"Agriculture, Forestry and Fishing",2022,253.0,1_4,
"Agriculture, Forestry and Fishing",2023,498.0,1_4,
"Agriculture, Forestry and Fishing",2024,438.0,1_4,
Arts and Recreation Services,2007,505.0,1_4,
Arts and Recreation Services,2008,418.0,1_4,
Arts and Recreation Services,2009,234.0,1_4,
Arts and Recreation Services,2010,203.0,1_4,
Arts and Recreation Services,2011,184.0,1_4,
Arts and Recreation Services,2012,304.0,1_4,
Arts and Recreation Services,2013,344.0,1_4,
Arts and Recreation Services,2014,281.0,1_4,
Arts and Recreation Services,2015,221.0,1_4,
Arts and Recreation Services,2016,212.0,1_4,
Arts and Recreation Services,2017,169.0,1_4,
Arts and Recreation Services,2018,204.0,1_4,
Arts and Recreation Services,2019,100.0,1_4,
Arts and Recreation Services,2020,57.0,1_4,
Arts and Recreation Services,2021,60.0,1_4,
Arts and Recreation Services,2022,58.0,1_4,
Arts and Recreation Services,2023,51.0,1_4,
Arts and Recreation Services,2024,83.0,1_4,
Construction,2007,497.0,1_4,
Construction,2008,1002.0,1_4,
Construction,2009,1225.0,1_4,
Construction,2010,1535.0,1_4,
Construction,2011,1717.0,1_4,
Construction,2012,1760.0,1_4,
Construction,2013,1784.0,1_4,
Construction,2014,2138.0,1_4,
Construction,2015,1696.0,1_4,
Construction,2016,1683.0,1_4,
Construction,2017,1112.0,1_4,
Construction,2018,1135.0,1_4,
Construction,2019,1092.0,1_4,
Construction,2020,1119.0,1_4,
Construction,2021,864.0,1_4,
Construction,2022,1460.0,1_4,
Construction,2023,1269.0,1_4,
Construction,2024,1396.0,1_4,
Education and Training,2007,573.0,1_4,
Education and Training,2008,791.0,1_4,
Education and Training,2009,838.0,1_4,
Education and Training,2010,1021.0,1_4,
Education and Training,2011,1016.0,1_4,
Education and Training,2012,928.0,1_4,
Education and Training,2013,1286.0,1_4,
Education and Training,2014,1282.0,1_4,
Education and Training,2015,1245.0,1_4,
Education and Training,2016,1296.0,1_4,
Education and Training,2017,1114.0,1_4,
Education and Training,2018,1706.0,1_4,
Education and Training,2019,902.0,1_4,
Education and Training,2020,607.0,1_4,
Education and Training,2021,486.0,1_4,
Education and Training,2022,719.0,1_4,
Education and Training,2023,579.0,1_4,
Education and Training,2024,713.0,1_4,
"Electricity, Gas, Water and Waste Services",2007,268.0,1_4,
"Electricity, Gas, Water and Waste Services",2008,363.0,1_4,
"Electricity, Gas, Water and Waste Services",2009,355.0,1_4,
"Electricity, Gas, Water and Waste Services",2010,378.0,1_4,
"Electricity, Gas, Water and Waste Services",2011,331.0,1_4,
"Electricity, Gas, Water and Waste Services",2012,332.0,1_4,
"Electricity, Gas, Water and Waste Services",2013,323.0,1_4,
"Electricity, Gas, Water and Waste Services",2014,399.0,1_4,
"Electricity, Gas, Water and Waste Services",2015,417.0,1_4,
"Electricity, Gas, Water and Waste Services",2016,297.0,1_4,
"Electricity, Gas, Water and Waste Services",2017,206.0,1_4,
"Electricity, Gas, Water and Waste Services",2018,213.0,1_4,
"Electricity, Gas, Water and Waste Services",2019,123.0,1_4,
"Electricity, Gas, Water and Waste Services",2020,143.0,1_4,
"Electricity, Gas, Water and Waste Services",2021,110.0,1_4,
"Electricity, Gas, Water and Waste Services",2022,193.0,1_4,
"Electricity, Gas, Water and Waste Services",2023,180.0,1_4,
"Electricity, Gas, Water and Waste Services",2024,238.0,1_4,
Financial and Insurance Services,2007,415.0,1_4,
Financial and Insurance Services,2008,562.0,1_4,
Financial and Insurance Services,2009,514.0,1_4,
Financial and Insurance Services,2010,699.0,1_4,
Financial and Insurance Services,2011,515.0,1_4,
Financial and Insurance Services,2012,605.0,1_4,
Financial and Insurance Services,2013,647.0,1_4,
Financial and Insurance Services,2014,612.0,1_4,
Financial and Insurance Services,2015,635.0,1_4,
Financial and Insurance Services,2016,717.0,1_4,
Financial and Insurance Services,2017,667.0,1_4,
Financial and Insurance Services,2018,933.0,1_4,
Financial and Insurance Services,2019,460.0,1_4,
Financial and Insurance Services,2020,378.0,1_4,
Financial and Insurance Services,2021,480.0,1_4,
Financial and Insurance Services,2022,569.0,1_4,
Financial and Insurance Services,2023,311.0,1_4,
Financial and Insurance Services,2024,508.0,1_4,
Health Care and Social Assistance,2007,1948.0,1_4,
Health Care and Social Assistance,2008,3207.0,1_4,
Health Care and Social Assistance,2009,3402.0,1_4,
Health Care and Social Assistance,2010,3213.0,1_4,
Health Care and Social Assistance,2011,3301.0,1_4,
Health Care and Social Assistance,2012,2772.0,1_4,
Health Care and Social Assistance,2013,2688.0,1_4,
Health Care and Social Assistance,2014,1986.0,1_4,
Health Care and Social Assistance,2015,1671.0,1_4,
Health Care and Social Assistance,2016,1610.0,1_4,
Health Care and Social Assistance,2017,1318.0,1_4,
Health Care and Social Assistance,2018,1486.0,1_4,
Health Care and Social Assistance,2019,1260.0,1_4,
Health Care and Social Assistance,2020,1383.0,1_4,
Health Care and Social Assistance,2021,1377.0,1_4,
Health Care and Social Assistance,2022,2662.0,1_4,
Health Care and Social Assistance,2023,3241.0,1_4,
Health Care and Social Assistance,2024,4127.0,1_4,
Information Media and Telecommunications,2007,573.0,1_4,
Information Media and Telecommunications,2008,725.0,1_4,
Information Media and Telecommunications,2009,806.0,1_4,
Information Media and Telecommunications,2010,1074.0,1_4,
Information Media and Telecommunications,2011,962.0,1_4,
Information Media and Telecommunications,2012,1034.0,1_4,
Information Media and Telecommunications,2013,1193.0,1_4,
Information Media and Telecommunications,2014,1281.0,1_4,
Information Media and Telecommunications,2015,1214.0,1_4,
Information Media and Telecommunications,2016,1244.0,1_4,
Information Media and Telecommunications,2017,1294.0,1_4,
Information Media and Telecommunications,2018,1614.0,1_4,
Information Media and Telecommunications,2019,1135.0,1_4,
Information Media and Telecommunications,2020,1253.0,1_4,
Information Media and Telecommunications,2021,1220.0,1_4,
Information Media and Telecommunications,2022,1313.0,1_4,
Information Media and Telecommunications,2023,879.0,1_4,
Information Media and Telecommunications,2024,1124.0,1_4,
Manufacturing,2007,712.0,1_4,
Manufacturing,2008,1390.0,1_4,
Manufacturing,2009,1733.0,1_4,
Manufacturing,2010,1802.0,1_4,
Manufacturing,2011,1774.0,1_4,
Manufacturing,2012,1690.0,1_4,
Manufacturing,2013,1350.0,1_4,
Manufacturing,2014,1414.0,1_4,
Manufacturing,2015,1327.0,1_4,
Manufacturing,2016,1456.0,1_4,
Manufacturing,2017,947.0,1_4,
Manufacturing,2018,956.0,1_4,
Manufacturing,2019,798.0,1_4,
Manufacturing,2020,511.0,1_4,
Manufacturing,2021,583.0,1_4,
Manufacturing,2022,835.0,1_4,
Manufacturing,2023,1226.0,1_4,
Manufacturing,2024,966.0,1_4,
Mining,2007,405.0,1_4,
Mining,2008,786.0,1_4,
Mining,2009,876.0,1_4,
Mining,2010,939.0,1_4,
Mining,2011,852.0,1_4,
Mining,2012,755.0,1_4,
Mining,2013,817.0,1_4,
Mining,2014,868.0,1_4,
Mining,2015,439.0,1_4,
Mining,2016,328.0,1_4,
Mining,2017,239.0,1_4,
Mining,2018,201.0,1_4,
Mining,2019,107.0,1_4,
Mining,2020,112.0,1_4,
Mining,2021,191.0,1_4,
Mining,2022,267.0,1_4,
Mining,2023,255.0,1_4,
Mining,2024,507.0,1_4,
Other Services,2007,896.0,1_4,
Other Services,2008,1429.0,1_4,
Other Services,2009,1767.0,1_4,
Other Services,2010,2158.0,1_4,
Other Services,2011,2648.0,1_4,
Other Services,2012,3077.0,1_4,
Other Services,2013,2847.0,1_4,
Other Services,2014,3154.0,1_4,
Other Services,2015,3430.0,1_4,
Other Services,2016,3509.0,1_4,
Other Services,2017,2241.0,1_4,
Other Services,2018,2501.0,1_4,
Other Services,2019,1558.0,1_4,
Other Services,2020,841.0,1_4,
Other Services,2021,886.0,1_4,
Other Services,2022,1591.0,1_4,
Other Services,2023,1301.0,1_4,
Other Services,2024,1271.0,1_4,
"Professional, Scientific and Technical Services",2007,534.0,1_4,
"Professional, Scientific and Technical Services",2008,895.0,1_4,
"Professional, Scientific and Technical Services",2009,933.0,1_4,
"Professional, Scientific and Technical Services",2010,1237.0,1_4,
"Professional, Scientific and Technical Services",2011,1202.0,1_4,
"Professional, Scientific and Technical Services",2012,1462.0,1_4,
"Professional, Scientific and Technical Services",2013,1993.0,1_4,
"Professional, Scientific and Technical Services",2014,2098.0,1_4,
"Professional, Scientific and Technical Services",2015,1963.0,1_4,
"Professional, Scientific and Technical Services",2016,2013.0,1_4,
"Professional, Scientific and Technical Services",2017,2141.0,1_4,
"Professional, Scientific and Technical Services",2018,2687.0,1_4,
"Professional, Scientific and Technical Services",2019,1847.0,1_4,
"Professional, Scientific and Technical Services",2020,2106.0,1_4,
"Professional, Scientific and Technical Services",2021,2616.0,1_4,
"Professional, Scientific and Technical Services",2022,2544.0,1_4,
"Professional, Scientific and Technical Services",2023,2008.0,1_4,
"Professional, Scientific and Technical Services",2024,3013.0,1_4,
Public Administration and Safety,2007,453.0,1_4,
Public Administration and Safety,2008,407.0,1_4,
Public Administration and Safety,2009,292.0,1_4,
Public Administration and Safety,2010,140.0,1_4,
Public Administration and Safety,2011,295.0,1_4,
Public Administration and Safety,2012,179.0,1_4,
Public Administration and Safety,2013,194.0,1_4,
